#  SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2929728100.000000 172.912000 0.00016445
1 2929728180.000000 173.016500 0.00016442
2 2929728260.000000 173.133500 0.000164301
3 2929728340.000000 173.248000 0.000164331
4 2929728420.000000 173.364500 0.000164182
5 2929728500.000000 173.478000 0.000164182
6 2929728580.000000 173.594500 0.000164182
7 2929728660.000000 173.710000 0.000164331
8 2929728740.000000 173.826500 0.000164391
9 2929728820.000000 173.943500 0.000164271
10 2929728900.000000 174.059000 0.000164242
11 2929728980.000000 174.172500 0.000164212
12 2929729060.000000 174.288000 0.000164152
13 2929729140.000000 174.405000 0.000164093
14 2929729220.000000 174.517500 0.000164063
15 2929729300.000000 174.634000 0.000164063
16 2929729380.000000 174.749000 0.000164182
17 2929729460.000000 174.865500 0.000164182
18 2929729540.000000 174.977500 0.000164182
19 2929729620.000000 175.095000 0.000164122
20 2929729700.000000 175.210500 0.000164212
21 2929729780.000000 175.324500 0.000164122
22 2929729860.000000 175.442000 0.000164152
23 2929729940.000000 175.554000 0.000164122
24 2929730020.000000 175.671000 0.000164182
25 2929730100.000000 175.785500 0.000164182
26 2929730180.000000 175.900500 0.000164122
27 2929730260.000000 176.015500 0.000164152
28 2929730340.000000 176.133500 0.000164122
29 2929730420.000000 176.246000 0.000164152
30 2929730500.000000 176.366500 0.000164152
31 2929730580.000000 176.477500 0.000164122
32 2929730660.000000 176.594000 0.000164063
33 2929730740.000000 176.712000 0.000163973
34 2929730820.000000 176.827500 0.000163973
35 2929730901.000000 176.946500 0.000164093
36 2929730980.000000 177.057500 0.000164093
37 2929731060.000000 177.175500 0.000164122
38 2929731140.000000 177.290000 0.000164063
39 2929731220.000000 177.406000 0.000164063
40 2929731300.000000 177.521500 0.000164003
41 2929731380.000000 177.635500 0.000163914
42 2929731460.000000 177.754000 0.000163944
43 2929731540.000000 177.867000 0.000163854
44 2929731620.000000 177.985000 0.000163824
45 2929731700.000000 178.096000 0.000163854
46 2929731780.000000 178.214500 0.000163824
47 2929731860.000000 178.328000 0.000164003
48 2929731940.000000 178.443500 0.000163884
49 2929732020.000000 178.558000 0.000163973
50 2929732100.000000 178.672500 0.000163884
51 2929732180.000000 178.787000 0.000163884
52 2929732260.000000 178.905500 0.000163794
53 2929732340.000000 179.019500 0.000163705
54 2929732420.000000 179.134500 0.000163824
55 2929732500.000000 179.250500 0.000163854
56 2929732580.000000 179.365500 0.000164033
57 2929732660.000000 179.480000 0.000164122
58 2929732740.000000 179.595000 0.000164063
59 2929732820.000000 179.711000 0.000164122
60 2929732900.000000 179.824000 0.000164033
61 2929732980.000000 179.942000 0.000164152
62 2929733060.000000 180.053500 0.000164063
63 2929733140.000000 180.169500 0.000164003
64 2929733220.000000 180.286000 0.000164003
65 2929733300.000000 180.400500 0.000163914
66 2929733380.000000 180.515500 0.000163944
67 2929733460.000000 180.630500 0.000163973
68 2929733540.000000 180.745000 0.000163973
69 2929733620.000000 180.859000 0.000163854
70 2929733700.000000 180.975500 0.000163765
71 2929733780.000000 181.092000 0.000163824
72 2929733860.000000 181.207500 0.000163765
73 2929733940.000000 181.323500 0.000163914
74 2929734020.000000 181.441500 0.000163973
75 2929734100.000000 181.556500 0.000164003
76 2929734180.000000 181.672000 0.000164033
77 2929734260.000000 181.790500 0.000163854
78 2929734340.000000 181.906500 0.000163914
79 2929734420.000000 182.021500 0.000163794
80 2929734500.000000 182.134000 0.000163735
81 2929734580.000000 182.251500 0.000163794
82 2929734660.000000 182.367500 0.000163675
83 2929734740.000000 182.484000 0.000163735
84 2929734820.000000 182.600000 0.000163794
85 2929734900.000000 182.715000 0.000163794
86 2929734980.000000 182.832000 0.000163794
87 2929735060.000000 182.945000 0.000163735
88 2929735140.000000 183.063000 0.000163735
89 2929735220.000000 183.179000 0.000163586
90 2929735300.000000 183.295000 0.000163645
91 2929735380.000000 183.409000 0.000163616
92 2929735460.000000 183.525500 0.000163645
93 2929735540.000000 183.638000 0.000163705
94 2929735620.000000 183.753500 0.000163735
95 2929735700.000000 183.869000 0.000163794
96 2929735780.000000 183.982500 0.000163735
97 2929735860.000000 184.099500 0.000163705
98 2929735940.000000 184.214500 0.000163675
99 2929736020.000000 184.330000 0.000163556
100 2929736100.000000 184.446500 0.000163586
101 2929736180.000000 184.560000 0.000163645
102 2929736260.000000 184.675000 0.000163645
103 2929736340.000000 184.792000 0.000163854
104 2929736420.000000 184.904000 0.000163794
105 2929736500.000000 185.021500 0.000163914
106 2929736580.000000 185.135500 0.000163794
107 2929736660.000000 185.253000 0.000163765
108 2929736740.000000 185.365500 0.000163675
109 2929736820.000000 185.481000 0.000163645
110 2929736900.000000 185.598000 0.000163675
111 2929736980.000000 185.713500 0.000163765
112 2929737060.000000 185.829000 0.000163884
113 2929737140.000000 185.943500 0.000163914
114 2929737220.000000 186.060500 0.000163973
115 2929737300.000000 186.173000 0.000164033
116 2929737380.000000 186.290500 0.000164003
117 2929737460.000000 186.407500 0.000163973
118 2929737540.000000 186.523500 0.000163914
119 2929737620.000000 186.638500 0.000163914
120 2929737700.000000 186.756000 0.000163914
121 2929737780.000000 186.870000 0.000163914
122 2929737860.000000 186.985500 0.000164122
123 2929737940.000000 187.104000 0.000164093
124 2929738020.000000 187.216500 0.000164063
125 2929738100.000000 187.335500 0.000164033
126 2929738180.000000 187.446500 0.000163765
127 2929738260.000000 187.564000 0.000163824
128 2929738340.000000 187.680000 0.000163705
129 2929738420.000000 187.797500 0.000163765
130 2929738500.000000 187.912500 0.000163854
