# NO  SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2930294820.000000 172.911000 0.000175328
1 2930294900.000000 173.024500 0.000175268
2 2930294980.000000 173.141500 0.00017509
3 2930295060.000000 173.267000 0.000175119
4 2930295140.000000 173.371500 0.00017497
5 2930295220.000000 173.494000 0.00017497
6 2930295300.000000 173.606500 0.00017506
7 2930295380.000000 173.719000 0.00017503
8 2930295460.000000 173.832000 0.000175119
9 2930295540.000000 173.937500 0.000175119
10 2930295620.000000 174.068000 0.000175
11 2930295700.000000 174.180500 0.00017503
12 2930295780.000000 174.303000 0.000174881
13 2930295860.000000 174.408500 0.000174881
14 2930295940.000000 174.522000 0.000174851
15 2930296020.000000 174.635500 0.000174881
16 2930296100.000000 174.744000 0.000175
17 2930296180.000000 174.866000 0.00017503
18 2930296260.000000 174.979500 0.00017506
19 2930296340.000000 175.093500 0.00017506
20 2930296420.000000 175.205000 0.00017497
21 2930296500.000000 175.318000 0.000175
22 2930296580.000000 175.435000 0.000174911
23 2930296660.000000 175.549000 0.000174851
24 2930296740.000000 175.673000 0.000174821
25 2930296820.000000 175.774500 0.000174821
26 2930296900.000000 175.891500 0.000174911
27 2930296980.000000 176.006500 0.00017506
28 2930297060.000000 176.124500 0.00017497
29 2930297140.000000 176.240000 0.00017497
30 2930297220.000000 176.359000 0.000174851
31 2930297300.000000 176.475000 0.000174881
32 2930297380.000000 176.590000 0.000174792
33 2930297460.000000 176.706000 0.000174762
34 2930297540.000000 176.821500 0.000174851
35 2930297620.000000 176.938000 0.000174762
36 2930297700.000000 177.051000 0.000174821
37 2930297780.000000 177.169500 0.000174881
38 2930297860.000000 177.284000 0.000174821
39 2930297940.000000 177.400500 0.000174911
40 2930298020.000000 177.517500 0.000174851
41 2930298100.000000 177.633000 0.000174821
42 2930298180.000000 177.748000 0.000174643
43 2930298260.000000 177.862500 0.000174702
44 2930298340.000000 177.980500 0.000174702
45 2930298420.000000 178.091000 0.000174702
46 2930298500.000000 178.210000 0.000174881
47 2930298580.000000 178.323500 0.000174821
48 2930298660.000000 178.438000 0.000174821
49 2930298740.000000 178.552500 0.000174762
50 2930298820.000000 178.668500 0.000174732
51 2930298900.000000 178.782500 0.000174702
52 2930298980.000000 178.899500 0.000174643
53 2930299060.000000 179.015500 0.000174732
54 2930299140.000000 179.128500 0.000174762
55 2930299220.000000 179.244000 0.000174851
56 2930299300.000000 179.358000 0.000174851
57 2930299380.000000 179.473500 0.000174881
58 2930299460.000000 179.588500 0.000174851
59 2930299540.000000 179.705000 0.000174762
60 2930299620.000000 179.817500 0.000174732
61 2930299700.000000 179.932000 0.000174643
62 2930299780.000000 180.046500 0.000174553
63 2930299860.000000 180.163500 0.000174762
64 2930299940.000000 180.278500 0.000174941
65 2930300020.000000 180.394000 0.00017506
66 2930300100.000000 180.507500 0.000175149
67 2930300180.000000 180.622500 0.00017509
68 2930300260.000000 180.738500 0.00017497
69 2930300340.000000 180.853500 0.000174762
70 2930300420.000000 180.969000 0.000174702
71 2930300500.000000 181.084000 0.000174702
72 2930300580.000000 181.202000 0.000174702
73 2930300660.000000 181.316500 0.000174821
74 2930300740.000000 181.433000 0.000174732
75 2930300820.000000 181.550000 0.000174881
76 2930300900.000000 181.664500 0.000174821
77 2930300980.000000 181.782500 0.000174672
78 2930301060.000000 181.898500 0.000174672
79 2930301140.000000 182.015000 0.000174583
80 2930301220.000000 182.129500 0.000174643
81 2930301300.000000 182.247000 0.000174523
82 2930301380.000000 182.360500 0.000174613
83 2930301460.000000 182.476500 0.000174583
84 2930301540.000000 182.594500 0.000174553
85 2930301620.000000 182.710000 0.000174613
86 2930301700.000000 182.825000 0.000174553
87 2930301780.000000 182.941500 0.000174553
88 2930301860.000000 183.057500 0.000174523
89 2930301940.000000 183.172000 0.000174345
90 2930302020.000000 183.289500 0.000174434
91 2930302100.000000 183.404000 0.000174315
92 2930302180.000000 183.519000 0.000174553
93 2930302260.000000 183.635000 0.000174553
94 2930302340.000000 183.749500 0.000174583
95 2930302420.000000 183.862500 0.000174672
96 2930302500.000000 183.978500 0.000174613
97 2930302580.000000 184.092500 0.000174494
98 2930302660.000000 184.209000 0.000174523
99 2930302740.000000 184.325500 0.000174464
100 2930302820.000000 184.441000 0.000174434
101 2930302900.000000 184.554500 0.000174434
102 2930302980.000000 184.669500 0.000174613
103 2930303060.000000 184.785000 0.000174553
104 2930303140.000000 184.898500 0.000174583
105 2930303220.000000 185.015500 0.000174672
106 2930303300.000000 185.130000 0.000174672
107 2930303380.000000 185.245000 0.000174583
108 2930303460.000000 185.360000 0.000174553
109 2930303540.000000 185.474000 0.000174583
110 2930303620.000000 185.590500 0.000174732
111 2930303700.000000 185.706500 0.000174702
112 2930303780.000000 185.823500 0.000174762
113 2930303860.000000 185.936000 0.000174821
114 2930303940.000000 186.053000 0.000174851
115 2930304020.000000 186.166000 0.000174732
116 2930304100.000000 186.284000 0.000174732
117 2930304180.000000 186.398000 0.000174643
118 2930304260.000000 186.516000 0.000174613
119 2930304340.000000 186.632000 0.000174702
120 2930304420.000000 186.746500 0.000174762
121 2930304500.000000 186.864000 0.000174821
