#  NO SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2913167300.000000 172.923000 0.000175626
1 2913167380.000000 173.035500 0.000175507
2 2913167460.000000 173.149500 0.000175447
3 2913167540.000000 173.264000 0.000175239
4 2913167620.000000 173.379000 0.000175179
5 2913167700.000000 173.488000 0.00017503
6 2913167780.000000 173.601000 0.000175
7 2913167860.000000 173.716000 0.000175
8 2913167940.000000 173.830000 0.000175179
9 2913168020.000000 173.947500 0.000175119
10 2913168100.000000 174.060500 0.00017503
11 2913168180.000000 174.177000 0.000175
12 2913168260.000000 174.289500 0.000174851
13 2913168340.000000 174.405500 0.000174881
14 2913168420.000000 174.520000 0.000175
15 2913168500.000000 174.633500 0.00017503
16 2913168580.000000 174.748000 0.000175119
17 2913168660.000000 174.866500 0.00017503
18 2913168740.000000 174.980500 0.000175119
19 2913168820.000000 175.098000 0.000175
20 2913168900.000000 175.211000 0.00017497
21 2913168980.000000 175.327500 0.00017506
22 2913169060.000000 175.442500 0.000174881
23 2913169140.000000 175.555500 0.000174881
24 2913169220.000000 175.672500 0.000174851
25 2913169300.000000 175.786500 0.000174911
26 2913169380.000000 175.903500 0.000174911
27 2913169460.000000 176.015500 0.000174881
28 2913169540.000000 176.133500 0.00017497
29 2913169620.000000 176.249500 0.000175
30 2913169700.000000 176.366500 0.00017503
31 2913169780.000000 176.480000 0.00017497
32 2913169860.000000 176.597500 0.00017497
33 2913169940.000000 176.714500 0.000174911
34 2913170020.000000 176.830000 0.00017497
35 2913170100.000000 176.948000 0.00017503
36 2913170180.000000 177.058500 0.00017506
37 2913170260.000000 177.178500 0.000175
38 2913170340.000000 177.292500 0.00017497
39 2913170420.000000 177.409000 0.000175
40 2913170516.000000 177.560000 0.00017503
41 2913170600.000000 177.732000 0.000174762
42 2913170720.000000 177.898000 0.000174732
43 2913170840.000000 178.047500 0.000174851
