#  SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2920344860.000000 172.927000 0.000170381
1 2920344960.000000 173.040500 0.00017047
2 2920345040.000000 173.158000 0.000170321
3 2920345120.000000 173.271500 0.000170202
4 2920345200.000000 173.389000 0.000170053
5 2920345280.000000 173.499500 0.000170023
6 2920345360.000000 173.616500 0.000169964
7 2920345440.000000 173.729500 0.000169964
8 2920345520.000000 173.846500 0.000170023
9 2920345600.000000 173.962000 0.000169964
10 2920345680.000000 174.077500 0.000170023
11 2920345760.000000 174.191500 0.000169934
12 2920345840.000000 174.307000 0.000170023
13 2920345920.000000 174.424500 0.000169964
14 2920346000.000000 174.535500 0.000169934
15 2920346080.000000 174.650000 0.000170023
16 2920346160.000000 174.765000 0.000170023
17 2920346240.000000 174.883000 0.000170053
18 2920346320.000000 174.996000 0.000170053
19 2920346400.000000 175.112000 0.000169904
20 2920346480.000000 175.226500 0.000169964
21 2920346560.000000 175.343500 0.000170053
22 2920346640.000000 175.458500 0.000170023
23 2920346720.000000 175.572500 0.000169964
24 2920346800.000000 175.688500 0.000169844
25 2920346880.000000 175.803500 0.000169904
26 2920346960.000000 175.919500 0.000169904
27 2920347040.000000 176.033000 0.000170023
28 2920347120.000000 176.151000 0.000170083
29 2920347200.000000 176.264000 0.000170053
30 2920347280.000000 176.382000 0.000170053
31 2920347360.000000 176.497500 0.000169904
32 2920347440.000000 176.613000 0.000169964
33 2920347520.000000 176.728500 0.000169934
34 2920347600.000000 176.845000 0.000169844
35 2920347680.000000 176.964000 0.000169874
36 2920347760.000000 177.077000 0.000169904
37 2920347840.000000 177.194000 0.000169993
38 2920347920.000000 177.308500 0.000169964
39 2920348000.000000 177.427500 0.000169964
40 2920348080.000000 177.540500 0.000169964
41 2920348160.000000 177.659000 0.000169844
42 2920348240.000000 177.774000 0.000169785
43 2920348320.000000 177.888000 0.000169695
44 2920348400.000000 178.005500 0.000169666
45 2920348480.000000 178.118500 0.000169844
46 2920348560.000000 178.234000 0.000169844
47 2920348640.000000 178.348000 0.000169904
48 2920348720.000000 178.463500 0.000169815
49 2920348800.000000 178.577000 0.000169815
50 2920348880.000000 178.694500 0.000169755
51 2920348960.000000 178.807000 0.000169636
52 2920349040.000000 178.925500 0.000169666
53 2920349120.000000 179.040000 0.000169666
54 2920349200.000000 179.154500 0.000169815
55 2920349280.000000 179.269500 0.000169815
56 2920349360.000000 179.386500 0.000169844
57 2920349440.000000 179.499500 0.000169844
58 2920349520.000000 179.610500 0.000169755
59 2920349600.000000 179.728000 0.000169666
60 2920349680.000000 179.843000 0.000169695
61 2920349760.000000 179.959000 0.000169576
62 2920349840.000000 180.070000 0.000169666
63 2920349920.000000 180.188000 0.000169666
64 2920350000.000000 180.302500 0.000169844
65 2920350080.000000 180.418500 0.000169904
66 2920350160.000000 180.530500 0.000169874
67 2920350240.000000 180.647000 0.000169904
68 2920350320.000000 180.763000 0.000169725
69 2920350400.000000 180.878000 0.000169666
70 2920350480.000000 180.994000 0.000169517
71 2920350560.000000 181.108000 0.000169636
72 2920350640.000000 181.226000 0.000169695
73 2920350720.000000 181.341500 0.000169755
74 2920350800.000000 181.458500 0.000169844
75 2920350880.000000 181.573500 0.000169815
76 2920350960.000000 181.693000 0.000169785
77 2920351040.000000 181.809000 0.000169695
78 2920351120.000000 181.923500 0.000169755
79 2920351200.000000 182.042500 0.000169904
80 2920351280.000000 182.153000 0.000169874
81 2920351360.000000 182.271500 0.000169904
82 2920351440.000000 182.386000 0.000169904
83 2920351520.000000 182.502000 0.000169844
84 2920351600.000000 182.616500 0.000169755
85 2920351680.000000 182.734000 0.000169666
86 2920351760.000000 182.851500 0.000169695
87 2920351840.000000 182.966000 0.000169517
88 2920351921.000000 183.083000 0.000169546
89 2920352000.000000 183.199000 0.000169487
90 2920352080.000000 183.314000 0.000169427
91 2920352160.000000 183.428000 0.000169606
92 2920352240.000000 183.545500 0.000169636
93 2920352320.000000 183.656500 0.000169755
94 2920352400.000000 183.773500 0.000169666
95 2920352480.000000 183.889000 0.000169666
96 2920352560.000000 184.003000 0.000169636
97 2920352640.000000 184.120000 0.000169517
98 2920352720.000000 184.235500 0.000169636
99 2920352800.000000 184.350000 0.000169606
100 2920352880.000000 184.464500 0.000169636
101 2920352960.000000 184.581500 0.000169666
102 2920353040.000000 184.693500 0.000169666
103 2920353120.000000 184.811000 0.000169755
104 2920353200.000000 184.924000 0.000169785
105 2920353280.000000 185.042000 0.000169904
106 2920353360.000000 185.153500 0.000169844
107 2920353440.000000 185.272500 0.000169755
108 2920353520.000000 185.385000 0.000169725
109 2920353600.000000 185.501000 0.000169725
110 2920353680.000000 185.617500 0.000169785
111 2920353760.000000 185.735000 0.000169874
112 2920353840.000000 185.847500 0.000169904
113 2920353920.000000 185.960000 0.000170083
114 2920354000.000000 186.077000 0.000169934
115 2920354080.000000 186.190500 0.000169934
116 2920354160.000000 186.308000 0.000169844
117 2920354240.000000 186.423500 0.000169785
118 2920354320.000000 186.539500 0.000169815
119 2920354400.000000 186.656000 0.000169815
120 2920354480.000000 186.773000 0.000169934
121 2920354560.000000 186.887500 0.000170023
122 2920354640.000000 187.003500 0.000170053
123 2920354720.000000 187.122000 0.000170202
124 2920354800.000000 187.235500 0.000170083
125 2920354880.000000 187.353000 0.000170053
126 2920354960.000000 187.465500 0.000169874
127 2920355040.000000 187.583000 0.000169815
128 2920355120.000000 187.698000 0.000169815
129 2920355200.000000 187.816500 0.000169785
130 2920355280.000000 187.931000 0.000169934
131 2920355360.000000 188.045500 0.000170083
132 2920355440.000000 188.163500 0.000170172
133 2920355520.000000 188.276000 0.000170083
134 2920355600.000000 188.393500 0.000169934
135 2920355680.000000 188.506500 0.000169815
136 2920355760.000000 188.622500 0.000169815
137 2920355840.000000 188.735500 0.000169785
138 2920355920.000000 188.853500 0.000169934
139 2920356000.000000 188.964500 0.000169964
140 2920356080.000000 189.083000 0.000170113
141 2920356160.000000 189.199500 0.000170053
142 2920356240.000000 189.313000 0.000170232
143 2920356320.000000 189.430000 0.000170202
144 2920356400.000000 189.542000 0.000170172
145 2920356480.000000 189.659500 0.000169993
146 2920356560.000000 189.773500 0.000169874
147 2920356640.000000 189.890000 0.000169993
148 2920356720.000000 190.002500 0.000170023
