# NO SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- 15-02 etalon. 1.5" spacing
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2924583062.000000 172.915000 0.000175388
1 2924583140.000000 173.036500 0.000175328
2 2924583220.000000 173.143500 0.000175298
3 2924583320.000000 173.270000 0.000175119
4 2924583400.000000 173.386000 0.000175119
5 2924583480.000000 173.498000 0.00017503
6 2924583560.000000 173.615000 0.000175149
7 2924583640.000000 173.728000 0.000175149
8 2924583720.000000 173.844000 0.000175149
9 2924583800.000000 173.961000 0.000175209
10 2924583880.000000 174.074000 0.00017509
11 2924583960.000000 174.189500 0.00017506
12 2924584040.000000 174.306000 0.00017506
13 2924584120.000000 174.420000 0.00017509
14 2924584200.000000 174.534500 0.000175119
15 2924584280.000000 174.651500 0.000175209
16 2924584360.000000 174.767000 0.000175447
17 2924584440.000000 174.883000 0.000175566
18 2924584520.000000 174.995500 0.000175507
19 2924584600.000000 175.114000 0.000175447
20 2924584680.000000 175.227000 0.000175239
21 2924584760.000000 175.342000 0.000175149
22 2924584840.000000 175.458000 0.00017497
23 2924584920.000000 175.571500 0.000174881
24 2924585000.000000 175.687500 0.00017497
25 2924585080.000000 175.802500 0.00017497
26 2924585160.000000 175.919000 0.00017506
27 2924585240.000000 176.032000 0.00017503
28 2924585320.000000 176.150000 0.000175119
29 2924585400.000000 176.265000 0.00017506
30 2924585480.000000 176.381500 0.00017503
31 2924585560.000000 176.498000 0.000175
32 2924585640.000000 176.613000 0.000175
33 2924585720.000000 176.728500 0.00017497
34 2924585800.000000 176.844500 0.00017497
35 2924585880.000000 176.961000 0.00017503
36 2924585960.000000 177.074500 0.000175
37 2924586040.000000 177.193500 0.00017497
38 2924586120.000000 177.306000 0.000174911
39 2924586200.000000 177.423000 0.000174941
40 2924586280.000000 177.538000 0.00017497
41 2924586360.000000 177.656000 0.000174821
42 2924586440.000000 177.771000 0.000174732
43 2924586520.000000 177.884500 0.000174672
44 2924586600.000000 178.002000 0.000174702
45 2924586680.000000 178.115000 0.000174792
46 2924586760.000000 178.231000 0.000174911
47 2924586840.000000 178.344500 0.000174881
48 2924586920.000000 178.462500 0.000174851
49 2924587000.000000 178.576000 0.000174672
50 2924587080.000000 178.691500 0.000174672
51 2924587160.000000 178.806500 0.000174672
52 2924587240.000000 178.921500 0.000174613
53 2924587320.000000 179.037000 0.000174672
54 2924587400.000000 179.153000 0.000174583
55 2924587480.000000 179.266500 0.000174792
56 2924587560.000000 179.381500 0.000174702
57 2924587640.000000 179.498500 0.000174702
58 2924587720.000000 179.612500 0.000174702
59 2924587800.000000 179.726000 0.000174583
60 2924587880.000000 179.842000 0.000174643
61 2924587960.000000 179.958500 0.000174404
62 2924588040.000000 180.070000 0.000174523
63 2924588120.000000 180.189000 0.000174613
64 2924588200.000000 180.303000 0.000174672
65 2924588280.000000 180.417000 0.000174821
66 2924588360.000000 180.533000 0.000174732
67 2924588440.000000 180.646500 0.000174732
68 2924588520.000000 180.763000 0.000174613
69 2924588600.000000 180.878000 0.000174553
70 2924588680.000000 180.994000 0.000174464
71 2924588760.000000 181.108000 0.000174464
72 2924588840.000000 181.225500 0.000174613
73 2924588920.000000 181.340500 0.000174732
74 2924589000.000000 181.457500 0.000174762
75 2924589080.000000 181.573000 0.000174762
76 2924589160.000000 181.691000 0.000174762
77 2924589240.000000 181.807500 0.000174672
78 2924589320.000000 181.921500 0.000174613
79 2924589400.000000 182.040500 0.000174613
80 2924589480.000000 182.155500 0.000174702
81 2924589560.000000 182.271000 0.000174613
82 2924589640.000000 182.386000 0.000174613
83 2924589720.000000 182.501000 0.000174672
84 2924589800.000000 182.617000 0.000174672
85 2924589880.000000 182.732500 0.000174672
86 2924589960.000000 182.850000 0.000174613
87 2924590040.000000 182.965500 0.000174583
88 2924590120.000000 183.083500 0.000174374
89 2924590200.000000 183.195500 0.000174464
90 2924590280.000000 183.311000 0.000174434
91 2924590360.000000 183.426000 0.000174613
92 2924590441.000000 183.543000 0.000174643
93 2924590520.000000 183.656500 0.000174702
94 2924590600.000000 183.771500 0.000174792
95 2924590680.000000 183.886000 0.000174792
96 2924590760.000000 184.000000 0.00017503
97 2924590840.000000 184.116000 0.000174911
98 2924590920.000000 184.232000 0.000174702
99 2924591000.000000 184.346000 0.000174702
100 2924591080.000000 184.461000 0.000174583
101 2924591160.000000 184.578000 0.000174672
102 2924591240.000000 184.693000 0.000174672
103 2924591320.000000 184.806500 0.000174732
104 2924591400.000000 184.921500 0.000174762
105 2924591480.000000 185.039500 0.000174672
106 2924591560.000000 185.151000 0.000174702
107 2924591640.000000 185.269000 0.000174643
108 2924591720.000000 185.384000 0.000174583
109 2924591800.000000 185.500500 0.000174553
110 2924591880.000000 185.614000 0.000174583
111 2924591960.000000 185.731000 0.000174762
112 2924592040.000000 185.846500 0.000174881
113 2924592120.000000 185.959500 0.00017497
114 2924592200.000000 186.077000 0.000174941
115 2924592280.000000 186.191500 0.000174792
116 2924592360.000000 186.307000 0.000174732
117 2924592440.000000 186.423500 0.000174732
118 2924592520.000000 186.541500 0.000174672
119 2924592600.000000 186.655500 0.000174762
120 2924592680.000000 186.773500 0.000174732
121 2924592760.000000 186.886500 0.00017497
122 2924592840.000000 187.002500 0.000175
123 2924592920.000000 187.121000 0.000175119
124 2924593000.000000 187.234500 0.00017506
125 2924593080.000000 187.352000 0.000174941
126 2924593160.000000 187.465500 0.000174851
127 2924593240.000000 187.584500 0.000174702
128 2924593320.000000 187.697000 0.000174702
129 2924593400.000000 187.811000 0.000174762
130 2924593480.000000 187.929000 0.000174821
131 2924593560.000000 188.043500 0.00017503
132 2924593640.000000 188.160000 0.00017503
133 2924593720.000000 188.272000 0.00017506
134 2924593800.000000 188.392000 0.000174911
135 2924593880.000000 188.504500 0.000174851
136 2924593960.000000 188.621500 0.000174821
137 2924594040.000000 188.733000 0.000174583
138 2924594120.000000 188.850500 0.000174732
139 2924594200.000000 188.966000 0.000174821
140 2924594280.000000 189.080000 0.000175
141 2924594360.000000 189.193500 0.000175149
142 2924594440.000000 189.310000 0.00017503
143 2924594520.000000 189.426500 0.00017509
144 2924594600.000000 189.541500 0.000174941
145 2924594680.000000 189.656500 0.000174851
146 2924594760.000000 189.771000 0.000174762
