#  SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 X pol measurements of 15-02-01 15/40 double sided BOPP


another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3428440040.000000 168.029500 0.000189633
1 3428440120.000000 168.183000 0.000189544
2 3428440200.000000 168.339000 0.000189454
3 3428440280.000000 168.493000 0.000189484
4 3428440360.000000 168.647500 0.000189484
5 3428440440.000000 168.802500 0.000189603
6 3428440520.000000 168.955500 0.000189633
7 3428440600.000000 169.111000 0.000189633
8 3428440680.000000 169.266000 0.000189663
9 3428440760.000000 169.418500 0.000189633
10 3428440840.000000 169.574500 0.000189574
11 3428440920.000000 169.729000 0.000189514
12 3428441000.000000 169.882000 0.000189454
13 3428441080.000000 170.037500 0.000189454
14 3428441160.000000 170.193500 0.000189514
15 3428441240.000000 170.347000 0.000189514
16 3428441320.000000 170.503000 0.000189603
17 3428441400.000000 170.659000 0.000189663
18 3428441480.000000 170.811000 0.000189574
19 3428441560.000000 170.966500 0.000189544
20 3428441640.000000 171.124500 0.000189454
21 3428441720.000000 171.278000 0.000189395
22 3428441800.000000 171.435000 0.000189395
23 3428441880.000000 171.594500 0.000189395
24 3428441960.000000 171.746000 0.000189365
25 3428442040.000000 171.904000 0.000189484
26 3428442120.000000 172.057000 0.000189514
27 3428442200.000000 172.212500 0.000189574
28 3428442280.000000 172.369500 0.000189633
29 3428442360.000000 172.524500 0.000189514
30 3428442440.000000 172.678500 0.000189454
31 3428442520.000000 172.835000 0.000189395
32 3428442600.000000 172.990500 0.000189395
33 3428442680.000000 173.146000 0.000189365
34 3428442760.000000 173.298000 0.000189424
35 3428442840.000000 173.454000 0.000189365
36 3428442920.000000 173.610000 0.000189454
37 3428443000.000000 173.764000 0.000189424
38 3428443080.000000 173.919000 0.000189395
39 3428443160.000000 174.075500 0.000189275
40 3428443240.000000 174.229000 0.000189275
41 3428443320.000000 174.384000 0.000189335
42 3428443400.000000 174.540500 0.000189275
43 3428443480.000000 174.693500 0.000189246
44 3428443560.000000 174.849500 0.000189335
45 3428443640.000000 175.005000 0.000189395
46 3428443720.000000 175.161500 0.000189335
47 3428443800.000000 175.313500 0.000189335
48 3428443880.000000 175.469000 0.000189275
49 3428443960.000000 175.625000 0.000189246
50 3428444040.000000 175.777000 0.000189216
