#  NO SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 X pol measurements of 15-02-01 15/40 double sided BOPP


another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3428971240.000000 168.009000 0.000197918
1 3428971320.000000 168.156500 0.000197948
2 3428971400.000000 168.312000 0.000197888
3 3428971480.000000 168.466000 0.000197829
4 3428971560.000000 168.620000 0.000197888
5 3428971640.000000 168.776500 0.000197918
6 3428971720.000000 168.928000 0.000197948
7 3428971800.000000 169.084500 0.000198008
8 3428971880.000000 169.239000 0.000197978
9 3428971960.000000 169.394500 0.000197978
10 3428972040.000000 169.547500 0.000197948
11 3428972120.000000 169.701500 0.000197888
12 3428972200.000000 169.858500 0.000197799
13 3428972280.000000 170.010000 0.000197829
14 3428972360.000000 170.166000 0.000197829
15 3428972440.000000 170.323000 0.000197859
16 3428972520.000000 170.475000 0.000197918
17 3428972600.000000 170.632000 0.000197978
18 3428972680.000000 170.787000 0.000197888
19 3428972760.000000 170.940500 0.000197829
20 3428972840.000000 171.096500 0.000197829
21 3428972920.000000 171.251500 0.000197829
22 3428973000.000000 171.411000 0.000197769
23 3428973080.000000 171.565500 0.000197769
24 3428973160.000000 171.722000 0.00019771
25 3428973240.000000 171.877500 0.000197799
26 3428973320.000000 172.032000 0.000197859
27 3428973400.000000 172.186500 0.000197829
28 3428973480.000000 172.342500 0.000197799
29 3428973560.000000 172.498500 0.000197829
30 3428973640.000000 172.657000 0.000197799
31 3428973720.000000 172.810000 0.000197859
32 3428973800.000000 172.964500 0.000197739
33 3428973880.000000 173.118500 0.00019765
34 3428973960.000000 173.273000 0.00019768
35 3428974040.000000 173.429000 0.00019771
36 3428974120.000000 173.581000 0.000197799
37 3428974200.000000 173.736000 0.000197799
38 3428974280.000000 173.895000 0.000197739
39 3428974360.000000 174.047500 0.00019768
40 3428974440.000000 174.204000 0.000197561
41 3428974520.000000 174.359000 0.00019768
42 3428974600.000000 174.512000 0.00019768
43 3428974680.000000 174.669000 0.00019765
44 3428974760.000000 174.824000 0.00019771
45 3428974840.000000 174.977500 0.000197769
46 3428974920.000000 175.134000 0.00019771
47 3428975000.000000 175.287500 0.000197769
48 3428975080.000000 175.442000 0.000197739
49 3428975160.000000 175.597500 0.00019759
50 3428975240.000000 175.752000 0.000197561
51 3428975320.000000 175.907500 0.00019759
52 3428975400.000000 176.063500 0.000197561
53 3428975480.000000 176.217500 0.00019768
54 3428975560.000000 176.375000 0.00019768
55 3428975640.000000 176.530500 0.00019759
56 3428975720.000000 176.688000 0.00019762
57 3428975800.000000 176.840500 0.00019762
58 3428975880.000000 176.997500 0.00019765
59 3428975960.000000 177.153000 0.000197501
60 3428976040.000000 177.304500 0.000197561
61 3428976120.000000 177.462500 0.000197501
62 3428976200.000000 177.619000 0.000197501
63 3428976280.000000 177.774000 0.000197561
64 3428976360.000000 177.931500 0.000197561
65 3428976440.000000 178.085000 0.00019759
66 3428976520.000000 178.239500 0.000197561
67 3428976600.000000 178.395500 0.000197531
68 3428976680.000000 178.546500 0.00019762
