# NO SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 X pol measurements of 15-02-01 15/40 double sided BOPP


another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3431072601.000000 168.014000 0.000197888
1 3431072680.000000 168.167500 0.000197829
2 3431072760.000000 168.334500 0.00019768
3 3431072860.000000 168.493000 0.00019765
4 3431072940.000000 168.648000 0.000197769
5 3431073020.000000 168.804000 0.000197769
6 3431073100.000000 168.955500 0.000197829
7 3431073180.000000 169.112000 0.000197799
8 3431073260.000000 169.267500 0.000197769
9 3431073340.000000 169.421500 0.000197769
10 3431073420.000000 169.576000 0.000197799
11 3431073500.000000 169.729500 0.00019768
12 3431073580.000000 169.885500 0.00019762
13 3431073660.000000 170.038000 0.00019762
14 3431073740.000000 170.193000 0.00019768
15 3431073820.000000 170.351000 0.00019768
16 3431073900.000000 170.502500 0.000197769
17 3431073980.000000 170.658000 0.000197739
18 3431074060.000000 170.815000 0.00019771
19 3431074140.000000 170.967000 0.00019768
20 3431074220.000000 171.125500 0.00019759
21 3431074300.000000 171.282500 0.00019765
22 3431074380.000000 171.436500 0.000197561
23 3431074460.000000 171.592500 0.00019762
24 3431074540.000000 171.746500 0.00019759
25 3431074620.000000 171.904500 0.00019771
26 3431074700.000000 172.060000 0.00019771
27 3431074780.000000 172.213000 0.00019768
28 3431074860.000000 172.368000 0.00019765
29 3431074940.000000 172.525000 0.00019759
30 3431075020.000000 172.683000 0.000197501
31 3431075100.000000 172.835500 0.000197561
32 3431075180.000000 172.991000 0.000197531
33 3431075260.000000 173.146000 0.000197501
34 3431075340.000000 173.300500 0.000197471
35 3431075420.000000 173.457000 0.000197561
36 3431075500.000000 173.608000 0.00019759
37 3431075580.000000 173.763000 0.00019765
38 3431075660.000000 173.921500 0.000197561
39 3431075740.000000 174.075000 0.000197501
40 3431075820.000000 174.229500 0.000197412
41 3431075900.000000 174.386000 0.000197441
42 3431075980.000000 174.537500 0.000197441
43 3431076060.000000 174.695500 0.000197471
44 3431076140.000000 174.852000 0.000197531
45 3431076220.000000 175.004000 0.00019759
46 3431076300.000000 175.161000 0.000197561
47 3431076380.000000 175.315000 0.00019759
48 3431076460.000000 175.468500 0.000197531
49 3431076540.000000 175.624000 0.000197412
50 3431076620.000000 175.778500 0.000197382
51 3431076700.000000 175.933500 0.000197382
52 3431076780.000000 176.090000 0.000197382
53 3431076860.000000 176.245500 0.000197412
54 3431076940.000000 176.401000 0.000197471
55 3431077020.000000 176.556000 0.000197501
56 3431077100.000000 176.713500 0.000197531
57 3431077180.000000 176.868000 0.000197501
58 3431077260.000000 177.023000 0.000197382
59 3431077340.000000 177.180500 0.000197382
60 3431077420.000000 177.332000 0.000197322
61 3431077500.000000 177.491000 0.000197352
62 3431077580.000000 177.647500 0.000197352
63 3431077660.000000 177.800500 0.000197352
64 3431077740.000000 177.957500 0.000197382
65 3431077820.000000 178.113000 0.000197292
66 3431077900.000000 178.266500 0.000197322
67 3431077980.000000 178.422500 0.000197412
68 3431078060.000000 178.572500 0.000197382
69 3431078140.000000 178.728500 0.000197382
70 3431078220.000000 178.883000 0.000197233
71 3431078300.000000 179.038500 0.000197233
72 3431078380.000000 179.197500 0.000197292
73 3431078460.000000 179.346500 0.000197292
74 3431078540.000000 179.503500 0.000197352
75 3431078620.000000 179.657500 0.000197322
76 3431078700.000000 179.813500 0.000197292
77 3431078780.000000 179.971000 0.000197292
78 3431078860.000000 180.120500 0.000197322
79 3431078940.000000 180.277000 0.000197382
80 3431079020.000000 180.429500 0.000197292
81 3431079100.000000 180.585000 0.000197233
82 3431079180.000000 180.741000 0.000197263
83 3431079260.000000 180.893000 0.000197263
84 3431079340.000000 181.050000 0.000197263
85 3431079420.000000 181.208500 0.000197292
86 3431079500.000000 181.362500 0.000197203
87 3431079580.000000 181.518000 0.000197203
88 3431079660.000000 181.674500 0.000197233
89 3431079740.000000 181.829500 0.000197263
90 3431079820.000000 181.986500 0.000197292
91 3431079900.000000 182.142000 0.000197233
92 3431079980.000000 182.297500 0.000197173
93 3431080060.000000 182.452500 0.000197143
94 3431080140.000000 182.608500 0.000197143
95 3431080220.000000 182.763000 0.000197203
96 3431080300.000000 182.919500 0.000197173
97 3431080380.000000 183.076500 0.000197113
98 3431080460.000000 183.229500 0.000197233
99 3431080540.000000 183.385500 0.000197173
100 3431080620.000000 183.540500 0.000197292
101 3431080700.000000 183.693000 0.000197203
102 3431080780.000000 183.849000 0.000197113
103 3431080860.000000 184.004500 0.000197054
104 3431080940.000000 184.157500 0.000197143
105 3431081020.000000 184.316500 0.000197143
