# # SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4054107400.000000 168.020500 0.000193001
1 4054107480.000000 168.171500 0.000192971
2 4054107560.000000 168.327500 0.000192971
3 4054107640.000000 168.482500 0.000193031
4 4054107720.000000 168.637000 0.00019312
5 4054107800.000000 168.792000 0.00019315
6 4054107880.000000 168.943500 0.00019309
7 4054107960.000000 169.101000 0.00019309
8 4054108040.000000 169.256000 0.00019309
9 4054108120.000000 169.407500 0.000193031
10 4054108200.000000 169.564500 0.000192971
11 4054108280.000000 169.718000 0.000193001
12 4054108360.000000 169.874000 0.000192971
13 4054108440.000000 170.026000 0.000192971
14 4054108520.000000 170.180500 0.000193001
15 4054108600.000000 170.338000 0.000193031
16 4054108680.000000 170.490500 0.00019309
17 4054108760.000000 170.647000 0.00019306
18 4054108840.000000 170.802500 0.000193031
19 4054108920.000000 170.954500 0.000192971
20 4054109000.000000 171.112000 0.000192882
21 4054109080.000000 171.269500 0.000192911
22 4054109160.000000 171.423500 0.000192911
23 4054109240.000000 171.582000 0.000192941
24 4054109320.000000 171.734500 0.000192971
25 4054109400.000000 171.891500 0.000192971
26 4054109480.000000 172.046500 0.000193001
27 4054109560.000000 172.203000 0.000193031
28 4054109640.000000 172.357000 0.000192882
29 4054109720.000000 172.513000 0.000192792
30 4054109800.000000 172.676500 0.000192852
31 4054109880.000000 172.820500 0.000192792
32 4054109960.000000 172.977000 0.000192911
33 4054110040.000000 173.133000 0.000192971
34 4054110120.000000 173.287000 0.000192971
35 4054110200.000000 173.443000 0.000192971
36 4054110280.000000 173.598500 0.000193001
37 4054110360.000000 173.749500 0.000192911
38 4054110440.000000 173.907500 0.000192911
39 4054110520.000000 174.064500 0.000192852
40 4054110600.000000 174.216500 0.000192733
41 4054110680.000000 174.373000 0.000192792
42 4054110760.000000 174.527500 0.000192911
43 4054110840.000000 174.684500 0.000193001
44 4054110920.000000 174.837000 0.000192971
45 4054111000.000000 174.993500 0.000192882
46 4054111080.000000 175.146500 0.000192852
47 4054111160.000000 175.300500 0.000192822
48 4054111240.000000 175.458500 0.000192852
49 4054111320.000000 175.615000 0.000192792
50 4054111400.000000 175.764500 0.000192762
51 4054111480.000000 175.922500 0.000192733
52 4054111560.000000 176.078000 0.000192792
53 4054111640.000000 176.232000 0.000192792
54 4054111720.000000 176.389000 0.000192822
55 4054111800.000000 176.543000 0.000192882
56 4054111880.000000 176.699000 0.000192733
57 4054111960.000000 176.856500 0.000192673
58 4054112040.000000 177.012000 0.000192733
59 4054112120.000000 177.165500 0.000192733
60 4054112200.000000 177.321500 0.000192733
