# SAMPLE - ONE-ARM
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4045484680.000000 168.013000 0.000155241
1 4045484760.000000 168.164000 0.000155271
2 4045484840.000000 168.318500 0.000155271
3 4045484920.000000 168.468000 0.000155241
4 4045485000.000000 168.624500 0.000155211
5 4045485080.000000 168.777000 0.000155241
6 4045485160.000000 168.926500 0.000155182
7 4045485240.000000 169.075000 0.000155271
8 4045485320.000000 169.224500 0.000155211
9 4045485400.000000 169.380500 0.000155211
10 4045485480.000000 169.536000 0.000155211
11 4045485560.000000 169.685500 0.000155211
12 4045485640.000000 169.842500 0.000155241
13 4045485720.000000 169.997500 0.000155211
14 4045485800.000000 170.149500 0.000155241
15 4045485880.000000 170.305500 0.000155211
16 4045485960.000000 170.460500 0.000155211
17 4045486040.000000 170.614000 0.000155211
18 4045486120.000000 170.768500 0.000155152
19 4045486200.000000 170.923500 0.000155182
20 4045486280.000000 171.081000 0.000155182
21 4045486360.000000 171.235500 0.000155152
22 4045486440.000000 171.391500 0.000155241
23 4045486520.000000 171.547000 0.000155182
24 4045486600.000000 171.703500 0.000155062
25 4045486680.000000 171.861500 0.000155182
26 4045486760.000000 172.013000 0.000155152
27 4045486840.000000 172.168500 0.000155152
28 4045486920.000000 172.326000 0.000155122
29 4045487000.000000 172.482000 0.000155092
30 4045487080.000000 172.638500 0.000155211
31 4045487160.000000 172.792500 0.000155301
32 4045487240.000000 172.947500 0.000155182
33 4045487320.000000 173.103000 0.000155211
34 4045487400.000000 173.257000 0.000155122
35 4045487480.000000 173.413500 0.000155122
36 4045487560.000000 173.566000 0.000155122
37 4045487640.000000 173.721500 0.000155182
38 4045487720.000000 173.877500 0.000155182
39 4045487800.000000 174.028500 0.000155122
40 4045487880.000000 174.186000 0.000155062
41 4045487960.000000 174.343500 0.000155122
42 4045488040.000000 174.498000 0.000155152
43 4045488120.000000 174.652000 0.000155062
44 4045488200.000000 174.806000 0.000155152
45 4045488280.000000 174.962500 0.000155092
46 4045488360.000000 175.115000 0.000155152
47 4045488440.000000 175.270000 0.000155122
48 4045488520.000000 175.427000 0.000155122
49 4045488600.000000 175.579500 0.000155062
50 4045488680.000000 175.734000 0.000155122
51 4045488760.000000 175.892500 0.000155033
52 4045488840.000000 176.044500 0.000155092
53 4045488920.000000 176.201500 0.000155092
54 4045489000.000000 176.358500 0.000155062
55 4045489080.000000 176.510000 0.000155033
56 4045489160.000000 176.667500 0.000155033
57 4045489240.000000 176.823500 0.000155092
58 4045489320.000000 176.979500 0.000155062
59 4045489400.000000 177.135000 0.000155062
