# # NO SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4046539620.000000 168.014500 0.000215353
1 4046539700.000000 168.167500 0.000215293
2 4046539780.000000 168.323500 0.000215353
3 4046539860.000000 168.477500 0.000215382
4 4046539940.000000 168.630000 0.000215382
5 4046540020.000000 168.786500 0.000215502
6 4046540100.000000 168.941500 0.000215442
7 4046540180.000000 169.099500 0.000215442
8 4046540260.000000 169.251000 0.000215382
9 4046540340.000000 169.406500 0.000215442
10 4046540420.000000 169.563500 0.000215323
11 4046540500.000000 169.715000 0.000215353
12 4046540580.000000 169.872000 0.000215233
13 4046540660.000000 170.026000 0.000215293
14 4046540740.000000 170.177500 0.000215323
15 4046540820.000000 170.335500 0.000215502
16 4046540900.000000 170.489500 0.000215442
17 4046540980.000000 170.643000 0.000215382
18 4046541060.000000 170.798500 0.000215293
19 4046541140.000000 170.950000 0.000215293
20 4046541220.000000 171.108500 0.000215263
21 4046541300.000000 171.266000 0.000215293
22 4046541380.000000 171.422000 0.000215233
23 4046541460.000000 171.577500 0.000215233
24 4046541540.000000 171.734000 0.000215293
25 4046541620.000000 171.889000 0.000215323
26 4046541700.000000 172.042500 0.000215412
27 4046541780.000000 172.197000 0.000215353
28 4046541860.000000 172.353000 0.000215353
29 4046541940.000000 172.509000 0.000215233
30 4046542020.000000 172.666000 0.000215233
31 4046542100.000000 172.820000 0.000215293
32 4046542180.000000 172.976500 0.000215233
33 4046542260.000000 173.133000 0.000215233
34 4046542340.000000 173.285500 0.000215263
35 4046542420.000000 173.440500 0.000215412
36 4046542500.000000 173.596000 0.000215382
37 4046542580.000000 173.750500 0.000215382
38 4046542660.000000 173.905500 0.000215233
39 4046542740.000000 174.061000 0.000215174
40 4046542820.000000 174.214000 0.000215204
41 4046542900.000000 174.370500 0.000215233
42 4046542980.000000 174.524000 0.000215293
43 4046543060.000000 174.681500 0.000215353
44 4046543140.000000 174.833500 0.000215263
45 4046543220.000000 174.989500 0.000215233
46 4046543300.000000 175.145500 0.000215263
47 4046543380.000000 175.296500 0.000215353
48 4046543460.000000 175.455000 0.000215263
49 4046543540.000000 175.607500 0.000215204
50 4046543620.000000 175.761500 0.000215174
51 4046543700.000000 175.920500 0.000215204
52 4046543780.000000 176.072500 0.000215263
53 4046543860.000000 176.230000 0.000215293
54 4046543940.000000 176.387000 0.000215204
55 4046544020.000000 176.538000 0.000215174
56 4046544100.000000 176.696000 0.000215204
57 4046544180.000000 176.853000 0.000215144
58 4046544260.000000 177.006000 0.000215263
59 4046544340.000000 177.162500 0.000215174
60 4046544420.000000 177.318000 0.000215114
