# # SAMPLE
FTS 95 GHz source w/rect feedhorn and 95 GHz diode detector w/ 
circular feedhorn and circ - rect transition; 
95 GHz source does NOT have bandpass filter

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 4048922780.000000 168.005500 0.000203134
1 4048922860.000000 168.159500 0.000203014
2 4048922940.000000 168.308000 0.000203014
3 4048923020.000000 168.462000 0.000203014
4 4048923100.000000 168.615000 0.000203014
5 4048923180.000000 168.771500 0.000203134
6 4048923260.000000 168.924500 0.000203193
7 4048923340.000000 169.080500 0.000203163
8 4048923420.000000 169.231500 0.000203104
9 4048923500.000000 169.388500 0.000203074
10 4048923580.000000 169.544500 0.000203014
11 4048923660.000000 169.697500 0.000202985
12 4048923740.000000 169.850500 0.000202985
13 4048923820.000000 170.004500 0.000202925
14 4048923900.000000 170.161500 0.000203014
15 4048923980.000000 170.315500 0.000203104
16 4048924060.000000 170.467500 0.000203134
17 4048924140.000000 170.625500 0.000203104
18 4048924220.000000 170.778000 0.000203074
19 4048924300.000000 170.932500 0.000202925
20 4048924380.000000 171.091500 0.000202955
21 4048924460.000000 171.244500 0.000202955
22 4048924540.000000 171.402000 0.000203014
23 4048924620.000000 171.560500 0.000202925
24 4048924700.000000 171.713000 0.000203014
25 4048924780.000000 171.871000 0.000202985
26 4048924860.000000 172.025500 0.000203074
27 4048924940.000000 172.180000 0.000203044
28 4048925020.000000 172.336500 0.000202985
29 4048925100.000000 172.492000 0.000202925
30 4048925180.000000 172.647500 0.000202865
31 4048925260.000000 172.803000 0.000202895
32 4048925340.000000 172.960500 0.000202895
33 4048925420.000000 173.112500 0.000203014
34 4048925500.000000 173.267500 0.000202955
35 4048925580.000000 173.425000 0.000202955
36 4048925660.000000 173.577000 0.000202985
37 4048925740.000000 173.731500 0.000202895
38 4048925820.000000 173.888000 0.000202985
39 4048925900.000000 174.043500 0.000202865
40 4048925980.000000 174.198000 0.000202865
41 4048926060.000000 174.354500 0.000202895
42 4048926140.000000 174.509000 0.000202925
43 4048926220.000000 174.664000 0.000203014
44 4048926300.000000 174.820000 0.000203014
45 4048926380.000000 174.976000 0.000203044
46 4048926460.000000 175.130000 0.000202925
47 4048926540.000000 175.283500 0.000202925
48 4048926620.000000 175.440500 0.000202836
49 4048926700.000000 175.593500 0.000202806
50 4048926780.000000 175.747500 0.000202776
51 4048926860.000000 175.903500 0.000202836
52 4048926940.000000 176.057000 0.000202836
53 4048927020.000000 176.214000 0.000202865
54 4048927101.000000 176.368000 0.000202865
55 4048927180.000000 176.522500 0.000202895
56 4048927260.000000 176.678000 0.000202895
57 4048927340.000000 176.834000 0.000202865
58 4048927420.000000 176.990500 0.000202806
59 4048927500.000000 177.142500 0.000202836
60 4048927580.000000 177.297500 0.000202836
