# NO SAMPLE 
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 456253680.000000 168.015500 0.000209094
1 456253760.000000 168.164000 0.000209124
2 456253840.000000 168.316500 0.000208975
3 456253920.000000 168.470000 0.000208975
4 456254000.000000 168.625000 0.000208885
5 456254080.000000 168.782000 0.000209124
6 456254160.000000 168.934000 0.000209064
7 456254240.000000 169.092000 0.000209094
8 456254320.000000 169.246500 0.000209005
9 456254400.000000 169.398000 0.000209005
10 456254480.000000 169.554500 0.000208975
11 456254560.000000 169.707500 0.000208975
12 456254640.000000 169.865000 0.000209154
13 456254720.000000 170.017000 0.000209154
14 456254800.000000 170.172500 0.000208975
15 456254880.000000 170.329500 0.000209034
16 456254960.000000 170.482000 0.000208915
17 456255040.000000 170.638000 0.000209094
18 456255120.000000 170.790000 0.000209064
19 456255200.000000 170.944000 0.000209154
20 456255280.000000 171.102000 0.000209094
21 456255360.000000 171.260000 0.000208826
22 456255440.000000 171.413500 0.000208975
23 456255520.000000 171.570500 0.000209094
24 456255600.000000 171.725500 0.000209064
25 456255680.000000 171.883000 0.000209094
26 456255760.000000 172.035500 0.000209034
27 456255840.000000 172.193000 0.000208975
28 456255920.000000 172.349500 0.000208915
29 456256000.000000 172.501000 0.000209034
30 456256080.000000 172.657000 0.000209183
31 456256160.000000 172.813000 0.000209213
32 456256240.000000 172.969000 0.000209154
33 456256320.000000 173.122000 0.000208975
34 456256400.000000 173.276000 0.000208945
35 456256480.000000 173.433500 0.000208945
36 456256560.000000 173.587500 0.000209034
37 456256640.000000 173.739500 0.000209154
38 456256720.000000 173.895500 0.000209064
39 456256800.000000 174.053000 0.000209064
40 456256880.000000 174.207500 0.000208915
41 456256960.000000 174.363000 0.000208885
42 456257040.000000 174.517000 0.000208915
43 456257120.000000 174.673000 0.000208975
44 456257200.000000 174.828000 0.000209183
45 456257280.000000 174.983000 0.000209183
46 456257360.000000 175.138000 0.000209183
47 456257440.000000 175.291500 0.000209094
48 456257520.000000 175.447500 0.000209005
49 456257600.000000 175.600500 0.000208975
50 456257680.000000 175.757000 0.000208975
51 456257760.000000 175.910000 0.000209064
52 456257840.000000 176.066000 0.000209094
53 456257920.000000 176.223000 0.000209124
54 456258000.000000 176.378500 0.000209064
55 456258080.000000 176.532500 0.000208945
56 456258160.000000 176.690500 0.000208945
57 456258240.000000 176.844500 0.000209005
58 456258320.000000 177.001000 0.000209154
59 456258400.000000 177.158000 0.000209154
60 456258480.000000 177.310500 0.000209094
61 456258560.000000 177.468000 0.000209005
62 456258640.000000 177.624000 0.000208885
63 456258720.000000 177.778000 0.000208885
