# # NO SAMPLE 
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 460580800.000000 168.017000 0.000208796
1 460580880.000000 168.168500 0.000208856
2 460580960.000000 168.325500 0.000208736
3 460581040.000000 168.480000 0.000208736
4 460581120.000000 168.633500 0.000208736
5 460581200.000000 168.789000 0.000208766
6 460581281.000000 168.943500 0.000208885
7 460581360.000000 169.101000 0.000208885
8 460581440.000000 169.255000 0.000208796
9 460581520.000000 169.407500 0.000208766
10 460581600.000000 169.564500 0.000208736
11 460581680.000000 169.718500 0.000208766
12 460581760.000000 169.872500 0.000208766
13 460581840.000000 170.027500 0.000208796
14 460581920.000000 170.181500 0.000208736
15 460582000.000000 170.336500 0.000208647
16 460582080.000000 170.492000 0.000208677
17 460582160.000000 170.644500 0.000208736
18 460582240.000000 170.800500 0.000208885
19 460582320.000000 170.956000 0.000208796
20 460582400.000000 171.109500 0.000208647
21 460582480.000000 171.267000 0.000208617
22 460582560.000000 171.424000 0.000208528
23 460582640.000000 171.581000 0.000208736
24 460582720.000000 171.734000 0.000208796
25 460582800.000000 171.892500 0.000208796
26 460582880.000000 172.046000 0.000208707
27 460582960.000000 172.200500 0.000208558
28 460583040.000000 172.359000 0.000208587
29 460583120.000000 172.514000 0.000208647
30 460583200.000000 172.669000 0.000208885
31 460583280.000000 172.825500 0.000208796
32 460583360.000000 172.978500 0.000208736
33 460583440.000000 173.135500 0.000208647
34 460583520.000000 173.288000 0.000208528
35 460583600.000000 173.442500 0.000208558
36 460583680.000000 173.597000 0.000208677
37 460583760.000000 173.752000 0.000208736
38 460583840.000000 173.907000 0.000208885
39 460583920.000000 174.062000 0.000208647
40 460584000.000000 174.217500 0.000208558
41 460584080.000000 174.375000 0.000208558
42 460584160.000000 174.525500 0.000208707
43 460584240.000000 174.682000 0.000208707
44 460584320.000000 174.835000 0.000208707
45 460584400.000000 174.991000 0.000208826
46 460584480.000000 175.147500 0.000208707
47 460584560.000000 175.298000 0.000208617
48 460584640.000000 175.456000 0.000208647
49 460584720.000000 175.614500 0.000208647
50 460584800.000000 175.765000 0.000208736
51 460584880.000000 175.920500 0.000208885
52 460584960.000000 176.077000 0.000208826
53 460585040.000000 176.230500 0.000208826
54 460585120.000000 176.388000 0.000208766
55 460585200.000000 176.543000 0.000208766
56 460585280.000000 176.697500 0.000208647
57 460585360.000000 176.854500 0.000208766
58 460585440.000000 177.011500 0.000208826
59 460585520.000000 177.165000 0.000208826
60 460585600.000000 177.319000 0.000208826
61 460585680.000000 177.477500 0.000208587
62 460585760.000000 177.630500 0.000208617
63 460585840.000000 177.787000 0.000208587
