# # SAMPLE - One Arm Scans
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with y-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 448965560.000000 168.040000 0.000145317
1 448965660.000000 168.186500 0.000145287
2 448965740.000000 168.332500 0.000145287
3 448965820.000000 168.488500 0.000145287
4 448965900.000000 168.644000 0.000145257
5 448965980.000000 168.800500 0.000145257
6 448966060.000000 168.956500 0.000145317
7 448966140.000000 169.113000 0.000145347
8 448966220.000000 169.267500 0.000145228
9 448966300.000000 169.422500 0.000145347
10 448966380.000000 169.578500 0.000145287
11 448966460.000000 169.730000 0.000145317
12 448966540.000000 169.886500 0.000145287
13 448966620.000000 170.038500 0.000145287
14 448966700.000000 170.194000 0.000145287
15 448966780.000000 170.351500 0.000145228
16 448966860.000000 170.507000 0.000145436
17 448966940.000000 170.659000 0.000145287
18 448967020.000000 170.815000 0.000145317
19 448967100.000000 170.969000 0.000145317
20 448967180.000000 171.125000 0.000145287
21 448967260.000000 171.283500 0.000145317
22 448967340.000000 171.435000 0.000145287
23 448967420.000000 171.592500 0.000145377
24 448967500.000000 171.749000 0.000145317
25 448967580.000000 171.906500 0.000145257
26 448967660.000000 172.061500 0.000145347
27 448967740.000000 172.212000 0.000145257
28 448967820.000000 172.368000 0.000145257
29 448967900.000000 172.523500 0.000145257
30 448967980.000000 172.681000 0.000145257
31 448968060.000000 172.837000 0.000145287
32 448968140.000000 172.989000 0.000145228
33 448968220.000000 173.147000 0.000145317
34 448968301.000000 173.301500 0.000145257
35 448968380.000000 173.457000 0.000145287
36 448968460.000000 173.609500 0.000145317
37 448968540.000000 173.763500 0.000145287
38 448968620.000000 173.921000 0.000145317
39 448968700.000000 174.077000 0.000145317
40 448968780.000000 174.230000 0.000145228
41 448968860.000000 174.387500 0.000145287
42 448968940.000000 174.538000 0.000145257
43 448969020.000000 174.696500 0.000145287
44 448969100.000000 174.851500 0.000145257
45 448969180.000000 175.005500 0.000145257
46 448969260.000000 175.161000 0.000145257
47 448969340.000000 175.316000 0.000145228
48 448969420.000000 175.470500 0.000145287
49 448969500.000000 175.624500 0.000145257
50 448969580.000000 175.778500 0.000145287
51 448969660.000000 175.950500 0.000145287
52 448969740.000000 176.099000 0.000145287
53 448969820.000000 176.242500 0.000145317
54 448969900.000000 176.400500 0.000145198
55 448969980.000000 176.555500 0.000145287
56 448970060.000000 176.712500 0.000145198
57 448970140.000000 176.869000 0.000145257
58 448970220.000000 177.024500 0.000145257
59 448970300.000000 177.179000 0.000145228
60 448970380.000000 177.334500 0.000145257
61 448970460.000000 177.489500 0.000145198
62 448970540.000000 177.646000 0.000145228
63 448970620.000000 177.801500 0.000145257
