#NO SAMPLE
FTS 95 GHz source w/circula4 feedhorn and 95 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 395326321.000000 168.021000 0.000182451
1 395326400.000000 168.165000 0.000182421
2 395326480.000000 168.313500 0.000182302
3 395326560.000000 168.460000 0.000182361
4 395326640.000000 168.612500 0.00018257
5 395326720.000000 168.767000 0.00018263
6 395326800.000000 168.921000 0.00018263
7 395326880.000000 169.081000 0.00018263
8 395326960.000000 169.230500 0.0001826
9 395327040.000000 169.385000 0.00018257
10 395327120.000000 169.542500 0.000182451
11 395327200.000000 169.693500 0.000182332
12 395327280.000000 169.849000 0.000182302
13 395327360.000000 170.003500 0.000182332
14 395327440.000000 170.156500 0.000182481
15 395327520.000000 170.312500 0.0001826
16 395327600.000000 170.468000 0.000182659
17 395327680.000000 170.621500 0.00018257
18 395327760.000000 170.777000 0.00018257
19 395327840.000000 170.932000 0.0001826
20 395327920.000000 171.087000 0.000182481
21 395328000.000000 171.244000 0.00018251
22 395328080.000000 171.402000 0.000182332
23 395328160.000000 171.558000 0.000182421
24 395328240.000000 171.709500 0.00018257
25 395328320.000000 171.867000 0.0001826
26 395328400.000000 172.021000 0.000182659
27 395328480.000000 172.179000 0.0001826
28 395328560.000000 172.335000 0.00018257
29 395328640.000000 172.487000 0.000182421
30 395328720.000000 172.646000 0.000182361
31 395328800.000000 172.801500 0.000182481
32 395328880.000000 172.955500 0.000182481
33 395328960.000000 173.110500 0.000182451
34 395329040.000000 173.266000 0.00018251
35 395329120.000000 173.420000 0.00018257
36 395329200.000000 173.574500 0.00018263
37 395329280.000000 173.729000 0.0001826
38 395329360.000000 173.887000 0.00018257
39 395329440.000000 174.038500 0.00018251
40 395329520.000000 174.192000 0.000182421
41 395329600.000000 174.348500 0.000182481
42 395329680.000000 174.503500 0.00018251
43 395329760.000000 174.658500 0.00018263
44 395329840.000000 174.812000 0.00018263
45 395329920.000000 174.968000 0.0001826
46 395330000.000000 175.126500 0.0001826
47 395330080.000000 175.278500 0.00018263
48 395330160.000000 175.434000 0.00018257
49 395330240.000000 175.590000 0.00018257
50 395330320.000000 175.741000 0.00018251
51 395330400.000000 175.898000 0.00018257
52 395330480.000000 176.053000 0.00018263
53 395330560.000000 176.208000 0.000182749
54 395330640.000000 176.365500 0.000182779
55 395330720.000000 176.520000 0.000182779
56 395330800.000000 176.675000 0.000182749
57 395330880.000000 176.830500 0.000182659
58 395330960.000000 176.988500 0.000182659
59 395331040.000000 177.141000 0.00018257
60 395331120.000000 177.296500 0.000182659
61 395331200.000000 177.454500 0.000182719
62 395331280.000000 177.606500 0.000182659
63 395331360.000000 177.765000 0.000182898
64 395331440.000000 177.921000 0.000182838
