# # SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 643377562.000000 168.007000 0.00013888
1 643377640.000000 168.161500 0.000138939
2 643377720.000000 168.312000 0.00013882
3 643377800.000000 168.456000 0.00013885
4 643377880.000000 168.599000 0.00013885
5 643377960.000000 168.756500 0.00013885
6 643378040.000000 168.912000 0.000138701
7 643378120.000000 169.067500 0.000138731
8 643378200.000000 169.223000 0.00013888
9 643378280.000000 169.376500 0.00013882
10 643378360.000000 169.531500 0.000138939
11 643378440.000000 169.686000 0.00013885
12 643378520.000000 169.839500 0.00013885
13 643378600.000000 169.994000 0.00013882
14 643378680.000000 170.149500 0.000138731
15 643378760.000000 170.303500 0.00013879
16 643378840.000000 170.456500 0.00013882
17 643378920.000000 170.614500 0.000138761
18 643379000.000000 170.769500 0.00013879
19 643379080.000000 170.921500 0.000138701
20 643379160.000000 171.079500 0.000138701
21 643379240.000000 171.236500 0.000138641
22 643379320.000000 171.395000 0.000138582
23 643379400.000000 171.547000 0.000138612
24 643379480.000000 171.701000 0.000138582
25 643379560.000000 171.858500 0.000138582
26 643379640.000000 172.012500 0.000138522
27 643379720.000000 172.168000 0.000138612
28 643379800.000000 172.321500 0.000138582
29 643379880.000000 172.478500 0.000138761
30 643379960.000000 172.637000 0.000138701
31 643380040.000000 172.790000 0.000138701
32 643380120.000000 172.947000 0.000138761
33 643380200.000000 173.103000 0.000138582
34 643380280.000000 173.255500 0.000138582
35 643380360.000000 173.412000 0.000138433
36 643380440.000000 173.567000 0.000138433
37 643380520.000000 173.718000 0.000138463
38 643380600.000000 173.874000 0.000138403
39 643380680.000000 174.029000 0.000138522
40 643380760.000000 174.186000 0.000138552
41 643380840.000000 174.338500 0.000138492
42 643380920.000000 174.495000 0.000138522
43 643381000.000000 174.651500 0.000138492
44 643381080.000000 174.803500 0.000138463
45 643381160.000000 174.961000 0.000138433
46 643381240.000000 175.116500 0.000138492
47 643381320.000000 175.268500 0.000138463
48 643381400.000000 175.425000 0.000138314
49 643381480.000000 175.580000 0.000138284
50 643381560.000000 175.733500 0.000138254
51 643381640.000000 175.890500 0.000138254
52 643381720.000000 176.042500 0.000138224
53 643381800.000000 176.200000 0.000138254
54 643381880.000000 176.357000 0.000138343
55 643381960.000000 176.510000 0.000138254
56 643382040.000000 176.667000 0.000138314
57 643382120.000000 176.822500 0.000138254
58 643382200.000000 176.980000 0.000138284
59 643382280.000000 177.133500 0.000138343
60 643382360.000000 177.288500 0.000138373
61 643382440.000000 177.446500 0.000138373
62 643382520.000000 177.598500 0.000138284
63 643382600.000000 177.757500 0.000138284
64 643382680.000000 177.910000 0.000138224
