# # NO SAMPLE
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; 

SAMPLE:15-02 #607, 608 etalon with 2.25" spacing. Cut out of region of high reflectance.

Sample aligned with x-polarization.






# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 643881640.000000 168.016000 0.000142247
1 643881720.000000 168.167000 0.000142218
2 643881800.000000 168.323500 0.000142158
3 643881880.000000 168.479500 0.000142247
4 643881960.000000 168.636000 0.000142277
5 643882040.000000 168.789000 0.000142247
6 643882120.000000 168.943500 0.000142247
7 643882200.000000 169.102500 0.000142218
8 643882280.000000 169.255500 0.000142218
9 643882360.000000 169.408500 0.000142218
10 643882440.000000 169.565500 0.000142188
11 643882520.000000 169.717000 0.000142218
12 643882600.000000 169.874000 0.000142128
13 643882680.000000 170.027500 0.000142188
14 643882760.000000 170.180500 0.000142158
15 643882840.000000 170.337000 0.000142158
16 643882920.000000 170.491500 0.000142188
17 643883000.000000 170.647500 0.000142098
18 643883080.000000 170.802500 0.000142098
19 643883160.000000 170.952500 0.000142098
20 643883240.000000 171.111000 0.000142039
21 643883320.000000 171.267500 0.000142039
22 643883400.000000 171.425500 0.000141979
23 643883480.000000 171.582500 0.000142098
24 643883560.000000 171.735500 0.000141949
25 643883640.000000 171.892500 0.000141949
26 643883720.000000 172.047500 0.000141979
27 643883800.000000 172.201000 0.00014183
28 643883880.000000 172.358500 0.000141949
29 643883960.000000 172.514500 0.00014189
30 643884040.000000 172.671000 0.000142039
31 643884120.000000 172.826000 0.000142039
32 643884200.000000 172.982500 0.000141979
33 643884280.000000 173.136000 0.000141979
34 643884360.000000 173.290500 0.00014192
35 643884440.000000 173.446500 0.000141979
36 643884520.000000 173.599000 0.000141949
37 643884600.000000 173.754000 0.000141979
38 643884680.000000 173.911500 0.000141949
39 643884760.000000 174.063000 0.00014183
40 643884840.000000 174.220500 0.000141681
41 643884920.000000 174.376500 0.000141592
42 643885000.000000 174.528000 0.000141741
43 643885080.000000 174.684000 0.0001418
44 643885160.000000 174.836500 0.0001418
45 643885240.000000 174.993000 0.0001418
46 643885320.000000 175.150500 0.000141771
47 643885400.000000 175.302500 0.00014183
48 643885480.000000 175.457500 0.0001418
49 643885560.000000 175.615000 0.000141711
50 643885640.000000 175.768500 0.000141651
51 643885720.000000 175.922500 0.000141681
52 643885800.000000 176.074500 0.000141771
53 643885880.000000 176.232000 0.000141681
54 643885960.000000 176.390500 0.000141681
55 643886040.000000 176.543000 0.000141651
56 643886120.000000 176.698000 0.000141532
57 643886200.000000 176.855500 0.000141622
58 643886280.000000 177.010000 0.000141681
59 643886360.000000 177.165500 0.000141681
60 643886440.000000 177.319500 0.000141711
61 643886520.000000 177.475500 0.000141681
62 643886600.000000 177.630500 0.000141592
63 643886680.000000 177.788000 0.000141532
