# NO SAMPLE
X-Pol
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 3" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1599693900.000000 178.016500 0.000181378
1 1599693980.000000 178.171000 0.000181467
2 1599694060.000000 178.326000 0.000181378
3 1599694140.000000 178.483000 0.000181348
4 1599694220.000000 178.636500 0.000181318
5 1599694300.000000 178.790500 0.000181437
6 1599694380.000000 178.947000 0.000181378
7 1599694460.000000 179.099000 0.000181348
8 1599694540.000000 179.257000 0.000181348
9 1599694620.000000 179.412000 0.000181348
10 1599694700.000000 179.564500 0.000181437
11 1599694780.000000 179.721000 0.000181348
12 1599694860.000000 179.874000 0.000181288
13 1599694940.000000 180.030500 0.000181348
14 1599695020.000000 180.186500 0.000181288
15 1599695100.000000 180.339000 0.000181408
16 1599695180.000000 180.496000 0.000181378
17 1599695260.000000 180.651000 0.000181497
18 1599695340.000000 180.806000 0.000181437
19 1599695420.000000 180.959000 0.000181318
20 1599695500.000000 181.114000 0.000181378
21 1599695580.000000 181.268000 0.000181318
22 1599695660.000000 181.425500 0.000181378
23 1599695740.000000 181.582500 0.000181467
24 1599695820.000000 181.737500 0.000181348
25 1599695900.000000 181.893500 0.000181408
26 1599695980.000000 182.051500 0.000181229
27 1599696060.000000 182.202500 0.000181318
28 1599696140.000000 182.359500 0.000181348
29 1599696220.000000 182.512500 0.000181408
30 1599696300.000000 182.666500 0.000181437
31 1599696380.000000 182.826500 0.000181437
32 1599696460.000000 182.983000 0.000181348
33 1599696540.000000 183.135500 0.000181288
34 1599696620.000000 183.293000 0.000181229
35 1599696700.000000 183.445000 0.000181348
36 1599696780.000000 183.601000 0.000181348
37 1599696860.000000 183.755500 0.000181497
38 1599696940.000000 183.910000 0.000181348
39 1599697020.000000 184.067000 0.000181318
40 1599697100.000000 184.219500 0.000181318
41 1599697180.000000 184.378000 0.000181259
42 1599697260.000000 184.533500 0.000181408
43 1599697340.000000 184.684000 0.000181527
44 1599697420.000000 184.838000 0.000181646
45 1599697500.000000 184.993500 0.000181557
46 1599697580.000000 185.150500 0.000181378
47 1599697660.000000 185.306500 0.000181288
48 1599697740.000000 185.457500 0.000181348
49 1599697820.000000 185.615500 0.000181437
50 1599697900.000000 185.771500 0.000181616
51 1599697980.000000 185.925500 0.000181616
52 1599698060.000000 186.079500 0.000181527
53 1599698140.000000 186.235000 0.000181318
54 1599698220.000000 186.389500 0.000181467
55 1599698300.000000 186.546000 0.000181437
56 1599698380.000000 186.702500 0.000181557
57 1599698460.000000 186.858000 0.000181706
58 1599698540.000000 187.014500 0.000181676
59 1599698620.000000 187.168000 0.000181586
60 1599698700.000000 187.324500 0.000181497
61 1599698780.000000 187.478500 0.000181467
62 1599698860.000000 187.634500 0.000181557
63 1599698940.000000 187.790500 0.000181586
64 1599699020.000000 187.946500 0.000181706
65 1599699100.000000 188.101000 0.000181586
66 1599699180.000000 188.255000 0.000181527
67 1599699260.000000 188.413500 0.000181437
68 1599699340.000000 188.565500 0.000181467
69 1599699420.000000 188.720500 0.000181557
70 1599699500.000000 188.875000 0.000181616
71 1599699580.000000 189.028500 0.000181676
72 1599699660.000000 189.186000 0.000181616
73 1599699740.000000 189.342500 0.000181646
74 1599699820.000000 189.496000 0.000181557
75 1599699900.000000 189.653000 0.000181586
76 1599699980.000000 189.806000 0.000181616
77 1599700060.000000 189.960000 0.000181497
78 1599700140.000000 190.115500 0.000181706
79 1599700220.000000 190.269000 0.000181765
80 1599700300.000000 190.425000 0.000181676
81 1599700380.000000 190.580500 0.000181735
82 1599700460.000000 190.733000 0.000181527
83 1599700540.000000 190.885500 0.000181586
84 1599700620.000000 191.040500 0.000181646
85 1599700700.000000 191.198500 0.000181735
86 1599700780.000000 191.352500 0.000181825
87 1599700860.000000 191.508000 0.000181765
88 1599700940.000000 191.664000 0.000181825
89 1599701020.000000 191.820500 0.000181616
90 1599701100.000000 191.976000 0.000181557
91 1599701180.000000 192.131500 0.000181616
92 1599701260.000000 192.284500 0.000181735
93 1599701340.000000 192.442500 0.000181914
94 1599701420.000000 192.596500 0.000181914
95 1599701500.000000 192.750000 0.000181855
96 1599701580.000000 192.906500 0.000181616
97 1599701660.000000 193.063000 0.000181586
98 1599701740.000000 193.219500 0.000181706
99 1599701820.000000 193.372500 0.000181825
100 1599701900.000000 193.530500 0.000182063
101 1599701980.000000 193.687000 0.000182093
102 1599702060.000000 193.838000 0.000181855
103 1599702140.000000 193.995500 0.000181586
104 1599702220.000000 194.146500 0.000181646
105 1599702300.000000 194.303000 0.000181765
106 1599702380.000000 194.460500 0.000182034
107 1599702460.000000 194.612500 0.000182153
108 1599702540.000000 194.771500 0.000182093
109 1599702620.000000 194.922000 0.000181885
110 1599702700.000000 195.078500 0.000181706
111 1599702780.000000 195.237000 0.000181735
112 1599702860.000000 195.388500 0.000181885
113 1599702940.000000 195.545500 0.000182212
114 1599703020.000000 195.702000 0.000182302
115 1599703100.000000 195.854500 0.000182272
116 1599703180.000000 196.012000 0.000182004
