# SAMPLE
X-Pol
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 3" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1601112460.000000 178.032500 0.000175626
1 1601112540.000000 178.181500 0.000175566
2 1601112620.000000 178.327500 0.000175656
3 1601112700.000000 178.484000 0.000175626
4 1601112780.000000 178.636500 0.000175537
5 1601112860.000000 178.790500 0.000175626
6 1601112940.000000 178.947000 0.000175656
7 1601113020.000000 179.104000 0.000175686
8 1601113100.000000 179.258500 0.000175626
9 1601113180.000000 179.413000 0.000175596
10 1601113260.000000 179.567000 0.000175626
11 1601113340.000000 179.720500 0.000175537
12 1601113420.000000 179.874000 0.000175686
13 1601113500.000000 180.029500 0.000175686
14 1601113580.000000 180.185500 0.000175715
15 1601113660.000000 180.340500 0.000175656
16 1601113740.000000 180.494500 0.000175596
17 1601113820.000000 180.649000 0.000175596
18 1601113900.000000 180.804500 0.000175686
19 1601113980.000000 180.960000 0.000175656
20 1601114060.000000 181.112000 0.000175715
21 1601114140.000000 181.268000 0.000175686
22 1601114220.000000 181.422500 0.000175686
23 1601114300.000000 181.580000 0.000175656
24 1601114380.000000 181.736500 0.000175626
25 1601114460.000000 181.891500 0.000175656
26 1601114540.000000 182.048500 0.000175596
27 1601114620.000000 182.202000 0.000175626
28 1601114700.000000 182.358000 0.000175656
29 1601114780.000000 182.511000 0.000175686
30 1601114860.000000 182.666000 0.000175715
31 1601114940.000000 182.826500 0.000175656
32 1601115020.000000 182.982500 0.000175656
33 1601115100.000000 183.134500 0.000175626
34 1601115180.000000 183.292000 0.000175596
35 1601115260.000000 183.447500 0.000175656
36 1601115340.000000 183.600500 0.000175566
37 1601115420.000000 183.754000 0.000175745
38 1601115500.000000 183.910000 0.000175715
39 1601115580.000000 184.063500 0.000175566
40 1601115660.000000 184.219000 0.000175566
41 1601115740.000000 184.377000 0.000175507
42 1601115820.000000 184.529500 0.000175656
43 1601115900.000000 184.683500 0.000175686
44 1601115980.000000 184.842000 0.000175835
45 1601116060.000000 184.995000 0.000175805
46 1601116140.000000 185.150500 0.000175656
47 1601116220.000000 185.307500 0.000175566
48 1601116300.000000 185.459000 0.000175507
49 1601116380.000000 185.615500 0.000175656
50 1601116460.000000 185.772000 0.000175715
51 1601116540.000000 185.924000 0.000175864
52 1601116620.000000 186.081000 0.000175805
53 1601116700.000000 186.235500 0.000175656
54 1601116780.000000 186.390500 0.000175626
55 1601116860.000000 186.547000 0.000175566
56 1601116940.000000 186.700000 0.000175775
57 1601117020.000000 186.859000 0.000175835
58 1601117100.000000 187.014000 0.000175894
59 1601117180.000000 187.168000 0.000175835
60 1601117260.000000 187.325000 0.000175656
61 1601117340.000000 187.479500 0.000175656
62 1601117420.000000 187.634500 0.000175686
63 1601117500.000000 187.789000 0.000175894
64 1601117580.000000 187.943500 0.000175894
65 1601117660.000000 188.099500 0.000175924
66 1601117740.000000 188.255000 0.000175835
67 1601117820.000000 188.411000 0.000175686
68 1601117900.000000 188.564000 0.000175686
69 1601117980.000000 188.720000 0.000175715
70 1601118060.000000 188.876000 0.000175864
71 1601118140.000000 189.031500 0.000175954
72 1601118220.000000 189.185500 0.000175924
73 1601118300.000000 189.339000 0.000175894
74 1601118380.000000 189.495500 0.000175864
75 1601118460.000000 189.651000 0.000175805
76 1601118540.000000 189.801500 0.000175864
77 1601118620.000000 189.960500 0.000175894
78 1601118700.000000 190.111500 0.000175984
79 1601118780.000000 190.266000 0.000176013
80 1601118860.000000 190.424500 0.000175984
81 1601118940.000000 190.577000 0.000175954
82 1601119020.000000 190.734500 0.000175894
83 1601119100.000000 190.890000 0.000175954
84 1601119180.000000 191.042500 0.000175894
85 1601119260.000000 191.199500 0.000176013
86 1601119340.000000 191.355000 0.000176192
87 1601119420.000000 191.509000 0.000176103
88 1601119500.000000 191.665500 0.000176103
89 1601119580.000000 191.818500 0.000175984
90 1601119660.000000 191.976500 0.000175954
91 1601119740.000000 192.133500 0.000175984
92 1601119820.000000 192.286000 0.000176073
93 1601119900.000000 192.444500 0.000176192
94 1601119980.000000 192.595500 0.000176133
95 1601120060.000000 192.753000 0.000176043
96 1601120140.000000 192.910000 0.000175835
97 1601120220.000000 193.062000 0.000175894
98 1601120300.000000 193.220000 0.000176013
99 1601120380.000000 193.375500 0.000176043
100 1601120460.000000 193.530000 0.000176252
101 1601120540.000000 193.687000 0.000176311
102 1601120620.000000 193.839500 0.000176162
103 1601120700.000000 193.995000 0.000175984
104 1601120780.000000 194.150500 0.000175954
105 1601120860.000000 194.303500 0.000176103
106 1601120940.000000 194.458500 0.000176252
107 1601121020.000000 194.612000 0.000176401
108 1601121100.000000 194.770000 0.000176371
109 1601121180.000000 194.924500 0.000176222
110 1601121260.000000 195.077500 0.000176013
111 1601121340.000000 195.235500 0.000175894
112 1601121420.000000 195.389000 0.000176162
113 1601121500.000000 195.546000 0.000176401
114 1601121580.000000 195.702500 0.00017655
115 1601121660.000000 195.853000 0.00017646
116 1601121740.000000 196.016500 0.000176282
117 1601121820.000000 196.162000 0.000176103
118 1601121900.000000 196.317000 0.000176013
119 1601121980.000000 196.474500 0.000176222
120 1601122060.000000 196.629500 0.00017658
121 1601122140.000000 196.786000 0.000176609
122 1601122220.000000 196.941000 0.00017646
123 1601122300.000000 197.096500 0.000176311
124 1601122380.000000 197.252000 0.000176103
125 1601122460.000000 197.406500 0.000176133
126 1601122540.000000 197.564000 0.000176311
127 1601122620.000000 197.719000 0.000176639
128 1601122700.000000 197.871500 0.000176699
129 1601122780.000000 198.029000 0.00017655
130 1601122860.000000 198.184500 0.000176252
131 1601122940.000000 198.339500 0.000176103
132 1601123020.000000 198.496500 0.000176252
133 1601123100.000000 198.648000 0.00017646
134 1601123180.000000 198.804500 0.000176788
135 1601123260.000000 198.959500 0.000176759
136 1601123340.000000 199.112000 0.00017655
137 1601123420.000000 199.267500 0.000176341
138 1601123500.000000 199.423500 0.000176133
139 1601123580.000000 199.577500 0.000176401
140 1601123660.000000 199.733500 0.00017658
141 1601123740.000000 199.891000 0.000176729
142 1601123820.000000 200.043500 0.000176729
143 1601123900.000000 200.198000 0.000176431
144 1601123980.000000 200.357000 0.000176252
145 1601124060.000000 200.508000 0.000176133
146 1601124140.000000 200.663000 0.000176341
147 1601124220.000000 200.821000 0.00017655
148 1601124300.000000 200.972000 0.000176788
149 1601124380.000000 201.129000 0.000176669
150 1601124460.000000 201.283500 0.00017652
151 1601124540.000000 201.436000 0.000176431
152 1601124620.000000 201.592500 0.000176282
153 1601124700.000000 201.748500 0.000176431
154 1601124780.000000 201.903500 0.00017655
155 1601124860.000000 202.061000 0.00017652
156 1601124940.000000 202.214000 0.00017652
157 1601125020.000000 202.370000 0.000176431
158 1601125100.000000 202.523000 0.000176282
159 1601125180.000000 202.682000 0.000176341
160 1601125260.000000 202.838000 0.000176341
161 1601125340.000000 202.992500 0.000176431
162 1601125420.000000 203.146500 0.000176431
163 1601125500.000000 203.299500 0.00017652
164 1601125580.000000 203.456500 0.00017649
165 1601125660.000000 203.611500 0.000176282
166 1601125740.000000 203.764500 0.000176311
167 1601125820.000000 203.922500 0.000176252
168 1601125900.000000 204.075000 0.000176401
169 1601125980.000000 204.229500 0.00017646
170 1601126060.000000 204.386000 0.00017649
171 1601126140.000000 204.539500 0.00017655
172 1601126220.000000 204.696000 0.000176401
173 1601126300.000000 204.852000 0.000176192
174 1601126380.000000 205.004000 0.000176103
175 1601126460.000000 205.160500 0.000176222
176 1601126540.000000 205.316500 0.00017652
177 1601126620.000000 205.469000 0.00017655
178 1601126700.000000 205.626500 0.00017658
179 1601126780.000000 205.781000 0.000176401
180 1601126860.000000 205.938000 0.000176133
181 1601126940.000000 206.091500 0.000176133
182 1601127020.000000 206.247500 0.000176222
183 1601127100.000000 206.403500 0.00017655
184 1601127180.000000 206.556000 0.000176609
185 1601127260.000000 206.713500 0.000176609
186 1601127340.000000 206.870000 0.000176311
187 1601127420.000000 207.022500 0.000176013
188 1601127500.000000 207.180000 0.000176073
189 1601127580.000000 207.335000 0.000176282
190 1601127660.000000 207.489500 0.000176639
191 1601127740.000000 207.646000 0.000176729
192 1601127820.000000 207.800000 0.00017655
193 1601127900.000000 207.955500 0.000176192
194 1601127980.000000 208.110500 0.000175954
195 1601128060.000000 208.267500 0.000176043
196 1601128140.000000 208.421500 0.000176282
197 1601128220.000000 208.576500 0.000176609
198 1601128300.000000 208.734000 0.000176669
199 1601128380.000000 208.883000 0.000176401
200 1601128460.000000 209.037000 0.000176073
201 1601128540.000000 209.194000 0.000175894
202 1601128620.000000 209.348000 0.000175954
203 1601128700.000000 209.505500 0.000176282
204 1601128780.000000 209.657000 0.00017649
205 1601128860.000000 209.812000 0.000176639
206 1601128940.000000 209.966000 0.000176311
207 1601129020.000000 210.121500 0.000175954
208 1601129100.000000 210.280000 0.000175805
209 1601129180.000000 210.433500 0.000175894
210 1601129260.000000 210.587000 0.000176282
211 1601129340.000000 210.745000 0.00017649
212 1601129420.000000 210.897500 0.00017655
213 1601129500.000000 211.051000 0.000176282
214 1601129580.000000 211.208500 0.000175835
215 1601129660.000000 211.362000 0.000175626
216 1601129740.000000 211.517000 0.000175745
217 1601129820.000000 211.672000 0.000176222
218 1601129900.000000 211.827500 0.00017646
219 1601129980.000000 211.981500 0.000176431
220 1601130060.000000 212.137000 0.000176103
221 1601130140.000000 212.295500 0.000175745
222 1601130220.000000 212.449000 0.000175596
223 1601130300.000000 212.604500 0.000175864
224 1601130380.000000 212.761500 0.000176222
225 1601130460.000000 212.914000 0.00017646
226 1601130540.000000 213.072500 0.000176311
227 1601130620.000000 213.227500 0.000176013
228 1601130700.000000 213.379500 0.000175656
229 1601130780.000000 213.536000 0.000175626
230 1601130860.000000 213.692000 0.000175864
231 1601130940.000000 213.846000 0.000176222
232 1601131020.000000 214.001500 0.00017646
233 1601131100.000000 214.156500 0.000176282
234 1601131180.000000 214.312500 0.000176043
235 1601131260.000000 214.466000 0.000175596
236 1601131340.000000 214.623500 0.000175626
237 1601131420.000000 214.778000 0.000175894
238 1601131500.000000 214.930500 0.000176133
239 1601131580.000000 215.087000 0.000176371
