# SAMPLE -- ONE ARM SCAN
Y-Pol
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 3" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1659853280.000000 178.015500 9.43546e-005
1 1659853360.000000 178.165000 9.43248e-005
2 1659853440.000000 178.311000 9.4295e-005
3 1659853520.000000 178.459500 9.43248e-005
4 1659853600.000000 178.611500 9.43248e-005
5 1659853680.000000 178.768000 9.43546e-005
6 1659853760.000000 178.924000 9.43844e-005
7 1659853840.000000 179.076500 9.4295e-005
8 1659853920.000000 179.232500 9.4295e-005
9 1659854000.000000 179.385000 9.43844e-005
10 1659854080.000000 179.542500 9.42652e-005
11 1659854160.000000 179.697500 9.43248e-005
12 1659854240.000000 179.849000 9.4295e-005
13 1659854320.000000 180.004500 9.4295e-005
14 1659854400.000000 180.159500 9.43546e-005
15 1659854480.000000 180.316000 9.43546e-005
16 1659854560.000000 180.469500 9.43248e-005
17 1659854640.000000 180.621000 9.42652e-005
18 1659854720.000000 180.778500 9.42652e-005
19 1659854800.000000 180.933500 9.42652e-005
20 1659854880.000000 181.086500 9.42056e-005
21 1659854960.000000 181.241500 9.42652e-005
22 1659855040.000000 181.399000 9.43248e-005
23 1659855120.000000 181.557000 9.43546e-005
24 1659855200.000000 181.712500 9.43844e-005
25 1659855280.000000 181.867000 9.4295e-005
26 1659855360.000000 182.022500 9.43546e-005
27 1659855440.000000 182.176500 9.43248e-005
28 1659855520.000000 182.334000 9.43546e-005
29 1659855600.000000 182.489000 9.43546e-005
30 1659855680.000000 182.641000 9.42652e-005
31 1659855760.000000 182.802000 9.43546e-005
32 1659855840.000000 182.956500 9.43248e-005
33 1659855920.000000 183.111000 9.4295e-005
34 1659856000.000000 183.268000 9.43546e-005
35 1659856080.000000 183.422500 9.43248e-005
36 1659856160.000000 183.577000 9.43248e-005
37 1659856240.000000 183.732000 9.43248e-005
38 1659856320.000000 183.885500 9.43248e-005
39 1659856400.000000 184.040500 9.43248e-005
40 1659856480.000000 184.195500 9.43546e-005
41 1659856560.000000 184.351000 9.43546e-005
42 1659856640.000000 184.506000 9.43248e-005
43 1659856721.000000 184.661500 9.43844e-005
