# NO SAMPLE
Y-Pol
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 3" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1661449240.000000 178.013500 0.000180603
1 1661449320.000000 178.161000 0.000180603
2 1661449400.000000 178.315000 0.000180633
3 1661449480.000000 178.468000 0.000180633
4 1661449560.000000 178.621500 0.000180633
5 1661449640.000000 178.778000 0.000180663
6 1661449720.000000 178.932000 0.000180633
7 1661449800.000000 179.087500 0.000180722
8 1661449880.000000 179.241500 0.000180633
9 1661449960.000000 179.396500 0.000180663
10 1661450040.000000 179.554000 0.000180663
11 1661450120.000000 179.706000 0.000180603
12 1661450200.000000 179.860000 0.000180692
13 1661450280.000000 180.019000 0.000180573
14 1661450360.000000 180.169500 0.000180722
15 1661450440.000000 180.325500 0.000180663
16 1661450520.000000 180.482000 0.000180663
17 1661450600.000000 180.633500 0.000180633
18 1661450680.000000 180.790500 0.000180603
19 1661450760.000000 180.945000 0.000180633
20 1661450840.000000 181.098500 0.000180573
21 1661450920.000000 181.255000 0.000180603
22 1661451000.000000 181.411000 0.000180663
23 1661451080.000000 181.565500 0.000180603
24 1661451160.000000 181.723000 0.000180663
25 1661451240.000000 181.879000 0.000180663
26 1661451320.000000 182.035500 0.000180603
27 1661451400.000000 182.189000 0.000180633
28 1661451480.000000 182.347500 0.000180543
29 1661451560.000000 182.498500 0.000180722
30 1661451640.000000 182.650500 0.000180692
31 1661451720.000000 182.810500 0.000180752
32 1661451800.000000 182.966500 0.000180663
33 1661451880.000000 183.121500 0.000180573
34 1661451960.000000 183.276000 0.000180633
35 1661452040.000000 183.433000 0.000180633
36 1661452120.000000 183.589500 0.000180633
37 1661452200.000000 183.742000 0.000180722
38 1661452280.000000 183.895000 0.000180722
39 1661452360.000000 184.050500 0.000180633
40 1661452440.000000 184.205500 0.000180543
41 1661452520.000000 184.362500 0.000180543
42 1661452600.000000 184.515500 0.000180663
43 1661452680.000000 184.671000 0.000180722
44 1661452760.000000 184.823500 0.000180752
45 1661452840.000000 184.979000 0.000180752
46 1661452920.000000 185.137000 0.000180603
47 1661453000.000000 185.293500 0.000180543
48 1661453080.000000 185.445500 0.000180603
49 1661453160.000000 185.603500 0.000180722
50 1661453240.000000 185.758500 0.000180812
51 1661453320.000000 185.911500 0.000180871
52 1661453400.000000 186.067000 0.000180841
53 1661453480.000000 186.220500 0.000180752
54 1661453560.000000 186.376000 0.000180663
55 1661453640.000000 186.533000 0.000180603
56 1661453720.000000 186.684500 0.000180841
57 1661453800.000000 186.844000 0.000180931
58 1661453880.000000 187.000000 0.000180931
59 1661453960.000000 187.156500 0.000180782
60 1661454040.000000 187.306000 0.000180633
61 1661454120.000000 187.461000 0.000180722
62 1661454200.000000 187.619000 0.000180722
63 1661454280.000000 187.774000 0.000180871
64 1661454360.000000 187.932500 0.00018099
65 1661454440.000000 188.088000 0.00018102
66 1661454520.000000 188.239500 0.000180871
