# SAMPLE
Y-Pol
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 3" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1663049242.000000 178.005500 0.000170351
1 1663049320.000000 178.161000 0.00017047
2 1663049400.000000 178.313500 0.000170321
3 1663049480.000000 178.464000 0.000170142
4 1663049560.000000 178.610000 0.000170202
5 1663049640.000000 178.761500 0.000170262
6 1663049720.000000 178.911000 0.000170291
7 1663049800.000000 179.064500 0.000170351
8 1663049880.000000 179.221000 0.000170381
9 1663049960.000000 179.375500 0.000170262
10 1663050040.000000 179.527500 0.000170351
11 1663050120.000000 179.681500 0.000170351
12 1663050200.000000 179.836000 0.000170262
13 1663050280.000000 179.994500 0.000170351
14 1663050360.000000 180.143500 0.000170351
15 1663050440.000000 180.297500 0.0001705
16 1663050520.000000 180.454000 0.000170351
17 1663050600.000000 180.608500 0.000170321
18 1663050680.000000 180.765000 0.000170321
19 1663050760.000000 180.916500 0.000170351
20 1663050840.000000 181.073000 0.000170381
21 1663050920.000000 181.229000 0.000170411
22 1663051000.000000 181.384000 0.000170411
23 1663051080.000000 181.539000 0.00017044
24 1663051160.000000 181.696000 0.000170321
25 1663051240.000000 181.854000 0.000170321
26 1663051320.000000 182.010000 0.000170381
27 1663051400.000000 182.160500 0.000170291
28 1663051480.000000 182.318500 0.000170351
29 1663051560.000000 182.475000 0.000170321
30 1663051640.000000 182.630000 0.000170381
31 1663051720.000000 182.785000 0.000170381
32 1663051800.000000 182.941500 0.000170291
33 1663051880.000000 183.097500 0.000170321
34 1663051960.000000 183.251500 0.000170202
35 1663052040.000000 183.408500 0.000170321
36 1663052120.000000 183.562000 0.000170321
37 1663052200.000000 183.715500 0.00017044
38 1663052280.000000 183.872500 0.00017044
39 1663052360.000000 184.025500 0.000170381
40 1663052440.000000 184.181000 0.000170321
41 1663052520.000000 184.340000 0.000170321
42 1663052600.000000 184.491500 0.000170321
43 1663052680.000000 184.646000 0.00017047
44 1663052760.000000 184.803000 0.0001705
45 1663052840.000000 184.955000 0.000170589
46 1663052920.000000 185.112500 0.00017047
47 1663053000.000000 185.270000 0.000170321
48 1663053080.000000 185.422500 0.000170351
49 1663053160.000000 185.580000 0.000170411
50 1663053240.000000 185.733000 0.0001705
51 1663053320.000000 185.888000 0.000170589
52 1663053400.000000 186.043500 0.000170589
53 1663053481.000000 186.197500 0.00017044
54 1663053560.000000 186.352500 0.000170381
55 1663053640.000000 186.509000 0.000170381
56 1663053720.000000 186.662500 0.0001705
57 1663053800.000000 186.819500 0.00017053
58 1663053880.000000 186.971000 0.000170649
59 1663053960.000000 187.130500 0.000170589
60 1663054040.000000 187.286000 0.00017047
61 1663054120.000000 187.439500 0.000170351
62 1663054200.000000 187.594000 0.000170411
63 1663054280.000000 187.750000 0.00017047
64 1663054360.000000 187.909500 0.000170589
65 1663054440.000000 188.060500 0.000170619
66 1663054520.000000 188.213500 0.0001705
67 1663054600.000000 188.371000 0.0001705
68 1663054680.000000 188.525500 0.000170411
69 1663054760.000000 188.682000 0.0001705
70 1663054840.000000 188.833000 0.000170589
71 1663054920.000000 188.987500 0.000170649
72 1663055000.000000 189.147000 0.000170649
73 1663055080.000000 189.300500 0.000170589
74 1663055160.000000 189.455500 0.000170619
75 1663055240.000000 189.612000 0.00017053
76 1663055320.000000 189.764000 0.00017047
77 1663055400.000000 189.921000 0.00017056
78 1663055480.000000 190.075500 0.000170649
79 1663055560.000000 190.228500 0.000170738
80 1663055640.000000 190.385500 0.000170768
81 1663055720.000000 190.537000 0.000170679
82 1663055800.000000 190.694500 0.000170619
83 1663055880.000000 190.849000 0.000170619
84 1663055960.000000 191.003000 0.000170679
85 1663056040.000000 191.159000 0.000170738
86 1663056120.000000 191.314500 0.000170947
87 1663056200.000000 191.470000 0.000170828
88 1663056280.000000 191.626000 0.000170738
89 1663056360.000000 191.782000 0.000170649
90 1663056440.000000 191.937500 0.0001705
91 1663056520.000000 192.094500 0.000170679
92 1663056600.000000 192.248500 0.000170798
93 1663056680.000000 192.404500 0.000170947
94 1663056760.000000 192.560000 0.000170828
95 1663056840.000000 192.716000 0.000170798
96 1663056920.000000 192.865500 0.000170619
97 1663057000.000000 193.022500 0.000170589
98 1663057080.000000 193.180500 0.000170679
99 1663057160.000000 193.335500 0.000170887
100 1663057240.000000 193.493000 0.000170917
101 1663057320.000000 193.649000 0.000170887
102 1663057400.000000 193.801500 0.000170709
103 1663057480.000000 193.959000 0.000170679
104 1663057560.000000 194.109000 0.000170679
105 1663057640.000000 194.262500 0.000170649
106 1663057720.000000 194.419000 0.000170977
107 1663057800.000000 194.575500 0.000171036
108 1663057880.000000 194.730000 0.000171007
109 1663057960.000000 194.881500 0.000170887
110 1663058040.000000 195.040500 0.000170649
111 1663058120.000000 195.197000 0.000170798
112 1663058200.000000 195.350500 0.000170887
113 1663058280.000000 195.505500 0.000171156
114 1663058360.000000 195.659000 0.000171096
115 1663058440.000000 195.816000 0.000171066
116 1663058520.000000 195.973500 0.000170858
117 1663058600.000000 196.128000 0.000170768
118 1663058680.000000 196.281500 0.000170828
119 1663058760.000000 196.438000 0.000170947
120 1663058840.000000 196.590500 0.000171185
121 1663058920.000000 196.747500 0.000171334
122 1663059000.000000 196.899500 0.000171156
123 1663059080.000000 197.056500 0.000170977
124 1663059160.000000 197.214500 0.000170798
125 1663059240.000000 197.369000 0.000170828
126 1663059320.000000 197.524500 0.000170947
127 1663059400.000000 197.679500 0.000171066
128 1663059480.000000 197.834000 0.000171215
129 1663059560.000000 197.989000 0.000171066
130 1663059640.000000 198.144000 0.000171036
131 1663059720.000000 198.302000 0.000170858
132 1663059800.000000 198.454000 0.000170887
133 1663059880.000000 198.611000 0.000171036
134 1663059960.000000 198.767000 0.000171305
135 1663060040.000000 198.917000 0.000171305
136 1663060120.000000 199.074000 0.000171245
137 1663060200.000000 199.230500 0.000171036
138 1663060280.000000 199.383000 0.000171007
139 1663060360.000000 199.539500 0.000170947
140 1663060440.000000 199.695000 0.000171215
141 1663060520.000000 199.851000 0.000171275
142 1663060600.000000 200.006000 0.000171305
143 1663060680.000000 200.162000 0.000171156
144 1663060760.000000 200.317000 0.000170947
145 1663060840.000000 200.470500 0.000170977
146 1663060920.000000 200.627000 0.000170977
147 1663061000.000000 200.780500 0.000171215
148 1663061080.000000 200.935000 0.000171334
149 1663061160.000000 201.088500 0.000171275
150 1663061240.000000 201.243000 0.000171215
151 1663061320.000000 201.397500 0.000170917
152 1663061400.000000 201.552000 0.000170977
153 1663061480.000000 201.707500 0.000171036
154 1663061560.000000 201.865500 0.000171245
155 1663061640.000000 202.022000 0.000171334
156 1663061720.000000 202.178000 0.000171185
157 1663061800.000000 202.332000 0.000171185
158 1663061880.000000 202.487500 0.000170977
159 1663061960.000000 202.643500 0.000171007
160 1663062040.000000 202.796500 0.000171066
161 1663062120.000000 202.950000 0.000171096
162 1663062200.000000 203.108000 0.000171215
163 1663062280.000000 203.262000 0.000171156
164 1663062360.000000 203.417500 0.000171215
165 1663062440.000000 203.573500 0.000171036
166 1663062520.000000 203.730500 0.000170917
167 1663062600.000000 203.885000 0.000170917
168 1663062680.000000 204.039500 0.000171036
169 1663062760.000000 204.192000 0.000171245
170 1663062840.000000 204.347000 0.000171305
171 1663062920.000000 204.503000 0.000171245
172 1663063000.000000 204.657000 0.000171185
173 1663063080.000000 204.812500 0.000170858
174 1663063160.000000 204.968500 0.000170858
175 1663063240.000000 205.122000 0.000170977
176 1663063320.000000 205.276000 0.000171096
177 1663063400.000000 205.434000 0.000171275
178 1663063480.000000 205.586500 0.000171156
179 1663063560.000000 205.742000 0.000170977
180 1663063640.000000 205.898000 0.000170887
181 1663063720.000000 206.054000 0.000170738
182 1663063800.000000 206.208000 0.000170917
183 1663063880.000000 206.363000 0.000171156
184 1663063960.000000 206.518000 0.000171364
185 1663064040.000000 206.672000 0.000171156
186 1663064120.000000 206.828500 0.000170977
187 1663064200.000000 206.985500 0.000170738
188 1663064280.000000 207.139000 0.000170619
189 1663064360.000000 207.293500 0.000170887
190 1663064440.000000 207.453000 0.000171096
191 1663064520.000000 207.605000 0.000171275
192 1663064600.000000 207.761500 0.000171066
193 1663064680.000000 207.919000 0.000170828
194 1663064760.000000 208.071000 0.000170619
195 1663064840.000000 208.226500 0.000170589
196 1663064920.000000 208.383000 0.000170917
197 1663065000.000000 208.534500 0.000171185
198 1663065080.000000 208.690500 0.000171305
199 1663065160.000000 208.840500 0.000171156
200 1663065240.000000 209.000000 0.000170768
201 1663065320.000000 209.156000 0.000170619
202 1663065400.000000 209.308000 0.00017053
203 1663065480.000000 209.464000 0.000170798
204 1663065560.000000 209.620000 0.000171185
205 1663065640.000000 209.778000 0.000171215
206 1663065720.000000 209.930000 0.000170947
207 1663065800.000000 210.083500 0.000170738
208 1663065880.000000 210.238000 0.000170381
209 1663065960.000000 210.393500 0.0001705
210 1663066040.000000 210.551500 0.000170887
211 1663066120.000000 210.707000 0.000171245
212 1663066200.000000 210.857500 0.000171215
213 1663066280.000000 211.016000 0.000170947
214 1663066360.000000 211.170000 0.000170619
215 1663066440.000000 211.323500 0.000170381
216 1663066520.000000 211.479500 0.0001705
217 1663066600.000000 211.634500 0.000170828
218 1663066680.000000 211.788500 0.000171156
219 1663066760.000000 211.944500 0.000171185
220 1663066840.000000 212.101000 0.000170828
221 1663066920.000000 212.254500 0.00017053
222 1663067000.000000 212.410500 0.000170262
223 1663067080.000000 212.568000 0.00017053
224 1663067160.000000 212.720000 0.000170858
225 1663067240.000000 212.875000 0.000171245
226 1663067320.000000 213.034000 0.000171096
227 1663067400.000000 213.186500 0.000170798
228 1663067480.000000 213.342500 0.00017053
229 1663067560.000000 213.500000 0.000170321
230 1663067640.000000 213.651500 0.00017053
231 1663067720.000000 213.809000 0.000170887
232 1663067800.000000 213.963500 0.000171096
233 1663067880.000000 214.119000 0.000171036
234 1663067960.000000 214.272000 0.000170768
235 1663068040.000000 214.426500 0.00017047
236 1663068120.000000 214.585000 0.000170381
237 1663068200.000000 214.737500 0.00017053
238 1663068280.000000 214.892500 0.000170917
239 1663068360.000000 215.049500 0.000171007
240 1663068440.000000 215.201000 0.000171036
241 1663068520.000000 215.359000 0.000170679
242 1663068600.000000 215.512500 0.0001705
243 1663068680.000000 215.667000 0.000170411
244 1663068760.000000 215.823000 0.00017056
245 1663068840.000000 215.980000 0.000170768
246 1663068920.000000 216.133000 0.000170947
247 1663069000.000000 216.288500 0.000170828
248 1663069080.000000 216.443500 0.000170679
249 1663069160.000000 216.597000 0.00017047
250 1663069240.000000 216.749000 0.00017047
251 1663069320.000000 216.906000 0.0001705
252 1663069400.000000 217.065000 0.000170798
253 1663069480.000000 217.218000 0.000170977
254 1663069560.000000 217.374500 0.000170917
255 1663069640.000000 217.530500 0.000170738
256 1663069720.000000 217.685500 0.0001705
257 1663069800.000000 217.840000 0.000170381
258 1663069880.000000 217.994500 0.0001705
259 1663069960.000000 218.148500 0.000170709
260 1663070040.000000 218.304000 0.000170828
261 1663070120.000000 218.458500 0.000170887
262 1663070200.000000 218.617500 0.000170738
263 1663070280.000000 218.767500 0.0001705
264 1663070360.000000 218.924000 0.000170381
265 1663070440.000000 219.081500 0.000170411
266 1663070520.000000 219.232500 0.000170649
267 1663070600.000000 219.389000 0.000170887
268 1663070680.000000 219.545500 0.000170977
269 1663070760.000000 219.699000 0.000170887
270 1663070840.000000 219.855000 0.000170619
271 1663070920.000000 220.009500 0.000170321
272 1663071000.000000 220.164000 0.000170411
273 1663071080.000000 220.318000 0.000170619
274 1663071160.000000 220.475000 0.000170947
275 1663071240.000000 220.628500 0.000171066
276 1663071320.000000 220.783500 0.000170768
277 1663071400.000000 220.941000 0.0001705
278 1663071480.000000 221.095500 0.000170202
279 1663071560.000000 221.250500 0.000170321
280 1663071640.000000 221.406500 0.00017053
281 1663071720.000000 221.560500 0.000170917
282 1663071800.000000 221.712500 0.000171066
283 1663071880.000000 221.868000 0.000170798
284 1663071960.000000 222.023500 0.000170411
285 1663072040.000000 222.180500 0.000170142
286 1663072120.000000 222.337500 0.000170232
287 1663072200.000000 222.490500 0.000170619
288 1663072280.000000 222.647500 0.000171036
289 1663072360.000000 222.802000 0.000171156
290 1663072440.000000 222.959000 0.000170798
291 1663072520.000000 223.111500 0.000170262
292 1663072600.000000 223.268000 0.000169993
293 1663072680.000000 223.422500 0.000170083
294 1663072760.000000 223.577500 0.000170679
295 1663072840.000000 223.735500 0.000171156
296 1663072920.000000 223.886000 0.000171245
297 1663073000.000000 224.041000 0.000170828
298 1663073080.000000 224.194500 0.000170202
299 1663073160.000000 224.351000 0.000169934
300 1663073240.000000 224.506000 0.000170113
301 1663073320.000000 224.659500 0.000170828
302 1663073400.000000 224.815000 0.000171364
303 1663073480.000000 224.974500 0.000171185
304 1663073560.000000 225.126000 0.000170619
305 1663073640.000000 225.282000 0.000169904
306 1663073720.000000 225.437500 0.000169844
307 1663073800.000000 225.589000 0.000170232
308 1663073880.000000 225.746500 0.000171036
309 1663073960.000000 225.903000 0.000171424
310 1663074040.000000 226.056500 0.000171066
311 1663074120.000000 226.212500 0.000170381
312 1663074200.000000 226.367500 0.000169844
313 1663074280.000000 226.525000 0.000169904
314 1663074360.000000 226.678000 0.0001705
315 1663074440.000000 226.834000 0.000171185
316 1663074520.000000 226.991000 0.000171394
317 1663074600.000000 227.144000 0.000170798
318 1663074680.000000 227.301500 0.000170083
319 1663074760.000000 227.458500 0.000169725
320 1663074840.000000 227.611500 0.000170113
321 1663074920.000000 227.770000 0.000170828
322 1663075000.000000 227.921000 0.000171245
323 1663075080.000000 228.077000 0.000171185
324 1663075160.000000 228.233500 0.0001705
325 1663075240.000000 228.384000 0.000169964
326 1663075320.000000 228.541500 0.000169934
327 1663075400.000000 228.698500 0.000170381
328 1663075480.000000 228.854000 0.000171096
329 1663075560.000000 229.008000 0.000171305
330 1663075640.000000 229.161500 0.000170947
331 1663075720.000000 229.320000 0.000170291
332 1663075800.000000 229.471500 0.000170053
333 1663075880.000000 229.627000 0.000170232
334 1663075960.000000 229.784500 0.000170768
335 1663076040.000000 229.935500 0.000171215
336 1663076120.000000 230.092500 0.000170947
337 1663076200.000000 230.249000 0.00017053
338 1663076280.000000 230.401000 0.000170262
339 1663076360.000000 230.557500 0.000170351
340 1663076440.000000 230.712500 0.000170619
341 1663076520.000000 230.866000 0.000170858
342 1663076600.000000 231.023000 0.000170947
343 1663076680.000000 231.176500 0.000170768
344 1663076760.000000 231.332500 0.000170411
345 1663076840.000000 231.484500 0.0001705
346 1663076920.000000 231.642000 0.000170679
347 1663077000.000000 231.797000 0.000170887
348 1663077080.000000 231.950500 0.000170828
349 1663077160.000000 232.106500 0.000170649
350 1663077240.000000 232.262500 0.00017053
351 1663077320.000000 232.418500 0.000170589
352 1663077400.000000 232.573500 0.000170768
353 1663077480.000000 232.728500 0.000170887
354 1663077560.000000 232.886000 0.000170828
355 1663077640.000000 233.039500 0.000170679
356 1663077720.000000 233.194500 0.0001705
357 1663077800.000000 233.352500 0.000170649
358 1663077880.000000 233.504500 0.000170858
359 1663077960.000000 233.662000 0.000170977
360 1663078040.000000 233.818500 0.000170947
