#  SAMPLE - ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the x direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1853324681.000000 208.005000 0.000104905
1 1853324760.000000 208.160000 0.000104905
2 1853324840.000000 208.310500 0.000104905
3 1853324920.000000 208.461000 0.000104905
4 1853325000.000000 208.605500 0.000104905
5 1853325080.000000 208.757500 0.000104905
6 1853325160.000000 208.909500 0.000104905
7 1853325240.000000 209.063000 0.000104905
8 1853325320.000000 209.218500 0.000104905
9 1853325400.000000 209.372500 0.000104905
10 1853325480.000000 209.528000 0.000104905
11 1853325560.000000 209.680500 0.000104905
12 1853325640.000000 209.835500 0.000104905
13 1853325720.000000 209.992500 0.000104905
14 1853325800.000000 210.145500 0.000104905
15 1853325880.000000 210.300500 0.000104905
16 1853325960.000000 210.456000 0.000104905
17 1853326040.000000 210.609500 0.000104905
18 1853326120.000000 210.765500 0.000104905
19 1853326200.000000 210.920000 0.000104905
20 1853326280.000000 211.076500 0.000104905
21 1853326360.000000 211.230500 0.000104905
22 1853326440.000000 211.384000 0.000104905
23 1853326520.000000 211.541000 0.000104905
24 1853326600.000000 211.694500 0.000104905
25 1853326680.000000 211.848500 0.000104905
26 1853326760.000000 212.004000 0.000104666
27 1853326840.000000 212.159500 0.000104905
28 1853326920.000000 212.317500 0.000104905
