# SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the x direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1856710100.000000 208.009000 0.000175954
1 1856710180.000000 208.161500 0.000175715
2 1856710260.000000 208.315500 0.000175715
3 1856710340.000000 208.473000 0.000175715
4 1856710420.000000 208.624000 0.000175715
5 1856710500.000000 208.781500 0.000175954
6 1856710580.000000 208.938000 0.000175954
7 1856710660.000000 209.091000 0.000175954
8 1856710740.000000 209.247000 0.000175954
9 1856710820.000000 209.400000 0.000175954
10 1856710900.000000 209.555500 0.000175715
11 1856710980.000000 209.711500 0.000175477
12 1856711060.000000 209.863000 0.000175477
13 1856711140.000000 210.020500 0.000175715
14 1856711220.000000 210.175500 0.000175715
15 1856711300.000000 210.329000 0.000175954
16 1856711380.000000 210.486000 0.000175954
17 1856711460.000000 210.639500 0.000175954
18 1856711540.000000 210.794500 0.000175715
19 1856711620.000000 210.950000 0.000175477
20 1856711700.000000 211.104000 0.000175477
21 1856711780.000000 211.259000 0.000175477
22 1856711860.000000 211.413000 0.000175477
23 1856711940.000000 211.570000 0.000175715
24 1856712020.000000 211.723000 0.000175954
25 1856712100.000000 211.878000 0.000175954
26 1856712180.000000 212.036500 0.000175954
27 1856712260.000000 212.190000 0.000175954
28 1856712340.000000 212.347000 0.000175477
29 1856712420.000000 212.503500 0.000175477
