# SAMPLE - ONE ARM
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the y direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1845010180.000000 208.004500 0.000103474
1 1845010260.000000 208.158000 0.000103236
2 1845010340.000000 208.312500 0.000103236
3 1845010420.000000 208.467000 0.000103236
4 1845010500.000000 208.623000 0.000103236
5 1845010580.000000 208.777000 0.000103236
6 1845010660.000000 208.932500 0.000103236
7 1845010740.000000 209.086000 0.000103236
8 1845010820.000000 209.243500 0.000103236
9 1845010900.000000 209.395500 0.000103236
10 1845010980.000000 209.551000 0.000103236
11 1845011060.000000 209.707500 0.000103236
12 1845011140.000000 209.859500 0.000103236
13 1845011220.000000 210.016000 0.000103236
14 1845011300.000000 210.171500 0.000103236
15 1845011380.000000 210.324000 0.000103236
16 1845011460.000000 210.480500 0.000103236
17 1845011540.000000 210.636000 0.000103236
18 1845011620.000000 210.790500 0.000103236
19 1845011700.000000 210.945500 0.000103236
20 1845011780.000000 211.100000 0.000103236
21 1845011860.000000 211.255000 0.000103236
22 1845011940.000000 211.409000 0.000102997
23 1845012020.000000 211.562500 0.000103236
24 1845012100.000000 211.717500 0.000103236
25 1845012180.000000 211.873000 0.000103236
26 1845012260.000000 212.031000 0.000103236
27 1845012340.000000 212.184000 0.000103236
28 1845012420.000000 212.341500 0.000103236
29 1845012500.000000 212.498500 0.000103236
