# SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the y direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1846411740.000000 208.004500 0.000173808
1 1846411820.000000 208.151500 0.00017357
2 1846411900.000000 208.304500 0.000173331
3 1846411980.000000 208.462500 0.000173331
4 1846412060.000000 208.615000 0.00017357
5 1846412140.000000 208.768500 0.00017357
6 1846412220.000000 208.924500 0.00017357
7 1846412300.000000 209.079000 0.000173808
8 1846412380.000000 209.235000 0.00017357
9 1846412460.000000 209.385000 0.00017357
10 1846412540.000000 209.539000 0.000173331
11 1846412620.000000 209.695500 0.000173331
12 1846412700.000000 209.849500 0.000173331
13 1846412780.000000 210.005500 0.000173331
14 1846412860.000000 210.157000 0.00017357
15 1846412940.000000 210.314000 0.00017357
16 1846413020.000000 210.471500 0.000173808
17 1846413100.000000 210.623000 0.000173808
18 1846413180.000000 210.780000 0.00017357
19 1846413260.000000 210.932000 0.000173331
20 1846413340.000000 211.087000 0.000173093
21 1846413420.000000 211.244500 0.000173331
22 1846413500.000000 211.394500 0.000173093
23 1846413580.000000 211.552500 0.000173331
24 1846413660.000000 211.708000 0.000173808
25 1846413740.000000 211.864000 0.000173808
26 1846413820.000000 212.019000 0.000173808
27 1846413900.000000 212.175500 0.000173808
28 1846413980.000000 212.332500 0.000173331
29 1846414060.000000 212.487000 0.000173093
