#  NO  SAMPLE
FTS 95 GHz source w/rect feedhorn, long circ feedhorn on detect.

SAMPLE: 605-606 etalon with 3" spacing. Aligned along the y direction.

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-3 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1849862801.000000 208.012000 0.000176669
1 1849862880.000000 208.167000 0.000176431
2 1849862960.000000 208.320000 0.000176431
3 1849863040.000000 208.477500 0.000176669
4 1849863120.000000 208.627500 0.000176431
5 1849863200.000000 208.782000 0.000176669
6 1849863280.000000 208.938500 0.000176669
7 1849863360.000000 209.092500 0.000176669
8 1849863440.000000 209.247000 0.000176908
9 1849863520.000000 209.400000 0.000176669
10 1849863600.000000 209.555500 0.000176431
11 1849863680.000000 209.712000 0.000176431
12 1849863760.000000 209.865000 0.000176431
13 1849863840.000000 210.020000 0.000176669
14 1849863920.000000 210.175500 0.000176669
15 1849864000.000000 210.331500 0.000176908
16 1849864080.000000 210.487000 0.000176908
17 1849864160.000000 210.639000 0.000176669
18 1849864240.000000 210.796000 0.000176669
19 1849864320.000000 210.948500 0.000176431
20 1849864400.000000 211.102500 0.000176431
21 1849864480.000000 211.261000 0.000176431
22 1849864560.000000 211.412000 0.000176431
23 1849864640.000000 211.569500 0.000176669
24 1849864720.000000 211.725000 0.000176908
25 1849864800.000000 211.878000 0.000176908
26 1849864880.000000 212.036000 0.000176908
27 1849864960.000000 212.192500 0.000176669
28 1849865040.000000 212.346500 0.000176431
29 1849865120.000000 212.503000 0.000176431
