#  SAMPLE
FTS 150 GHz source and diode detecyot

SAMPLE -- FP etalon using 15/40 B3#18
6" OD with a 2" spacing between the filters

Testing for polarization, aligning x-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2320546600.000000 172.917000 0.000208379
1 2320546680.000000 173.030500 0.000208289
2 2320546760.000000 173.147000 0.0002082
3 2320546840.000000 173.260500 0.00020814
4 2320546920.000000 173.376500 0.000208051
5 2320547000.000000 173.487000 0.000208111
6 2320547080.000000 173.599500 0.0002082
7 2320547160.000000 173.708000 0.000208081
8 2320547240.000000 173.818500 0.00020826
9 2320547320.000000 173.937000 0.000208289
10 2320547400.000000 174.052000 0.0002082
11 2320547480.000000 174.165500 0.00020817
12 2320547560.000000 174.279500 0.00020817
13 2320547640.000000 174.396500 0.000208051
14 2320547720.000000 174.509000 0.000208051
15 2320547800.000000 174.626000 0.000207962
16 2320547880.000000 174.740500 0.000208081
17 2320547960.000000 174.855000 0.000208111
18 2320548040.000000 174.969500 0.00020823
19 2320548120.000000 175.086500 0.00020817
20 2320548200.000000 175.200500 0.00020814
21 2320548280.000000 175.315500 0.000207962
22 2320548360.000000 175.431500 0.000207932
23 2320548440.000000 175.547000 0.000207872
24 2320548520.000000 175.662000 0.000207842
25 2320548600.000000 175.776000 0.000207902
26 2320548680.000000 175.893500 0.000207932
27 2320548760.000000 176.008000 0.000207991
28 2320548840.000000 176.123500 0.00020814
29 2320548920.000000 176.239500 0.000208081
30 2320549000.000000 176.357000 0.000208051
31 2320549080.000000 176.471500 0.000207932
32 2320549160.000000 176.587000 0.000207783
33 2320549240.000000 176.705500 0.000207783
34 2320549320.000000 176.818000 0.000207842
35 2320549400.000000 176.937500 0.000207962
36 2320549480.000000 177.052000 0.000208081
37 2320549560.000000 177.167000 0.000208081
38 2320549640.000000 177.282000 0.000208051
39 2320549720.000000 177.400000 0.000207932
