#  NO SAMPLE
FTS 150 GHz source and diode detecyot

SAMPLE -- FP etalon using 15/40 B3#18
6" OD with a 2" spacing between the filters

Testing for polarization, aligning x-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2321295500.000000 172.924500 0.000212134
1 2321295600.000000 173.039000 0.000212074
2 2321295680.000000 173.156000 0.000212015
3 2321295760.000000 173.270000 0.000211866
4 2321295840.000000 173.386500 0.000211925
5 2321295920.000000 173.500000 0.000211836
6 2321296000.000000 173.617000 0.000211866
7 2321296080.000000 173.731500 0.000212015
8 2321296160.000000 173.847500 0.000211985
9 2321296240.000000 173.962500 0.000212134
10 2321296320.000000 174.078000 0.000212074
11 2321296400.000000 174.194500 0.000211925
12 2321296480.000000 174.306500 0.000211895
13 2321296560.000000 174.423500 0.000211866
14 2321296640.000000 174.539000 0.000211836
15 2321296720.000000 174.656500 0.000211836
16 2321296800.000000 174.767000 0.000211836
17 2321296880.000000 174.884500 0.000212015
18 2321296960.000000 174.998500 0.000212074
19 2321297040.000000 175.116500 0.000211955
20 2321297120.000000 175.229000 0.000211925
21 2321297200.000000 175.345500 0.000211836
22 2321297280.000000 175.459000 0.000211746
23 2321297360.000000 175.575500 0.000211687
24 2321297440.000000 175.692500 0.000211687
25 2321297520.000000 175.804000 0.000211687
26 2321297600.000000 175.922000 0.000211836
27 2321297680.000000 176.036500 0.000211925
28 2321297760.000000 176.152000 0.000211895
29 2321297840.000000 176.268000 0.000211895
30 2321297920.000000 176.386500 0.000211836
31 2321298000.000000 176.499500 0.000211746
32 2321298080.000000 176.617000 0.000211597
33 2321298160.000000 176.734000 0.000211687
34 2321298240.000000 176.848000 0.000211657
35 2321298320.000000 176.966500 0.000211687
36 2321298400.000000 177.079500 0.000211836
37 2321298480.000000 177.196500 0.000211895
