# NO SAMPLE
FTS 150 GHz source and diode detecyot

SAMPLE -- FP etalon using 15/40 B3#18
6" OD with a 2" spacing between the filters

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2298198980.000000 172.922500 0.00021276
1 2298199080.000000 173.035500 0.0002127
2 2298199160.000000 173.153500 0.000212611
3 2298199240.000000 173.268500 0.000212462
4 2298199320.000000 173.383000 0.000212402
5 2298199400.000000 173.496000 0.000212432
6 2298199480.000000 173.610000 0.000212491
7 2298199560.000000 173.725500 0.000212581
8 2298199640.000000 173.842000 0.00021267
9 2298199720.000000 173.956500 0.0002127
10 2298199800.000000 174.072000 0.00021267
11 2298199880.000000 174.188500 0.000212551
12 2298199960.000000 174.302000 0.000212462
13 2298200040.000000 174.417000 0.000212342
14 2298200120.000000 174.530500 0.000212283
15 2298200200.000000 174.649000 0.000212342
16 2298200280.000000 174.761000 0.000212551
17 2298200360.000000 174.878500 0.000212581
18 2298200440.000000 174.992500 0.000212581
19 2298200520.000000 175.108000 0.000212641
20 2298200600.000000 175.223000 0.000212491
21 2298200680.000000 175.340000 0.000212372
22 2298200760.000000 175.453000 0.000212223
23 2298200840.000000 175.568500 0.000212253
24 2298200920.000000 175.686000 0.000212253
25 2298201000.000000 175.797500 0.000212342
26 2298201080.000000 175.915500 0.000212491
27 2298201160.000000 176.029500 0.000212551
28 2298201240.000000 176.146000 0.000212551
29 2298201320.000000 176.261500 0.000212462
30 2298201400.000000 176.380000 0.000212462
31 2298201480.000000 176.495500 0.000212462
32 2298201560.000000 176.610500 0.000212402
33 2298201640.000000 176.727000 0.000212402
34 2298201720.000000 176.842500 0.000212462
35 2298201800.000000 176.959000 0.000212491
36 2298201880.000000 177.073000 0.000212581
37 2298201960.000000 177.189000 0.000212491
38 2298202040.000000 177.304000 0.000212491
39 2298202120.000000 177.423000 0.000212432
40 2298202200.000000 177.536500 0.000212313
41 2298202280.000000 177.653500 0.000212193
42 2298202360.000000 177.770000 0.000212164
43 2298202440.000000 177.883500 0.000212164
44 2298202520.000000 178.000500 0.000212342
45 2298202600.000000 178.114000 0.000212432
46 2298202680.000000 178.232500 0.000212491
47 2298202760.000000 178.341500 0.000212402
48 2298202840.000000 178.458000 0.000212342
49 2298202920.000000 178.571000 0.000212164
50 2298203000.000000 178.688500 0.000212044
51 2298203080.000000 178.803000 0.000211895
52 2298203160.000000 178.918000 0.000212015
53 2298203240.000000 179.034000 0.000212193
54 2298203320.000000 179.148500 0.000212313
55 2298203400.000000 179.264500 0.000212491
56 2298203480.000000 179.377500 0.000212551
57 2298203560.000000 179.494500 0.000212432
58 2298203640.000000 179.608500 0.000212253
59 2298203720.000000 179.725500 0.000212074
60 2298203800.000000 179.838000 0.000212074
61 2298203880.000000 179.955000 0.000212134
62 2298203961.000000 180.069500 0.000212223
63 2298204040.000000 180.183500 0.000212372
64 2298204120.000000 180.300000 0.000212491
65 2298204200.000000 180.415500 0.000212521
66 2298204280.000000 180.529000 0.000212491
67 2298204360.000000 180.644000 0.000212342
68 2298204440.000000 180.762000 0.000212134
69 2298204520.000000 180.874000 0.000212015
70 2298204600.000000 180.989500 0.000212015
71 2298204680.000000 181.106000 0.000212164
72 2298204760.000000 181.224000 0.000212372
73 2298204840.000000 181.338000 0.000212372
74 2298204920.000000 181.455500 0.000212521
75 2298205000.000000 181.569500 0.000212462
76 2298205080.000000 181.687000 0.000212313
77 2298205160.000000 181.805000 0.000212134
78 2298205240.000000 181.921000 0.000212015
79 2298205320.000000 182.037500 0.000212044
80 2298205400.000000 182.151000 0.000212015
81 2298205480.000000 182.269000 0.000212164
82 2298205560.000000 182.381000 0.000212432
83 2298205640.000000 182.498500 0.000212462
84 2298205720.000000 182.613000 0.000212491
85 2298205800.000000 182.728000 0.000212283
86 2298205880.000000 182.846000 0.000212104
87 2298205960.000000 182.962500 0.000211895
88 2298206040.000000 183.079000 0.000211925
89 2298206120.000000 183.193500 0.000211985
90 2298206200.000000 183.309500 0.000212104
91 2298206280.000000 183.424000 0.000212253
92 2298206360.000000 183.541000 0.000212372
93 2298206440.000000 183.654500 0.000212372
94 2298206520.000000 183.769500 0.000212283
95 2298206600.000000 183.883500 0.000212134
96 2298206680.000000 183.996500 0.000212015
97 2298206760.000000 184.114500 0.000211925
98 2298206840.000000 184.229000 0.000212015
99 2298206920.000000 184.346000 0.000212134
100 2298207000.000000 184.460000 0.000212342
101 2298207080.000000 184.576000 0.000212402
102 2298207160.000000 184.690500 0.000212462
103 2298207240.000000 184.806500 0.000212342
104 2298207320.000000 184.919000 0.000212313
105 2298207400.000000 185.037500 0.000212193
106 2298207480.000000 185.150500 0.000212074
107 2298207560.000000 185.266000 0.000212074
108 2298207640.000000 185.382000 0.000212253
109 2298207720.000000 185.497500 0.000212462
110 2298207800.000000 185.612500 0.000212611
111 2298207880.000000 185.729000 0.000212611
112 2298207960.000000 185.845000 0.000212641
113 2298208040.000000 185.957000 0.000212611
114 2298208120.000000 186.074500 0.000212521
115 2298208200.000000 186.188500 0.000212342
116 2298208280.000000 186.304500 0.000212402
117 2298208360.000000 186.420000 0.000212462
118 2298208440.000000 186.538000 0.000212432
119 2298208520.000000 186.652000 0.000212521
120 2298208600.000000 186.769000 0.000212611
121 2298208680.000000 186.885500 0.0002127
122 2298208760.000000 186.999000 0.000212581
123 2298208840.000000 187.117500 0.000212551
124 2298208920.000000 187.232000 0.000212462
125 2298209000.000000 187.351000 0.000212372
126 2298209080.000000 187.462500 0.000212462
127 2298209160.000000 187.581000 0.000212641
128 2298209240.000000 187.696500 0.0002127
129 2298209320.000000 187.810000 0.000212611
130 2298209400.000000 187.929500 0.000212581
131 2298209480.000000 188.040000 0.000212581
132 2298209560.000000 188.158500 0.000212551
133 2298209640.000000 188.270500 0.000212551
134 2298209720.000000 188.389000 0.000212551
135 2298209800.000000 188.501500 0.000212402
136 2298209880.000000 188.621000 0.000212342
137 2298209960.000000 188.732500 0.000212402
138 2298210040.000000 188.848000 0.000212462
139 2298210120.000000 188.964000 0.000212521
140 2298210200.000000 189.080000 0.000212521
141 2298210280.000000 189.193500 0.000212611
142 2298210360.000000 189.306500 0.00021267
143 2298210440.000000 189.425500 0.0002127
144 2298210520.000000 189.537500 0.000212581
145 2298210600.000000 189.653500 0.000212491
146 2298210680.000000 189.768000 0.000212462
147 2298210760.000000 189.883000 0.000212491
148 2298210840.000000 189.997500 0.000212611
149 2298210920.000000 190.114500 0.0002127
150 2298211000.000000 190.229000 0.00021273
151 2298211080.000000 190.343500 0.000212819
152 2298211160.000000 190.459000 0.00021273
153 2298211240.000000 190.574000 0.00021273
154 2298211320.000000 190.689500 0.000212491
155 2298211400.000000 190.804000 0.000212432
156 2298211480.000000 190.921500 0.000212521
157 2298211560.000000 191.033500 0.000212551
158 2298211640.000000 191.152000 0.00021267
159 2298211720.000000 191.263500 0.000212909
160 2298211800.000000 191.381500 0.000212939
161 2298211880.000000 191.498500 0.000212849
162 2298211960.000000 191.616500 0.00021273
163 2298212040.000000 191.730500 0.000212611
164 2298212120.000000 191.846500 0.000212551
165 2298212200.000000 191.961500 0.000212551
166 2298212280.000000 192.078000 0.000212611
167 2298212360.000000 192.197000 0.0002127
168 2298212440.000000 192.309500 0.000212939
169 2298212520.000000 192.428000 0.000213028
170 2298212600.000000 192.540500 0.000213088
171 2298212680.000000 192.658000 0.000212909
172 2298212760.000000 192.773500 0.00021276
173 2298212840.000000 192.890000 0.000212581
174 2298212920.000000 193.005000 0.000212491
175 2298213000.000000 193.120500 0.000212641
176 2298213080.000000 193.238500 0.000212849
177 2298213160.000000 193.351500 0.000213117
178 2298213240.000000 193.468500 0.000213147
179 2298213320.000000 193.585000 0.000213117
180 2298213400.000000 193.699500 0.000212998
181 2298213480.000000 193.814000 0.000212909
182 2298213560.000000 193.931000 0.00021273
183 2298213640.000000 194.043500 0.00021267
184 2298213720.000000 194.158000 0.00021267
185 2298213800.000000 194.273000 0.000212849
186 2298213880.000000 194.388500 0.000212939
187 2298213960.000000 194.505500 0.000213177
188 2298214040.000000 194.619500 0.000213266
189 2298214120.000000 194.735500 0.000213147
190 2298214200.000000 194.851500 0.000212939
191 2298214280.000000 194.968500 0.000212819
192 2298214360.000000 195.082500 0.000212849
193 2298214440.000000 195.198000 0.000212909
194 2298214520.000000 195.310500 0.000213028
195 2298214600.000000 195.428000 0.000213207
196 2298214680.000000 195.543000 0.000213356
197 2298214760.000000 195.657000 0.000213415
198 2298214840.000000 195.774000 0.000213326
199 2298214920.000000 195.886500 0.000213177
200 2298215000.000000 196.003500 0.000213028
201 2298215080.000000 196.119000 0.000212849
202 2298215160.000000 196.235000 0.000212819
203 2298215240.000000 196.349000 0.000212879
204 2298215320.000000 196.467000 0.000213147
205 2298215400.000000 196.580000 0.000213296
206 2298215480.000000 196.697500 0.000213415
207 2298215560.000000 196.814500 0.000213415
208 2298215640.000000 196.928000 0.000213237
209 2298215720.000000 197.045500 0.000213088
210 2298215800.000000 197.162000 0.000212909
211 2298215880.000000 197.278000 0.000212849
212 2298215960.000000 197.391500 0.000212968
213 2298216040.000000 197.512000 0.000213058
214 2298216120.000000 197.623000 0.000213266
215 2298216200.000000 197.740500 0.000213475
216 2298216280.000000 197.856500 0.000213445
217 2298216360.000000 197.971500 0.000213386
218 2298216440.000000 198.086000 0.000213088
219 2298216520.000000 198.201000 0.000212939
220 2298216600.000000 198.319500 0.000212879
221 2298216680.000000 198.432000 0.000212968
222 2298216760.000000 198.549000 0.000213207
223 2298216840.000000 198.663000 0.000213386
224 2298216920.000000 198.781000 0.000213624
225 2298217000.000000 198.891500 0.000213594
226 2298217080.000000 199.010500 0.000213624
227 2298217160.000000 199.122000 0.000213386
228 2298217240.000000 199.239000 0.000213058
229 2298217320.000000 199.356000 0.000213028
230 2298217400.000000 199.468500 0.000212998
231 2298217480.000000 199.585500 0.000213147
232 2298217560.000000 199.701000 0.000213326
233 2298217640.000000 199.817000 0.000213564
234 2298217720.000000 199.930500 0.000213713
235 2298217800.000000 200.046500 0.000213594
236 2298217880.000000 200.158000 0.000213475
237 2298217960.000000 200.277500 0.000213177
238 2298218040.000000 200.391000 0.000213117
239 2298218120.000000 200.506000 0.000212998
240 2298218200.000000 200.620500 0.000213088
241 2298218280.000000 200.736500 0.000213296
242 2298218360.000000 200.851000 0.000213326
243 2298218440.000000 200.965000 0.000213475
244 2298218520.000000 201.082500 0.000213445
245 2298218600.000000 201.194500 0.000213326
246 2298218680.000000 201.311000 0.000213207
247 2298218760.000000 201.425500 0.000212998
248 2298218840.000000 201.544500 0.000212909
249 2298218920.000000 201.657000 0.000212998
250 2298219000.000000 201.775000 0.000213058
251 2298219080.000000 201.891000 0.000213177
252 2298219160.000000 202.005500 0.000213147
253 2298219240.000000 202.123000 0.000213147
254 2298219320.000000 202.235500 0.000212968
255 2298219400.000000 202.354500 0.000212879
256 2298219480.000000 202.469000 0.000212819
257 2298219560.000000 202.587000 0.000212641
258 2298219640.000000 202.699500 0.00021273
259 2298219720.000000 202.818000 0.00021276
260 2298219800.000000 202.932000 0.000212849
261 2298219880.000000 203.048000 0.000212849
262 2298219960.000000 203.165000 0.000212849
263 2298220040.000000 203.278000 0.000212849
264 2298220120.000000 203.395500 0.000212849
265 2298220200.000000 203.510500 0.000212849
266 2298220280.000000 203.627500 0.00021273
267 2298220360.000000 203.741500 0.000212551
268 2298220440.000000 203.859500 0.000212462
269 2298220520.000000 203.973500 0.000212581
270 2298220600.000000 204.088500 0.00021273
271 2298220680.000000 204.202500 0.000212849
272 2298220760.000000 204.319500 0.000212909
273 2298220840.000000 204.434500 0.000212909
274 2298220920.000000 204.547000 0.000212819
275 2298221000.000000 204.663500 0.0002127
276 2298221080.000000 204.776000 0.000212551
277 2298221160.000000 204.893500 0.000212432
278 2298221240.000000 205.007500 0.000212313
279 2298221320.000000 205.125000 0.000212432
280 2298221400.000000 205.238500 0.00021267
281 2298221480.000000 205.355500 0.00021276
282 2298221560.000000 205.469500 0.00021279
283 2298221640.000000 205.585500 0.00021276
284 2298221720.000000 205.699000 0.000212551
285 2298221800.000000 205.814000 0.000212402
286 2298221880.000000 205.930000 0.000212164
287 2298221960.000000 206.045500 0.000212253
288 2298222040.000000 206.161000 0.000212253
289 2298222120.000000 206.274500 0.000212432
290 2298222200.000000 206.391500 0.000212611
291 2298222280.000000 206.507000 0.000212849
292 2298222360.000000 206.624500 0.0002127
293 2298222440.000000 206.738500 0.000212551
294 2298222520.000000 206.856000 0.000212402
295 2298222600.000000 206.972500 0.000212104
296 2298222680.000000 207.086000 0.000212044
297 2298222760.000000 207.203500 0.000212164
298 2298222840.000000 207.318500 0.000212313
299 2298222920.000000 207.437000 0.000212432
300 2298223000.000000 207.548500 0.000212641
301 2298223080.000000 207.669000 0.000212551
302 2298223160.000000 207.781500 0.000212432
303 2298223240.000000 207.897000 0.000212223
304 2298223320.000000 208.013000 0.000212015
305 2298223400.000000 208.128000 0.000211895
306 2298223480.000000 208.243000 0.000211955
307 2298223560.000000 208.357500 0.000212134
308 2298223640.000000 208.475500 0.000212432
309 2298223720.000000 208.587500 0.000212611
310 2298223800.000000 208.706500 0.000212581
311 2298223880.000000 208.820000 0.000212462
312 2298223960.000000 208.936500 0.000212223
313 2298224040.000000 209.049500 0.000212044
314 2298224120.000000 209.167000 0.000211925
315 2298224200.000000 209.279000 0.000211866
316 2298224280.000000 209.396000 0.000212074
317 2298224360.000000 209.512000 0.000212134
318 2298224440.000000 209.625500 0.000212313
319 2298224520.000000 209.743500 0.000212491
320 2298224600.000000 209.858000 0.000212372
321 2298224680.000000 209.972000 0.000212253
322 2298224760.000000 210.084000 0.000211925
323 2298224840.000000 210.200500 0.000211776
324 2298224920.000000 210.316000 0.000211717
325 2298225000.000000 210.431500 0.000211836
326 2298225080.000000 210.547500 0.000212015
327 2298225160.000000 210.660500 0.000212193
328 2298225240.000000 210.777500 0.000212313
329 2298225320.000000 210.892000 0.000212283
330 2298225400.000000 211.007000 0.000212223
331 2298225480.000000 211.121000 0.000211925
332 2298225560.000000 211.239500 0.000211717
333 2298225640.000000 211.352000 0.000211508
334 2298225720.000000 211.469500 0.000211568
335 2298225800.000000 211.582000 0.000211717
336 2298225880.000000 211.700500 0.000211895
337 2298225960.000000 211.815000 0.000212074
338 2298226040.000000 211.930500 0.000212074
339 2298226120.000000 212.046000 0.000212044
340 2298226200.000000 212.162000 0.000211895
341 2298226280.000000 212.278500 0.000211627
342 2298226360.000000 212.392000 0.000211419
343 2298226440.000000 212.511000 0.000211419
344 2298226520.000000 212.625000 0.000211478
345 2298226600.000000 212.740500 0.000211717
