#  SAMPLE
FTS 150 GHz source and diode detecyot

SAMPLE -- FP etalon using 15/40 B3#18
6" OD with a 2" spacing between the filters

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2300274264.000000 172.931000 0.000207127
1 2300274360.000000 173.035000 0.000207008
2 2300274440.000000 173.152000 0.000206948
3 2300274520.000000 173.266000 0.000206859
4 2300274600.000000 173.383500 0.000206769
5 2300274680.000000 173.496500 0.000206799
6 2300274760.000000 173.613500 0.000206859
7 2300274840.000000 173.728000 0.000206889
8 2300274920.000000 173.845000 0.000207008
9 2300275000.000000 173.961500 0.000207067
10 2300275080.000000 174.075000 0.000206948
11 2300275160.000000 174.191500 0.000206918
12 2300275240.000000 174.306500 0.000206829
13 2300275320.000000 174.420000 0.00020668
14 2300275400.000000 174.535000 0.000206769
15 2300275480.000000 174.652000 0.000206769
16 2300275560.000000 174.764500 0.000206859
17 2300275640.000000 174.882500 0.000206918
18 2300275720.000000 174.996500 0.000207008
19 2300275800.000000 175.112000 0.000206978
20 2300275880.000000 175.228000 0.000206918
21 2300275960.000000 175.343000 0.000206859
22 2300276040.000000 175.457500 0.00020671
23 2300276120.000000 175.574000 0.00020671
24 2300276200.000000 175.687000 0.000206769
25 2300276280.000000 175.802000 0.00020674
26 2300276360.000000 175.918500 0.000206859
27 2300276440.000000 176.032000 0.000206978
28 2300276520.000000 176.150000 0.000206978
29 2300276600.000000 176.265500 0.000206889
30 2300276680.000000 176.382000 0.00020674
31 2300276760.000000 176.497500 0.00020665
32 2300276840.000000 176.612000 0.00020662
33 2300276920.000000 176.729000 0.00020665
34 2300277000.000000 176.844500 0.00020668
