# SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 X pol measurements of 18-01 15/40


another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3165219144.000000 168.024000 0.000192494
1 3165219240.000000 168.185500 0.000192494
2 3165219320.000000 168.338000 0.000192345
3 3165219400.000000 168.490500 0.000192464
4 3165219480.000000 168.646000 0.000192405
5 3165219561.000000 168.802500 0.000192405
6 3165219640.000000 168.956000 0.000192584
7 3165219720.000000 169.113000 0.000192613
8 3165219800.000000 169.265000 0.000192584
9 3165219880.000000 169.421000 0.000192554
10 3165219960.000000 169.576500 0.000192435
11 3165220040.000000 169.728000 0.000192345
12 3165220120.000000 169.884000 0.000192345
13 3165220200.000000 170.039000 0.000192405
14 3165220280.000000 170.191500 0.000192405
15 3165220360.000000 170.349000 0.000192464
16 3165220440.000000 170.504500 0.000192494
17 3165220520.000000 170.659000 0.000192435
18 3165220600.000000 170.813500 0.000192464
19 3165220680.000000 170.969500 0.000192435
20 3165220760.000000 171.123000 0.000192375
21 3165220840.000000 171.282000 0.000192256
22 3165220920.000000 171.438500 0.000192286
23 3165221000.000000 171.593000 0.000192286
24 3165221080.000000 171.748500 0.000192375
25 3165221160.000000 171.906500 0.000192405
26 3165221240.000000 172.058000 0.000192405
27 3165221320.000000 172.214500 0.000192345
28 3165221400.000000 172.372500 0.000192405
29 3165221480.000000 172.527000 0.000192345
30 3165221560.000000 172.682500 0.000192405
31 3165221640.000000 172.838500 0.000192286
32 3165221720.000000 172.993500 0.000192286
33 3165221800.000000 173.147500 0.000192286
34 3165221880.000000 173.302000 0.000192345
35 3165221960.000000 173.458500 0.000192315
36 3165222040.000000 173.610000 0.000192286
37 3165222120.000000 173.764000 0.000192286
38 3165222200.000000 173.918500 0.000192256
39 3165222280.000000 174.073500 0.000192196
40 3165222360.000000 174.230500 0.000192226
41 3165222440.000000 174.384500 0.000192226
42 3165222520.000000 174.537000 0.000192256
43 3165222600.000000 174.694500 0.000192226
44 3165222680.000000 174.851000 0.000192226
45 3165222760.000000 175.004500 0.000192286
46 3165222840.000000 175.160000 0.000192315
47 3165222920.000000 175.314500 0.000192286
48 3165223000.000000 175.471000 0.000192226
49 3165223080.000000 175.626000 0.000192137
50 3165223160.000000 175.778500 0.000192137
51 3165223240.000000 175.932500 0.000192137
52 3165223320.000000 176.089500 0.000192256
53 3165223400.000000 176.245500 0.000192166
54 3165223480.000000 176.403000 0.000192226
55 3165223560.000000 176.555500 0.000192226
56 3165223640.000000 176.714000 0.000192196
57 3165223720.000000 176.868500 0.000192196
58 3165223800.000000 177.023500 0.000192047
59 3165223880.000000 177.181000 0.000192047
60 3165223960.000000 177.332500 0.000192137
61 3165224040.000000 177.490500 0.000192137
62 3165224120.000000 177.646500 0.000192196
63 3165224200.000000 177.799500 0.000192137
64 3165224280.000000 177.957500 0.000192137
65 3165224360.000000 178.111500 0.000192137
66 3165224440.000000 178.265500 0.000192077
67 3165224520.000000 178.421500 0.000192166
68 3165224600.000000 178.575000 0.000192017
69 3165224680.000000 178.728000 0.000192107
70 3165224760.000000 178.883500 0.000192047
71 3165224840.000000 179.041500 0.000192017
72 3165224920.000000 179.193500 0.000192017
73 3165225000.000000 179.347500 0.000192017
74 3165225080.000000 179.506000 0.000192107
75 3165225160.000000 179.656500 0.000192047
76 3165225240.000000 179.811500 0.000191987
77 3165225320.000000 179.969000 0.000191928
78 3165225400.000000 180.119500 0.000191928
79 3165225480.000000 180.276500 0.000191987
80 3165225560.000000 180.432500 0.000192017
81 3165225640.000000 180.585000 0.000191958
82 3165225720.000000 180.742500 0.000191898
83 3165225800.000000 180.891500 0.000191898
84 3165225880.000000 181.052000 0.000192047
85 3165225960.000000 181.207000 0.000192017
86 3165226040.000000 181.361000 0.000191987
87 3165226120.000000 181.518500 0.000191987
88 3165226200.000000 181.674000 0.000192017
89 3165226280.000000 181.829000 0.000192107
90 3165226360.000000 181.986500 0.000191987
91 3165226440.000000 182.141500 0.000191987
92 3165226520.000000 182.297500 0.000191898
93 3165226600.000000 182.450000 0.000191898
94 3165226680.000000 182.608500 0.000191809
95 3165226760.000000 182.762000 0.000191809
96 3165226840.000000 182.918000 0.000191809
97 3165226920.000000 183.076500 0.000191749
98 3165227000.000000 183.228500 0.000191809
99 3165227080.000000 183.384500 0.000191868
100 3165227160.000000 183.540500 0.000191898
101 3165227240.000000 183.691000 0.000191928
102 3165227320.000000 183.847000 0.000191809
103 3165227400.000000 184.000500 0.000191749
104 3165227480.000000 184.155500 0.00019166
105 3165227560.000000 184.313500 0.000191689
106 3165227640.000000 184.465500 0.000191749
107 3165227720.000000 184.621500 0.000191689
108 3165227800.000000 184.778000 0.000191749
109 3165227880.000000 184.929000 0.000191898
110 3165227960.000000 185.087000 0.000191868
111 3165228040.000000 185.243000 0.000191719
112 3165228120.000000 185.394500 0.000191719
113 3165228200.000000 185.552000 0.00019166
114 3165228280.000000 185.706500 0.00019166
115 3165228360.000000 185.863000 0.0001916
116 3165228440.000000 186.017000 0.0001916
117 3165228520.000000 186.171500 0.000191749
118 3165228600.000000 186.326500 0.000191838
119 3165228680.000000 186.482500 0.000191838
120 3165228760.000000 186.640500 0.000191838
121 3165228840.000000 186.795000 0.000191868
122 3165228920.000000 186.950000 0.000191749
123 3165229000.000000 187.105500 0.00019166
124 3165229080.000000 187.260000 0.00019157
125 3165229160.000000 187.418000 0.000191481
126 3165229240.000000 187.574500 0.0001916
127 3165229320.000000 187.724500 0.0001916
128 3165229400.000000 187.884000 0.000191719
129 3165229480.000000 188.038500 0.000191809
130 3165229560.000000 188.193000 0.000191779
131 3165229640.000000 188.348000 0.000191779
132 3165229720.000000 188.498500 0.000191719
133 3165229800.000000 188.658500 0.00019157
134 3165229880.000000 188.812500 0.000191511
135 3165229960.000000 188.967000 0.000191511
136 3165230040.000000 189.120500 0.000191481
137 3165230120.000000 189.273000 0.0001916
138 3165230200.000000 189.431500 0.000191719
139 3165230280.000000 189.587000 0.000191809
140 3165230360.000000 189.739500 0.000191779
141 3165230440.000000 189.896000 0.000191779
142 3165230520.000000 190.051500 0.00019163
143 3165230600.000000 190.206500 0.000191511
144 3165230680.000000 190.361500 0.000191451
145 3165230760.000000 190.513000 0.000191451
146 3165230840.000000 190.671000 0.000191451
147 3165230920.000000 190.825000 0.000191511
148 3165231000.000000 190.979000 0.00019166
149 3165231080.000000 191.134500 0.000191749
150 3165231160.000000 191.289000 0.000191749
151 3165231240.000000 191.444000 0.000191719
152 3165231320.000000 191.602000 0.00019166
153 3165231400.000000 191.757500 0.000191481
154 3165231480.000000 191.912500 0.000191421
155 3165231560.000000 192.069500 0.000191451
156 3165231640.000000 192.224500 0.000191451
157 3165231720.000000 192.381000 0.000191362
158 3165231800.000000 192.537500 0.000191481
159 3165231880.000000 192.692500 0.00019157
160 3165231960.000000 192.845000 0.00019157
161 3165232040.000000 193.003500 0.000191481
162 3165232120.000000 193.160000 0.000191481
