# SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 Y pol measurements of 18-01 15/40

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3160429420.000000 168.014500 0.000193448
1 3160429500.000000 168.159000 0.000193388
2 3160429580.000000 168.310000 0.000193299
3 3160429660.000000 168.460500 0.000193388
4 3160429740.000000 168.617000 0.000193418
5 3160429820.000000 168.771500 0.000193507
6 3160429900.000000 168.923500 0.000193418
7 3160429980.000000 169.079500 0.000193418
8 3160430060.000000 169.231000 0.000193478
9 3160430140.000000 169.388000 0.000193388
10 3160430221.000000 169.544000 0.000193358
11 3160430300.000000 169.697000 0.000193329
12 3160430380.000000 169.853000 0.00019318
13 3160430460.000000 170.007500 0.000193299
14 3160430540.000000 170.158000 0.000193329
15 3160430620.000000 170.312000 0.000193358
16 3160430700.000000 170.465500 0.000193329
17 3160430780.000000 170.623500 0.000193358
18 3160430860.000000 170.778500 0.000193329
19 3160430940.000000 170.933000 0.000193269
20 3160431020.000000 171.089500 0.000193329
21 3160431100.000000 171.246500 0.000193299
22 3160431180.000000 171.403000 0.000193269
23 3160431260.000000 171.558000 0.000193269
24 3160431340.000000 171.714500 0.000193329
25 3160431420.000000 171.873500 0.000193388
26 3160431500.000000 172.025000 0.000193388
27 3160431580.000000 172.182000 0.000193329
