# NO SAMPLE
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

 Y pol measurements of 18-01 15/40

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3162004500.000000 168.010500 0.000200571
1 3162004580.000000 168.165000 0.000200451
2 3162004660.000000 168.321500 0.000200362
3 3162004740.000000 168.476000 0.000200422
4 3162004820.000000 168.628000 0.000200511
5 3162004900.000000 168.778500 0.000200541
6 3162004980.000000 168.926000 0.000200481
7 3162005060.000000 169.078000 0.0002006
8 3162005140.000000 169.231000 0.000200571
9 3162005220.000000 169.386500 0.000200451
10 3162005300.000000 169.539000 0.000200392
11 3162005380.000000 169.691000 0.000200332
12 3162005460.000000 169.849500 0.000200422
13 3162005540.000000 170.003500 0.000200362
14 3162005620.000000 170.156500 0.000200392
15 3162005700.000000 170.312000 0.000200422
16 3162005780.000000 170.466500 0.000200511
17 3162005860.000000 170.624000 0.000200481
18 3162005940.000000 170.776500 0.000200451
19 3162006020.000000 170.930000 0.000200392
20 3162006100.000000 171.086000 0.000200362
21 3162006180.000000 171.243000 0.000200302
22 3162006260.000000 171.401000 0.000200302
23 3162006340.000000 171.555500 0.000200362
24 3162006420.000000 171.711000 0.000200362
25 3162006500.000000 171.869000 0.000200302
26 3162006580.000000 172.020000 0.000200362
27 3162006660.000000 172.178000 0.000200332
28 3162006740.000000 172.333500 0.000200332
29 3162006820.000000 172.486500 0.000200302
30 3162006900.000000 172.644500 0.000200302
31 3162006980.000000 172.801500 0.000200213
32 3162007060.000000 172.956000 0.000200213
33 3162007140.000000 173.111500 0.000200183
34 3162007220.000000 173.266500 0.000200302
35 3162007300.000000 173.420500 0.000200392
36 3162007380.000000 173.574500 0.000200362
37 3162007460.000000 173.729500 0.000200332
38 3162007540.000000 173.883000 0.000200243
39 3162007620.000000 174.038500 0.000200213
40 3162007700.000000 174.196500 0.000200183
41 3162007780.000000 174.348500 0.000200183
42 3162007860.000000 174.504000 0.000200302
43 3162007940.000000 174.660500 0.000200243
44 3162008020.000000 174.812000 0.000200243
45 3162008100.000000 174.968000 0.000200302
46 3162008180.000000 175.124000 0.000200362
47 3162008260.000000 175.276500 0.000200273
48 3162008340.000000 175.433500 0.000200213
49 3162008420.000000 175.588500 0.000200153
50 3162008500.000000 175.741500 0.000200153
51 3162008580.000000 175.900500 0.000200183
52 3162008660.000000 176.052000 0.000200243
53 3162008740.000000 176.207000 0.000200243
54 3162008820.000000 176.363500 0.000200243
55 3162008900.000000 176.519000 0.000200183
56 3162008980.000000 176.677000 0.000200213
57 3162009060.000000 176.830000 0.000200243
58 3162009140.000000 176.987000 0.000200243
59 3162009220.000000 177.139500 0.000200153
60 3162009300.000000 177.295500 0.000200094
61 3162009380.000000 177.453000 0.000200094
62 3162009460.000000 177.607500 0.000200183
63 3162009540.000000 177.763500 0.000200213
64 3162009620.000000 177.920000 0.000200213
65 3162009700.000000 178.072500 0.000200183
66 3162009780.000000 178.227000 0.000200183
67 3162009860.000000 178.381500 0.000200183
68 3162009940.000000 178.538000 0.000200094
69 3162010020.000000 178.692500 0.000200124
70 3162010100.000000 178.845000 0.000200064
71 3162010180.000000 179.003000 0.000200124
72 3162010261.000000 179.156500 0.000200094
73 3162010340.000000 179.311500 0.000200153
74 3162010420.000000 179.467000 0.000200153
75 3162010500.000000 179.619000 0.000200094
76 3162010580.000000 179.775500 0.000200094
77 3162010660.000000 179.931500 0.000200034
78 3162010740.000000 180.083000 0.000200064
79 3162010820.000000 180.241500 0.000200153
80 3162010900.000000 180.395000 0.000200064
81 3162010980.000000 180.548500 0.000200064
82 3162011060.000000 180.704000 0.000200094
83 3162011140.000000 180.859500 0.000200064
84 3162011220.000000 181.013000 0.000200124
85 3162011300.000000 181.168500 0.000200094
86 3162011380.000000 181.326500 0.000200034
87 3162011460.000000 181.480500 0.000199945
88 3162011540.000000 181.636000 0.000199915
89 3162011620.000000 181.795500 0.000200004
90 3162011700.000000 181.949000 0.000200004
91 3162011780.000000 182.105500 0.000200034
92 3162011860.000000 182.262000 0.000199975
93 3162011940.000000 182.414000 0.000200004
94 3162012020.000000 182.571000 0.000199975
95 3162012100.000000 182.726500 0.000200004
96 3162012180.000000 182.882000 0.000199855
97 3162012260.000000 183.038500 0.000199915
98 3162012340.000000 183.194000 0.000199796
99 3162012420.000000 183.348500 0.000199945
100 3162012500.000000 183.502000 0.000199885
101 3162012580.000000 183.654000 0.000199885
102 3162012660.000000 183.809500 0.000199855
103 3162012740.000000 183.965000 0.000199766
104 3162012820.000000 184.119500 0.000199676
105 3162012900.000000 184.275000 0.000199706
106 3162012980.000000 184.431500 0.000199766
107 3162013060.000000 184.588500 0.000199826
108 3162013140.000000 184.739000 0.000199826
109 3162013220.000000 184.895000 0.000199915
110 3162013300.000000 185.049000 0.000199945
111 3162013380.000000 185.203000 0.000199915
112 3162013460.000000 185.359500 0.000199885
113 3162013540.000000 185.512500 0.000199736
114 3162013620.000000 185.668500 0.000199706
115 3162013700.000000 185.826000 0.000199676
116 3162013780.000000 185.979000 0.000199796
117 3162013860.000000 186.133000 0.000199676
118 3162013940.000000 186.291500 0.000199826
119 3162014020.000000 186.443000 0.000199855
120 3162014100.000000 186.601000 0.000199826
121 3162014180.000000 186.758000 0.000199826
122 3162014260.000000 186.912500 0.000199855
123 3162014340.000000 187.069500 0.000199736
124 3162014420.000000 187.224000 0.000199587
125 3162014500.000000 187.380000 0.000199468
126 3162014580.000000 187.534500 0.000199587
127 3162014660.000000 187.692000 0.000199647
128 3162014740.000000 187.849000 0.000199736
129 3162014820.000000 188.000000 0.000199826
130 3162014900.000000 188.158500 0.000199855
131 3162014980.000000 188.310000 0.000199885
132 3162015060.000000 188.466000 0.000199736
133 3162015140.000000 188.623000 0.000199676
134 3162015220.000000 188.773000 0.000199557
135 3162015300.000000 188.929500 0.000199527
136 3162015380.000000 189.085500 0.000199527
137 3162015460.000000 189.239500 0.000199527
138 3162015540.000000 189.396500 0.000199676
139 3162015620.000000 189.550500 0.000199796
140 3162015700.000000 189.706000 0.000199826
141 3162015780.000000 189.862000 0.000199885
142 3162015860.000000 190.012500 0.000199676
143 3162015940.000000 190.169000 0.000199587
144 3162016080.000000 190.444000 0.000199468
145 3162016160.000000 190.599000 0.000199468
146 3162016240.000000 190.752000 0.000199498
147 3162016320.000000 190.904000 0.000199647
148 3162016400.000000 191.057000 0.000199736
