# SAMPLE -ONE ARM SCANS
6

FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2370952920.000000 207.979000 0.0001176
1 2370953000.000000 208.093000 0.00011763
2 2370953080.000000 208.211000 0.0001176
3 2370953160.000000 208.324500 0.00011763
4 2370953240.000000 208.443000 0.000117749
5 2370953320.000000 208.558000 0.00011769
6 2370953400.000000 208.676000 0.000117541
7 2370953480.000000 208.790000 0.000117541
8 2370953560.000000 208.907500 0.000117571
9 2370953640.000000 209.021500 0.000117571
10 2370953720.000000 209.135000 0.000117571
11 2370953800.000000 209.251000 0.0001176
12 2370953880.000000 209.363500 0.0001176
13 2370953960.000000 209.480000 0.000117541
14 2370954040.000000 209.593000 0.000117541
15 2370954120.000000 209.708500 0.000117511
16 2370954200.000000 209.824000 0.000117571
17 2370954280.000000 209.942000 0.000117571
18 2370954360.000000 210.054000 0.000117511
19 2370954440.000000 210.170500 0.000117481
20 2370954520.000000 210.284000 0.000117511
21 2370954600.000000 210.400000 0.000117451
22 2370954680.000000 210.515000 0.000117451
23 2370954760.000000 210.630500 0.000117392
24 2370954840.000000 210.745000 0.000117451
25 2370954920.000000 210.859000 0.000117392
26 2370955000.000000 210.977000 0.000117422
27 2370955080.000000 211.092000 0.000117392
