#NO SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2375727920.000000 207.902500 0.000205279
1 2375728000.000000 208.017500 0.000205041
2 2375728080.000000 208.132000 0.000204892
3 2375728160.000000 208.246000 0.000204922
4 2375728240.000000 208.361500 0.00020525
5 2375728320.000000 208.478500 0.000205577
6 2375728400.000000 208.590500 0.000205756
7 2375728480.000000 208.709000 0.000205846
8 2375728560.000000 208.822500 0.000205607
9 2375728640.000000 208.938500 0.000205458
10 2375728720.000000 209.052500 0.000205071
11 2375728800.000000 209.167500 0.000204832
12 2375728880.000000 209.281500 0.000204832
13 2375728960.000000 209.398000 0.000204922
14 2375729040.000000 209.514000 0.000205279
15 2375729120.000000 209.626500 0.000205518
16 2375729200.000000 209.743500 0.000205697
17 2375729280.000000 209.857500 0.000205577
18 2375729360.000000 209.975500 0.00020525
19 2375729440.000000 210.086500 0.000204981
20 2375729520.000000 210.204000 0.000204683
21 2375729600.000000 210.317000 0.000204594
22 2375729680.000000 210.433000 0.000204713
23 2375729760.000000 210.546500 0.00020513
24 2375729840.000000 210.664000 0.000205458
25 2375729920.000000 210.779000 0.000205518
26 2375730000.000000 210.892500 0.000205518
27 2375730080.000000 211.009500 0.000205339
28 2375730160.000000 211.124500 0.000204952
