# NO SAMPLE -ONE ARM SCANS
6
SAMPLE -- ONE ARM SCANS
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2436597260.000000 207.978500 0.000119806
1 2436597340.000000 208.093500 0.000119746
2 2436597420.000000 208.211000 0.000119746
3 2436597500.000000 208.324000 0.000119716
4 2436597580.000000 208.442000 0.000119806
5 2436597660.000000 208.556000 0.000119776
6 2436597740.000000 208.675000 0.000119657
7 2436597820.000000 208.788500 0.000119687
8 2436597900.000000 208.904500 0.000119687
9 2436597980.000000 209.019000 0.000119716
10 2436598060.000000 209.135500 0.000119657
11 2436598140.000000 209.247500 0.000119627
12 2436598220.000000 209.363000 0.000119627
13 2436598300.000000 209.480500 0.000119597
14 2436598380.000000 209.594000 0.000119567
15 2436598460.000000 209.709500 0.000119538
16 2436598540.000000 209.824500 0.000119627
17 2436598620.000000 209.941500 0.000119538
18 2436598700.000000 210.054500 0.000119567
19 2436598780.000000 210.170000 0.000119538
20 2436598860.000000 210.283500 0.000119597
21 2436598940.000000 210.399500 0.000119538
22 2436599020.000000 210.516000 0.000119597
23 2436599100.000000 210.630000 0.000119478
24 2436599180.000000 210.745000 0.000119508
25 2436599260.000000 210.859500 0.000119508
26 2436599340.000000 210.978000 0.000119418
