#SAMPLE -- ONE ARM SCANS
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2437144240.000000 207.987000 0.000119925
1 2437144340.000000 208.102500 0.000119865
2 2437144420.000000 208.221000 0.000119955
3 2437144500.000000 208.334500 0.000119895
4 2437144580.000000 208.451500 0.000119955
5 2437144660.000000 208.564500 0.000119865
6 2437144740.000000 208.682500 0.000119865
7 2437144820.000000 208.794500 0.000119836
8 2437144900.000000 208.912000 0.000119806
9 2437144980.000000 209.026500 0.000119836
10 2437145060.000000 209.140500 0.000119806
11 2437145140.000000 209.255000 0.000119806
12 2437145220.000000 209.371000 0.000119865
13 2437145300.000000 209.487000 0.000119687
14 2437145380.000000 209.599500 0.000119746
15 2437145460.000000 209.718000 0.000119716
16 2437145540.000000 209.832000 0.000119806
17 2437145620.000000 209.947500 0.000119806
18 2437145700.000000 210.062000 0.000119776
19 2437145780.000000 210.179500 0.000119776
20 2437145860.000000 210.293000 0.000119746
21 2437145940.000000 210.408000 0.000119746
22 2437146020.000000 210.524500 0.000119746
23 2437146100.000000 210.637500 0.000119716
24 2437146180.000000 210.755000 0.000119716
25 2437146260.000000 210.868500 0.000119597
26 2437146340.000000 210.987000 0.000119627
27 2437146420.000000 211.098500 0.000119627
