#NO SAMPLE
FTS 150 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. Changing mm/sec requested to 1.50. Not done for any of the previous 150GHz scans. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2443917380.000000 207.982500 0.000206948
1 2443917460.000000 208.097500 0.00020668
2 2443917540.000000 208.215000 0.00020671
3 2443917620.000000 208.328500 0.000206948
4 2443917700.000000 208.447500 0.000207425
5 2443917780.000000 208.559000 0.000207544
6 2443917860.000000 208.677000 0.000207574
7 2443917940.000000 208.791000 0.000207395
8 2443918020.000000 208.908000 0.000207067
9 2443918100.000000 209.020500 0.000206859
10 2443918180.000000 209.137500 0.00020668
11 2443918260.000000 209.250000 0.00020662
12 2443918340.000000 209.364500 0.000206769
13 2443918420.000000 209.479000 0.000206978
14 2443918500.000000 209.594500 0.000207485
15 2443918580.000000 209.711500 0.000207365
16 2443918660.000000 209.825500 0.000207395
17 2443918740.000000 209.940000 0.000207276
18 2443918820.000000 210.054500 0.000206918
19 2443918900.000000 210.171500 0.00020674
20 2443918980.000000 210.286500 0.000206501
21 2443919060.000000 210.402000 0.000206591
22 2443919140.000000 210.516000 0.000206859
23 2443919220.000000 210.631000 0.000207187
24 2443919300.000000 210.748000 0.000207365
25 2443919380.000000 210.862000 0.000207485
26 2443919460.000000 210.977500 0.000207276
27 2443919540.000000 211.093000 0.000206948
28 2443919620.000000 211.211000 0.000206531
