#NO SAMPLE -- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2446758120.000000 208.022500 9.82885e-005
1 2446758200.000000 208.174500 9.83183e-005
2 2446758280.000000 208.320000 9.83481e-005
3 2446758360.000000 208.472500 9.83183e-005
4 2446758440.000000 208.614000 9.83481e-005
5 2446758520.000000 208.770000 9.82885e-005
6 2446758600.000000 208.927000 9.83183e-005
7 2446758680.000000 209.077000 9.82885e-005
8 2446758760.000000 209.235000 9.83183e-005
9 2446758840.000000 209.389500 9.82885e-005
10 2446758920.000000 209.542500 9.82885e-005
11 2446759000.000000 209.699500 9.83183e-005
12 2446759080.000000 209.853000 9.82289e-005
13 2446759160.000000 210.007500 9.82289e-005
14 2446759240.000000 210.163500 9.82289e-005
15 2446759320.000000 210.318500 9.81991e-005
16 2446759400.000000 210.475500 9.82885e-005
17 2446759480.000000 210.626500 9.81693e-005
18 2446759560.000000 210.786000 9.81693e-005
19 2446759640.000000 210.935000 9.81693e-005
20 2446759720.000000 211.090500 9.80799e-005
21 2446759800.000000 211.248500 9.81395e-005
22 2446759880.000000 211.403000 9.81395e-005
23 2446759960.000000 211.556500 9.80799e-005
24 2446760040.000000 211.712000 9.81693e-005
25 2446760120.000000 211.868000 9.81395e-005
