#SAMPLE -- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2448227740.000000 208.009500 9.78117e-005
1 2448227820.000000 208.163000 9.77819e-005
2 2448227900.000000 208.310000 9.77819e-005
3 2448227980.000000 208.460000 9.77521e-005
4 2448228060.000000 208.605500 9.77521e-005
5 2448228140.000000 208.762500 9.77223e-005
6 2448228220.000000 208.917500 9.77223e-005
7 2448228300.000000 209.070500 9.76627e-005
8 2448228380.000000 209.225500 9.76925e-005
9 2448228460.000000 209.377500 9.76925e-005
10 2448228540.000000 209.533000 9.76329e-005
11 2448228620.000000 209.690000 9.76329e-005
12 2448228700.000000 209.840500 9.76329e-005
13 2448228780.000000 209.999500 9.76031e-005
14 2448228860.000000 210.154000 9.76031e-005
15 2448228940.000000 210.307000 9.76329e-005
16 2448229020.000000 210.464000 9.76031e-005
17 2448229100.000000 210.613500 9.75733e-005
18 2448229180.000000 210.771000 9.76031e-005
19 2448229260.000000 210.926000 9.75733e-005
20 2448229340.000000 211.078500 9.75137e-005
21 2448229420.000000 211.236000 9.75137e-005
22 2448229500.000000 211.389000 9.74839e-005
23 2448229580.000000 211.546000 9.74839e-005
24 2448229660.000000 211.700500 9.75137e-005
25 2448229740.000000 211.855000 9.74839e-005
