# NO SAMPLE -ONE ARM SCANS
NO SAMPLE
 SAMPLE 
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2449117720.000000 208.004500 0.000163914
1 2449117800.000000 208.152500 0.000163884
2 2449117880.000000 208.306000 0.000163794
3 2449117960.000000 208.462500 0.000163854
4 2449118040.000000 208.616500 0.000163824
5 2449118120.000000 208.772500 0.000163765
6 2449118200.000000 208.925000 0.000163794
7 2449118280.000000 209.079000 0.000163854
8 2449118360.000000 209.235500 0.000163735
9 2449118440.000000 209.390500 0.000163705
10 2449118520.000000 209.543500 0.000163645
11 2449118600.000000 209.699000 0.000163705
12 2449118680.000000 209.854000 0.000163765
13 2449118760.000000 210.008500 0.000163794
14 2449118840.000000 210.163500 0.000163824
15 2449118920.000000 210.319500 0.000163794
16 2449119000.000000 210.475500 0.000163794
17 2449119080.000000 210.627500 0.000163705
18 2449119160.000000 210.785500 0.000163586
19 2449119240.000000 210.940000 0.000163526
20 2449119320.000000 211.093000 0.000163496
21 2449119400.000000 211.250000 0.000163496
22 2449119480.000000 211.404000 0.000163616
23 2449119560.000000 211.556500 0.000163735
24 2449119640.000000 211.712500 0.000163944
25 2449119720.000000 211.869000 0.000163944
26 2449119800.000000 212.023000 0.000163854
27 2449119880.000000 212.180000 0.000163645
