# NO SAMPLE -ONE ARM SCANS
 SAMPLE
SAMPLE 
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2450414002.000000 208.013500 0.000163735
1 2450414080.000000 208.165500 0.000163616
2 2450414160.000000 208.311500 0.000163645
3 2450414240.000000 208.464000 0.000163645
4 2450414320.000000 208.611000 0.000163705
5 2450414400.000000 208.755000 0.000163645
6 2450414480.000000 208.911000 0.000163645
7 2450414560.000000 209.073000 0.000163556
8 2450414640.000000 209.218000 0.000163556
9 2450414720.000000 209.372000 0.000163556
10 2450414800.000000 209.528000 0.000163467
11 2450414880.000000 209.684500 0.000163467
12 2450414960.000000 209.839000 0.000163556
13 2450415040.000000 209.996000 0.000163616
14 2450415120.000000 210.151500 0.000163705
15 2450415200.000000 210.305000 0.000163735
16 2450415280.000000 210.461000 0.000163735
17 2450415360.000000 210.615000 0.000163556
18 2450415440.000000 210.770000 0.000163437
19 2450415520.000000 210.925000 0.000163288
20 2450415600.000000 211.080500 0.000163198
21 2450415680.000000 211.235000 0.000163228
22 2450415760.000000 211.388500 0.000163377
23 2450415840.000000 211.546000 0.000163586
24 2450415920.000000 211.699000 0.000163705
25 2450416000.000000 211.855500 0.000163794
26 2450416080.000000 212.012000 0.000163735
27 2450416160.000000 212.165500 0.000163496
