#SAMPLE 
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2451263060.000000 208.014500 0.000163705
1 2451263140.000000 208.170500 0.000163675
2 2451263220.000000 208.322500 0.000163705
3 2451263300.000000 208.480500 0.000163645
4 2451263380.000000 208.635000 0.000163616
5 2451263460.000000 208.788500 0.000163586
6 2451263540.000000 208.945000 0.000163616
7 2451263620.000000 209.098500 0.000163616
8 2451263700.000000 209.253000 0.000163556
9 2451263780.000000 209.407500 0.000163556
10 2451263860.000000 209.563000 0.000163437
11 2451263940.000000 209.716500 0.000163496
12 2451264020.000000 209.870000 0.000163556
13 2451264100.000000 210.029000 0.000163675
14 2451264180.000000 210.180000 0.000163645
15 2451264260.000000 210.335000 0.000163645
16 2451264340.000000 210.491500 0.000163645
17 2451264420.000000 210.646500 0.000163526
18 2451264500.000000 210.800500 0.000163437
19 2451264580.000000 210.956000 0.000163288
20 2451264660.000000 211.109500 0.000163198
21 2451264740.000000 211.265500 0.000163258
22 2451264820.000000 211.419500 0.000163437
23 2451264900.000000 211.572500 0.000163586
24 2451264980.000000 211.729500 0.000163735
25 2451265060.000000 211.884500 0.000163765
26 2451265140.000000 212.043000 0.000163616
27 2451265220.000000 212.194500 0.000163318
28 2451265300.000000 212.349000 0.000163198
29 2451265380.000000 212.506000 0.00016299
