# NO SAMPLE -ONE ARM SCANS
 SAMPLE
SAMPLE-- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2455465220.000000 208.005000 9.87952e-005
1 2455465300.000000 208.158000 9.87654e-005
2 2455465380.000000 208.312000 9.87952e-005
3 2455465460.000000 208.469500 9.8825e-005
4 2455465540.000000 208.621000 9.8825e-005
5 2455465620.000000 208.778500 9.8825e-005
6 2455465700.000000 208.934000 9.87654e-005
7 2455465780.000000 209.085000 9.87654e-005
8 2455465860.000000 209.241500 9.87356e-005
9 2455465940.000000 209.396500 9.8676e-005
10 2455466020.000000 209.550000 9.87058e-005
11 2455466100.000000 209.706000 9.87058e-005
12 2455466180.000000 209.859500 9.8676e-005
13 2455466260.000000 210.014500 9.87058e-005
14 2455466340.000000 210.169000 9.8676e-005
15 2455466420.000000 210.325500 9.8676e-005
16 2455466500.000000 210.480000 9.8676e-005
17 2455466580.000000 210.632500 9.87058e-005
18 2455466660.000000 210.790000 9.86164e-005
19 2455466740.000000 210.943500 9.86164e-005
20 2455466820.000000 211.096500 9.86462e-005
21 2455466900.000000 211.254000 9.8676e-005
22 2455466980.000000 211.408000 9.85865e-005
23 2455467060.000000 211.563000 9.85567e-005
24 2455467140.000000 211.717000 9.85567e-005
25 2455467220.000000 211.873000 9.85865e-005
26 2455467300.000000 212.032000 9.85567e-005
27 2455467380.000000 212.185500 9.86164e-005
28 2455467460.000000 212.341500 9.85865e-005
29 2455467540.000000 212.498000 9.85567e-005
30 2455467620.000000 212.649000 9.84673e-005
31 2455467700.000000 212.806500 9.84375e-005
32 2455467780.000000 212.962000 9.84971e-005
33 2455467860.000000 213.115000 9.85269e-005
34 2455467940.000000 213.273000 9.84673e-005
35 2455468020.000000 213.426500 9.84971e-005
36 2455468100.000000 213.586000 9.84971e-005
37 2455468180.000000 213.738000 9.83481e-005
38 2455468260.000000 213.893500 9.84375e-005
39 2455468340.000000 214.050500 9.84077e-005
40 2455468420.000000 214.202000 9.84077e-005
41 2455468500.000000 214.359000 9.84077e-005
42 2455468580.000000 214.514500 9.84077e-005
43 2455468660.000000 214.666500 9.84375e-005
44 2455468740.000000 214.824500 9.83779e-005
45 2455468820.000000 214.978000 9.83481e-005
46 2455468900.000000 215.136000 9.83183e-005
47 2455468980.000000 215.288000 9.83481e-005
48 2455469060.000000 215.440000 9.83183e-005
49 2455469140.000000 215.599000 9.83183e-005
50 2455469220.000000 215.750000 9.82885e-005
51 2455469300.000000 215.906000 9.83183e-005
52 2455469380.000000 216.065500 9.82587e-005
53 2455469460.000000 216.215500 9.82289e-005
54 2455469540.000000 216.374000 9.82587e-005
55 2455469620.000000 216.530500 9.82587e-005
56 2455469700.000000 216.681500 9.82885e-005
57 2455469780.000000 216.839000 9.82587e-005
58 2455469860.000000 216.996000 9.82289e-005
59 2455469940.000000 217.150000 9.82587e-005
60 2455470020.000000 217.308000 9.81991e-005
61 2455470100.000000 217.462000 9.81991e-005
62 2455470180.000000 217.617500 9.81693e-005
63 2455470260.000000 217.773000 9.81395e-005
64 2455470340.000000 217.928500 9.81693e-005
65 2455470420.000000 218.082500 9.81693e-005
66 2455470500.000000 218.236000 9.81693e-005
67 2455470580.000000 218.391500 9.81395e-005
68 2455470660.000000 218.546500 9.81991e-005
69 2455470740.000000 218.701000 9.81395e-005
70 2455470820.000000 218.855000 9.81395e-005
71 2455470900.000000 219.008000 9.81097e-005
72 2455470980.000000 219.164500 9.81097e-005
73 2455471060.000000 219.318000 9.80203e-005
74 2455471140.000000 219.473000 9.81097e-005
75 2455471220.000000 219.630500 9.80501e-005
76 2455471300.000000 219.781000 9.81097e-005
77 2455471380.000000 219.938500 9.80799e-005
78 2455471460.000000 220.094000 9.81097e-005
79 2455471540.000000 220.244500 9.80501e-005
80 2455471620.000000 220.401500 9.80203e-005
81 2455471700.000000 220.556500 9.79905e-005
82 2455471780.000000 220.714500 9.79905e-005
83 2455471860.000000 220.867500 9.79905e-005
84 2455471940.000000 221.021500 9.79905e-005
85 2455472020.000000 221.180500 9.79905e-005
86 2455472100.000000 221.332500 9.79011e-005
87 2455472180.000000 221.488000 9.79011e-005
88 2455472260.000000 221.645000 9.79905e-005
89 2455472340.000000 221.796000 9.79011e-005
90 2455472420.000000 221.954000 9.79309e-005
91 2455472500.000000 222.111000 9.79011e-005
92 2455472580.000000 222.263500 9.78713e-005
93 2455472660.000000 222.421000 9.79011e-005
94 2455472740.000000 222.576000 9.79011e-005
95 2455472820.000000 222.732000 9.78713e-005
96 2455472900.000000 222.886500 9.78713e-005
97 2455472980.000000 223.041500 9.78415e-005
98 2455473060.000000 223.197000 9.78713e-005
99 2455473140.000000 223.352500 9.78415e-005
100 2455473220.000000 223.506000 9.78415e-005
101 2455473300.000000 223.663500 9.78415e-005
102 2455473380.000000 223.818500 9.78713e-005
103 2455473460.000000 223.972500 9.77521e-005
104 2455473540.000000 224.128000 9.77819e-005
105 2455473620.000000 224.283000 9.78415e-005
106 2455473700.000000 224.435500 9.78117e-005
107 2455473780.000000 224.590000 9.77819e-005
108 2455473860.000000 224.744000 9.77521e-005
109 2455473940.000000 224.900500 9.77819e-005
110 2455474020.000000 225.056500 9.77521e-005
111 2455474100.000000 225.208000 9.77819e-005
112 2455474180.000000 225.363500 9.77819e-005
113 2455474260.000000 225.521500 9.77223e-005
114 2455474340.000000 225.674500 9.77223e-005
115 2455474420.000000 225.826500 9.77223e-005
116 2455474500.000000 225.984500 9.77223e-005
117 2455474580.000000 226.137500 9.76627e-005
118 2455474660.000000 226.293000 9.76925e-005
119 2455474740.000000 226.450500 9.76925e-005
120 2455474820.000000 226.601000 9.77223e-005
121 2455474900.000000 226.758000 9.76329e-005
122 2455474980.000000 226.916500 9.76627e-005
123 2455475060.000000 227.069000 9.76329e-005
124 2455475140.000000 227.227000 9.76329e-005
125 2455475220.000000 227.382000 9.76031e-005
126 2455475300.000000 227.539500 9.76627e-005
127 2455475380.000000 227.694500 9.76329e-005
128 2455475460.000000 227.850000 9.76925e-005
129 2455475540.000000 228.007000 9.76627e-005
130 2455475620.000000 228.158000 9.76329e-005
131 2455475700.000000 228.315500 9.76329e-005
132 2455475780.000000 228.471500 9.76329e-005
133 2455475860.000000 228.623000 9.76031e-005
134 2455475940.000000 228.782000 9.76329e-005
135 2455476020.000000 228.932500 9.76031e-005
136 2455476100.000000 229.089500 9.75733e-005
137 2455476180.000000 229.245000 9.76031e-005
138 2455476260.000000 229.396500 9.76031e-005
139 2455476340.000000 229.553500 9.75733e-005
140 2455476420.000000 229.710000 9.75435e-005
141 2455476500.000000 229.862500 9.75435e-005
142 2455476580.000000 230.020500 9.76031e-005
143 2455476660.000000 230.174000 9.75733e-005
144 2455476740.000000 230.330000 9.76031e-005
145 2455476820.000000 230.483000 9.75435e-005
146 2455476900.000000 230.639000 9.75137e-005
147 2455476980.000000 230.792000 9.74541e-005
148 2455477060.000000 230.946500 9.75435e-005
149 2455477140.000000 231.105500 9.75435e-005
150 2455477220.000000 231.263000 9.75435e-005
151 2455477300.000000 231.414500 9.74541e-005
152 2455477380.000000 231.572500 9.75435e-005
153 2455477460.000000 231.726000 9.74839e-005
154 2455477540.000000 231.879000 9.74541e-005
155 2455477620.000000 232.036000 9.74839e-005
156 2455477700.000000 232.191500 9.74839e-005
157 2455477780.000000 232.348000 9.74839e-005
158 2455477860.000000 232.502000 9.74243e-005
159 2455477940.000000 232.658500 9.74541e-005
160 2455478020.000000 232.816000 9.74839e-005
161 2455478100.000000 232.966000 9.74839e-005
162 2455478180.000000 233.121000 9.75137e-005
163 2455478260.000000 233.276500 9.74541e-005
164 2455478340.000000 233.432000 9.74243e-005
165 2455478420.000000 233.588500 9.74243e-005
166 2455478500.000000 233.741500 9.74243e-005
