#SAMPLE-- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2455880940.000000 208.005000 9.88548e-005
1 2455881020.000000 208.156000 9.88846e-005
2 2455881100.000000 208.309500 9.89144e-005
3 2455881180.000000 208.465500 9.8825e-005
4 2455881260.000000 208.618500 9.88548e-005
5 2455881340.000000 208.773500 9.8825e-005
6 2455881420.000000 208.930500 9.8825e-005
7 2455881500.000000 209.080500 9.87654e-005
8 2455881580.000000 209.233500 9.87654e-005
9 2455881660.000000 209.388000 9.87654e-005
10 2455881740.000000 209.544500 9.87356e-005
11 2455881820.000000 209.701000 9.87952e-005
12 2455881900.000000 209.854000 9.87058e-005
13 2455881980.000000 210.009500 9.87654e-005
14 2455882060.000000 210.164000 9.87654e-005
15 2455882140.000000 210.319500 9.87356e-005
16 2455882220.000000 210.476500 9.87356e-005
17 2455882300.000000 210.627000 9.87654e-005
18 2455882380.000000 210.785000 9.87654e-005
19 2455882460.000000 210.940500 9.87058e-005
20 2455882540.000000 211.094000 9.86164e-005
21 2455882620.000000 211.246500 9.87058e-005
22 2455882700.000000 211.400000 9.87356e-005
23 2455882780.000000 211.558000 9.8676e-005
24 2455882860.000000 211.714000 9.86164e-005
25 2455882940.000000 211.869000 9.8676e-005
