# NO SAMPLE -ONE ARM SCANS
 SAMPLE
SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2456783860.000000 208.004500 0.000164987
1 2456783940.000000 208.160000 0.000164987
2 2456784020.000000 208.314500 0.000164838
3 2456784100.000000 208.471000 0.000164897
4 2456784180.000000 208.627500 0.000164927
5 2456784260.000000 208.783500 0.000164957
6 2456784340.000000 208.940000 0.000164927
7 2456784420.000000 209.090500 0.000164897
8 2456784500.000000 209.247000 0.000164778
9 2456784580.000000 209.403000 0.000164838
10 2456784660.000000 209.557500 0.000164778
11 2456784740.000000 209.712500 0.000164778
12 2456784820.000000 209.866500 0.000164838
13 2456784900.000000 210.024000 0.000164987
14 2456784980.000000 210.176500 0.000164957
15 2456785060.000000 210.331500 0.000164957
16 2456785140.000000 210.488500 0.000164957
17 2456785220.000000 210.640000 0.000164838
18 2456785300.000000 210.795500 0.000164659
19 2456785380.000000 210.952000 0.00016448
20 2456785460.000000 211.103000 0.00016448
21 2456785540.000000 211.261500 0.000164569
22 2456785620.000000 211.416500 0.000164718
23 2456785700.000000 211.569500 0.000164867
24 2456785780.000000 211.726500 0.000164987
25 2456785860.000000 211.882500 0.000164987
26 2456785940.000000 212.037000 0.000164867
27 2456786020.000000 212.193000 0.000164689
