#SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2458560100.000000 208.007500 0.000165285
1 2458560180.000000 208.163500 0.000165255
2 2458560260.000000 208.316500 0.000165314
3 2458560340.000000 208.475500 0.000165285
4 2458560420.000000 208.628500 0.000165255
5 2458560500.000000 208.783000 0.000165285
6 2458560580.000000 208.941000 0.000165255
7 2458560660.000000 209.094500 0.000165195
8 2458560740.000000 209.248000 0.000165136
9 2458560820.000000 209.402000 0.000165076
10 2458560900.000000 209.555000 0.000165046
11 2458560980.000000 209.711000 0.000165165
12 2458561060.000000 209.865000 0.000165195
13 2458561140.000000 210.020000 0.000165195
14 2458561220.000000 210.175000 0.000165285
15 2458561300.000000 210.331000 0.000165344
16 2458561380.000000 210.487000 0.000165255
17 2458561460.000000 210.639000 0.000165136
18 2458561540.000000 210.796000 0.000164927
19 2458561620.000000 210.950500 0.000164838
20 2458561700.000000 211.103500 0.000164838
21 2458561780.000000 211.262000 0.000164957
22 2458561860.000000 211.412500 0.000165016
23 2458561940.000000 211.569000 0.000165195
24 2458562020.000000 211.725000 0.000165285
25 2458562100.000000 211.881000 0.000165314
26 2458562180.000000 212.036000 0.000165195
27 2458562260.000000 212.192000 0.000165106
28 2458562340.000000 212.350000 0.000164867
29 2458562420.000000 212.502500 0.000164689
