# NO SAMPLE -ONE ARM SCANS
6
NO SAMPLE -- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. X polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2447220700.000000 208.005500 9.79011e-005
1 2447220780.000000 208.157500 9.78713e-005
2 2447220860.000000 208.311000 9.78713e-005
3 2447220940.000000 208.469500 9.79011e-005
4 2447221020.000000 208.625000 9.79011e-005
5 2447221100.000000 208.778000 9.78415e-005
6 2447221180.000000 208.936000 9.77521e-005
7 2447221260.000000 209.085000 9.77819e-005
8 2447221340.000000 209.243000 9.78117e-005
9 2447221420.000000 209.397500 9.77223e-005
10 2447221500.000000 209.549000 9.77819e-005
11 2447221580.000000 209.706000 9.77819e-005
12 2447221660.000000 209.860000 9.77223e-005
13 2447221740.000000 210.015000 9.77521e-005
14 2447221820.000000 210.169500 9.77521e-005
15 2447221900.000000 210.324500 9.77521e-005
16 2447221980.000000 210.482000 9.76925e-005
17 2447222060.000000 210.634000 9.76329e-005
18 2447222140.000000 210.791500 9.77223e-005
19 2447222220.000000 210.942500 9.76329e-005
20 2447222300.000000 211.097000 9.76925e-005
21 2447222380.000000 211.254500 9.76925e-005
22 2447222460.000000 211.409500 9.76031e-005
23 2447222540.000000 211.562500 9.76329e-005
24 2447222620.000000 211.719000 9.76329e-005
