# SAMPLE - ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2462996480.000000 207.976000 0.000100017
1 2462996560.000000 208.127500 0.000100017
2 2462996640.000000 208.277000 0.000100077
3 2462996720.000000 208.424500 0.000100077
4 2462996800.000000 208.577000 0.000100017
5 2462996880.000000 208.735000 9.99873e-005
6 2462996960.000000 208.887500 0.000100017
7 2462997040.000000 209.043500 9.99873e-005
8 2462997120.000000 209.196500 0.000100017
9 2462997200.000000 209.349500 9.99873e-005
10 2462997280.000000 209.508000 9.99873e-005
11 2462997360.000000 209.660000 9.99575e-005
12 2462997440.000000 209.815500 9.99277e-005
13 2462997520.000000 209.971500 9.99873e-005
14 2462997600.000000 210.125000 9.99277e-005
15 2462997680.000000 210.281000 9.9868e-005
16 2462997760.000000 210.436000 9.98979e-005
17 2462997840.000000 210.589500 9.98979e-005
18 2462997920.000000 210.745000 9.9868e-005
19 2462998000.000000 210.898500 9.98382e-005
20 2462998080.000000 211.055500 9.98382e-005
21 2462998160.000000 211.209500 9.98979e-005
22 2462998240.000000 211.362500 9.98084e-005
23 2462998320.000000 211.519500 9.98382e-005
24 2462998400.000000 211.673000 9.98084e-005
25 2462998480.000000 211.830000 9.9868e-005
26 2462998560.000000 211.988000 9.9868e-005
