# NO SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2468007200.000000 207.972000 0.000166357
1 2468007280.000000 208.123500 0.000166238
2 2468007360.000000 208.277000 0.000166238
3 2468007440.000000 208.432000 0.000166238
4 2468007520.000000 208.583000 0.000166238
5 2468007600.000000 208.741500 0.000166298
6 2468007680.000000 208.896000 0.000166298
7 2468007760.000000 209.048000 0.000166208
8 2468007840.000000 209.204500 0.000166179
9 2468007920.000000 209.357500 0.000166119
10 2468008000.000000 209.511500 0.000166149
11 2468008080.000000 209.667000 0.000166059
12 2468008160.000000 209.822000 0.000166119
13 2468008240.000000 209.976000 0.000166208
14 2468008320.000000 210.130000 0.000166268
15 2468008400.000000 210.287000 0.000166328
16 2468008480.000000 210.442500 0.000166268
17 2468008560.000000 210.593500 0.000166179
18 2468008640.000000 210.751000 0.000166089
19 2468008720.000000 210.905500 0.00016591
20 2468008800.000000 211.058500 0.000165821
21 2468008880.000000 211.216500 0.000165851
22 2468008960.000000 211.369500 0.00016594
23 2468009040.000000 211.523500 0.000166089
24 2468009120.000000 211.679500 0.000166238
25 2468009200.000000 211.837000 0.000166387
26 2468009280.000000 211.990500 0.000166328
27 2468009360.000000 212.146000 0.000166149
28 2468009440.000000 212.305000 0.00016591
