#  NO SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2468892720.000000 207.969500 0.000166179
1 2468892800.000000 208.120500 0.000166059
2 2468892880.000000 208.265000 0.00016603
3 2468892960.000000 208.420500 0.000166089
4 2468893040.000000 208.573000 0.00016603
5 2468893120.000000 208.730000 0.000166
6 2468893200.000000 208.883000 0.000166119
7 2468893280.000000 209.039500 0.000166059
8 2468893360.000000 209.195000 0.00016597
9 2468893440.000000 209.345000 0.00016597
10 2468893520.000000 209.502000 0.000165851
11 2468893600.000000 209.657500 0.00016591
12 2468893680.000000 209.810500 0.00016591
13 2468893760.000000 209.967000 0.00016594
14 2468893840.000000 210.121000 0.000166
15 2468893920.000000 210.276000 0.000166059
16 2468894000.000000 210.432000 0.00016603
17 2468894080.000000 210.586000 0.000166
18 2468894160.000000 210.740500 0.000165881
19 2468894240.000000 210.894500 0.000165761
20 2468894320.000000 211.051000 0.000165612
21 2468894400.000000 211.204500 0.000165702
22 2468894480.000000 211.358000 0.000165702
23 2468894560.000000 211.514500 0.00016591
24 2468894640.000000 211.670000 0.000166
25 2468894720.000000 211.824500 0.000166059
26 2468894800.000000 211.982000 0.000166
27 2468894880.000000 212.137500 0.000165881
28 2468894960.000000 212.292500 0.000165702
