# SAMPLE - ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2462194520.000000 207.974500 9.99873e-005
1 2462194600.000000 208.123000 9.99575e-005
2 2462194680.000000 208.270000 9.98979e-005
3 2462194760.000000 208.421000 9.99575e-005
4 2462194840.000000 208.571500 0.000100017
5 2462194920.000000 208.727500 9.99873e-005
6 2462195000.000000 208.883000 9.99277e-005
7 2462195080.000000 209.037000 9.9868e-005
8 2462195160.000000 209.193000 9.9868e-005
9 2462195240.000000 209.343500 9.98979e-005
10 2462195320.000000 209.500500 9.9868e-005
11 2462195400.000000 209.656500 9.98382e-005
12 2462195480.000000 209.809000 9.98979e-005
13 2462195560.000000 209.965000 9.98382e-005
14 2462195640.000000 210.120000 9.98979e-005
15 2462195720.000000 210.276500 9.98084e-005
16 2462195800.000000 210.430000 9.98382e-005
17 2462195880.000000 210.584500 9.97488e-005
18 2462195960.000000 210.739000 9.98382e-005
19 2462196040.000000 210.893500 9.98084e-005
20 2462196120.000000 211.050500 9.97488e-005
21 2462196200.000000 211.203500 9.9719e-005
22 2462196280.000000 211.358000 9.9719e-005
23 2462196360.000000 211.513500 9.97488e-005
24 2462196440.000000 211.670000 9.96892e-005
25 2462196520.000000 211.824000 9.9719e-005
