#  SAMPLE
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn. Mode changed from run to edit. Restarted Program.

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 
# Center Position 388.300000
# half-wdth 180.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2466237480.000000 207.972500 0.000158162
1 2466237560.000000 208.126500 0.000158043
2 2466237640.000000 208.280500 0.000158072
3 2466237720.000000 208.437000 0.000158102
4 2466237800.000000 208.588000 0.000158102
5 2466237880.000000 208.745500 0.000158072
6 2466237960.000000 208.901000 0.000158102
7 2466238040.000000 209.053000 0.000158013
8 2466238120.000000 209.209500 0.000158013
9 2466238200.000000 209.363000 0.000157894
10 2466238280.000000 209.517500 0.000157864
11 2466238360.000000 209.673000 0.000157923
12 2466238440.000000 209.827000 0.000157953
13 2466238520.000000 209.981500 0.000158072
14 2466238600.000000 210.134000 0.000158043
15 2466238680.000000 210.289500 0.000158132
16 2466238760.000000 210.445000 0.000158072
17 2466238840.000000 210.598500 0.000157953
18 2466238920.000000 210.755500 0.000157804
19 2466239000.000000 210.906000 0.000157655
20 2466239080.000000 211.062500 0.000157566
21 2466239160.000000 211.220500 0.000157625
22 2466239240.000000 211.373000 0.000157715
23 2466239320.000000 211.526500 0.000157864
24 2466239400.000000 211.682500 0.000158013
25 2466239480.000000 211.840000 0.000158102
26 2466239560.000000 211.995500 0.000158013
27 2466239640.000000 212.148500 0.000157804
28 2466239720.000000 212.306500 0.000157625
