# ONE-ARM with SAMPLE
FTS 150 GHz source and diode detecyot

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 

still have asymmetric fringe clump to right of main...
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1201513720.000000 177.907500 0.000160218
1 1201513800.000000 178.022000 0.000160248
2 1201513880.000000 178.138000 0.000160099
3 1201513960.000000 178.255000 0.000160039
4 1201514040.000000 178.368000 0.000160039
5 1201514120.000000 178.486000 0.000160099
6 1201514200.000000 178.598000 0.000160069
7 1201514280.000000 178.712500 0.000160099
8 1201514360.000000 178.828500 0.000160069
9 1201514440.000000 178.945000 0.000160069
10 1201514520.000000 179.056500 0.000160069
11 1201514600.000000 179.172000 0.000160069
12 1201514680.000000 179.287000 0.000160099
13 1201514760.000000 179.403000 0.000160039
14 1201514840.000000 179.517500 0.000160099
15 1201514920.000000 179.631500 0.000160039
16 1201515000.000000 179.748500 0.000160129
17 1201515080.000000 179.864500 0.000160099
18 1201515160.000000 179.979500 0.000160129
19 1201515240.000000 180.090000 0.000160129
20 1201515320.000000 180.208000 0.000160129
21 1201515400.000000 180.323000 0.000160188
22 1201515480.000000 180.439000 0.000160218
23 1201515560.000000 180.553000 0.000160248
24 1201515640.000000 180.668500 0.000160218
25 1201515720.000000 180.783500 0.000160129
26 1201515800.000000 180.899000 0.000160039
27 1201515880.000000 181.015500 0.000160069
28 1201515960.000000 181.129000 0.00016001
29 1201516040.000000 181.246500 0.000160039
30 1201516120.000000 181.363500 0.000160039
31 1201516200.000000 181.479500 0.00015998
32 1201516280.000000 181.595000 0.000160039
33 1201516360.000000 181.714000 0.00016001
34 1201516440.000000 181.828000 0.00015995
35 1201516520.000000 181.945500 0.000160039
36 1201516600.000000 182.063000 0.00015998
37 1201516680.000000 182.174500 0.00015998
38 1201516760.000000 182.294500 0.00016001
39 1201516840.000000 182.405500 0.00015995
40 1201516920.000000 182.523000 0.00015998
41 1201517000.000000 182.637500 0.00015995
42 1201517080.000000 182.756500 0.00015992
43 1201517160.000000 182.870500 0.00015998
44 1201517240.000000 182.987000 0.00015995
45 1201517320.000000 183.104000 0.00015995
46 1201517400.000000 183.217000 0.00015998
47 1201517480.000000 183.335500 0.00015998
48 1201517560.000000 183.449500 0.00015998
49 1201517640.000000 183.565000 0.00015995
50 1201517720.000000 183.677000 0.000160039
51 1201517800.000000 183.793500 0.00015995
52 1201517880.000000 183.907500 0.00015995
53 1201517960.000000 184.022000 0.000160039
54 1201518040.000000 184.138500 0.00015998
55 1201518120.000000 184.252500 0.00015995
56 1201518200.000000 184.368500 0.00015995
57 1201518280.000000 184.483000 0.000160069
58 1201518360.000000 184.597500 0.00015998
