# NO SAMPLE
FTS 150 GHz source and diode detecyot

polysulfone sample 1, McMaster, nom. 1/2" thick, mode B
sanded flat, 180 and 320


for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1640368920.000000 172.913000 0.000207753
1 1640369000.000000 173.023000 0.000207693
2 1640369080.000000 173.135000 0.000207544
3 1640369160.000000 173.247000 0.000207515
4 1640369240.000000 173.363500 0.000207395
5 1640369320.000000 173.475500 0.000207455
6 1640369400.000000 173.591500 0.000207544
7 1640369480.000000 173.704500 0.000207723
8 1640369560.000000 173.822000 0.000207783
9 1640369640.000000 173.937500 0.000207872
10 1640369720.000000 174.050500 0.000207842
11 1640369800.000000 174.168000 0.000207783
12 1640369880.000000 174.280000 0.000207634
13 1640369960.000000 174.396500 0.000207515
14 1640370040.000000 174.511500 0.000207395
15 1640370120.000000 174.626000 0.000207365
16 1640370200.000000 174.741500 0.000207515
17 1640370280.000000 174.858000 0.000207604
18 1640370360.000000 174.971500 0.000207753
19 1640370440.000000 175.087000 0.000207723
20 1640370520.000000 175.203500 0.000207664
21 1640370600.000000 175.320000 0.000207515
22 1640370680.000000 175.435000 0.000207395
23 1640370760.000000 175.548500 0.000207395
24 1640370840.000000 175.667500 0.000207485
25 1640370920.000000 175.779000 0.000207604
26 1640371000.000000 175.895500 0.000207753
27 1640371080.000000 176.008500 0.000207723
28 1640371160.000000 176.126000 0.000207783
29 1640371240.000000 176.241000 0.000207723
30 1640371320.000000 176.360500 0.000207574
31 1640371400.000000 176.474000 0.000207485
32 1640371480.000000 176.590500 0.000207455
33 1640371560.000000 176.707500 0.000207395
34 1640371640.000000 176.822500 0.000207515
35 1640371720.000000 176.939000 0.000207634
36 1640371800.000000 177.052000 0.000207753
37 1640371880.000000 177.171000 0.000207783
38 1640371960.000000 177.283000 0.000207753
39 1640372040.000000 177.401500 0.000207634
40 1640372120.000000 177.516500 0.000207604
41 1640372200.000000 177.631500 0.000207455
42 1640372280.000000 177.748000 0.000207365
43 1640372360.000000 177.863000 0.000207336
44 1640372440.000000 177.978500 0.000207544
45 1640372520.000000 178.091000 0.000207753
46 1640372600.000000 178.210000 0.000207783
47 1640372680.000000 178.320500 0.000207693
48 1640372760.000000 178.438500 0.000207634
49 1640372840.000000 178.552500 0.000207425
50 1640372920.000000 178.668500 0.000207336
51 1640373000.000000 178.781500 0.000207306
52 1640373080.000000 178.899500 0.000207395
53 1640373160.000000 179.013000 0.000207365
54 1640373240.000000 179.127500 0.000207544
55 1640373320.000000 179.244500 0.000207574
56 1640373400.000000 179.358000 0.000207634
57 1640373480.000000 179.474000 0.000207634
58 1640373560.000000 179.588500 0.000207395
59 1640373640.000000 179.702500 0.000207246
