# SAMPLE
FTS 150 GHz source and diode detecyot

For the B3#18 15/40 6" etalon. First  sample scan. Width of etalon 2 inches.


for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1724623620.000000 172.934500 0.000205875
1 1724623720.000000 173.053000 0.000205637
2 1724623800.000000 173.164500 0.000205607
3 1724623880.000000 173.276000 0.000205488
4 1724623960.000000 173.391500 0.000205518
5 1724624040.000000 173.503500 0.000205577
6 1724624120.000000 173.619000 0.000205637
7 1724624200.000000 173.734000 0.000205726
8 1724624280.000000 173.849500 0.000205637
9 1724624361.000000 173.965500 0.000205577
10 1724624440.000000 174.081500 0.000205667
11 1724624520.000000 174.195500 0.000205697
12 1724624600.000000 174.311000 0.000205607
13 1724624680.000000 174.427500 0.000205607
14 1724624760.000000 174.540000 0.000205548
15 1724624840.000000 174.658000 0.000205726
16 1724624920.000000 174.772500 0.000205786
17 1724625000.000000 174.886500 0.000205935
18 1724625080.000000 175.000000 0.000205846
19 1724625160.000000 175.119000 0.000205697
20 1724625240.000000 175.230500 0.000205577
21 1724625320.000000 175.346500 0.000205518
22 1724625400.000000 175.460500 0.000205548
23 1724625480.000000 175.577000 0.000205458
24 1724625560.000000 175.693000 0.000205518
25 1724625640.000000 175.807000 0.000205607
26 1724625720.000000 175.923000 0.000205697
27 1724625800.000000 176.038000 0.000205816
28 1724625880.000000 176.156000 0.000205846
29 1724625960.000000 176.270000 0.000205786
30 1724626040.000000 176.388000 0.000205697
31 1724626120.000000 176.503500 0.000205548
32 1724626200.000000 176.622500 0.000205548
33 1724626280.000000 176.735000 0.000205548
34 1724626360.000000 176.852500 0.000205577
35 1724626440.000000 176.967500 0.000205667
36 1724626520.000000 177.081500 0.000205607
37 1724626600.000000 177.200000 0.000205667
38 1724626680.000000 177.310500 0.000205697
39 1724626760.000000 177.429000 0.000205607
40 1724626840.000000 177.543500 0.000205548
41 1724626920.000000 177.662500 0.000205399
42 1724627000.000000 177.775000 0.000205369
43 1724627080.000000 177.893000 0.000205548
44 1724627160.000000 178.006000 0.000205607
45 1724627240.000000 178.121500 0.000205697
46 1724627320.000000 178.238500 0.000205697
47 1724627400.000000 178.350500 0.000205637
48 1724627480.000000 178.467500 0.000205548
49 1724627560.000000 178.581500 0.000205548
50 1724627640.000000 178.697000 0.000205518
51 1724627720.000000 178.811000 0.000205458
52 1724627800.000000 178.929500 0.000205399
53 1724627880.000000 179.042000 0.000205428
54 1724627960.000000 179.158000 0.000205548
55 1724628040.000000 179.273500 0.000205637
56 1724628120.000000 179.387000 0.000205637
57 1724628200.000000 179.502000 0.000205607
58 1724628280.000000 179.617000 0.000205607
59 1724628360.000000 179.733500 0.000205428
60 1724628440.000000 179.845500 0.000205399
61 1724628520.000000 179.963500 0.000205399
62 1724628600.000000 180.075500 0.000205428
63 1724628680.000000 180.193500 0.000205488
64 1724628760.000000 180.307000 0.000205488
65 1724628840.000000 180.425000 0.000205577
66 1724628920.000000 180.537500 0.000205577
67 1724629000.000000 180.655500 0.000205518
68 1724629080.000000 180.770000 0.000205548
69 1724629160.000000 180.883000 0.000205428
70 1724629240.000000 180.999500 0.000205309
71 1724629320.000000 181.115000 0.000205309
72 1724629400.000000 181.231000 0.000205518
73 1724629480.000000 181.345000 0.000205577
74 1724629560.000000 181.464500 0.000205637
75 1724629640.000000 181.580000 0.000205726
76 1724629720.000000 181.696000 0.000205667
77 1724629800.000000 181.810500 0.000205577
78 1724629880.000000 181.926500 0.000205428
79 1724629960.000000 182.044500 0.000205309
80 1724630040.000000 182.158000 0.000205279
81 1724630120.000000 182.274000 0.000205309
82 1724630200.000000 182.388500 0.000205518
83 1724630280.000000 182.507000 0.000205667
84 1724630360.000000 182.621500 0.000205726
85 1724630440.000000 182.737500 0.000205637
86 1724630520.000000 182.855500 0.000205577
87 1724630600.000000 182.971500 0.000205548
88 1724630680.000000 183.087000 0.000205488
89 1724630760.000000 183.201000 0.000205369
90 1724630840.000000 183.320000 0.000205428
91 1724630920.000000 183.431500 0.000205577
92 1724631000.000000 183.548500 0.000205786
93 1724631080.000000 183.659500 0.000205875
94 1724631160.000000 183.776500 0.000205965
95 1724631240.000000 183.891000 0.000205816
96 1724631320.000000 184.006000 0.000205577
97 1724631400.000000 184.122000 0.000205458
98 1724631480.000000 184.239500 0.000205399
99 1724631560.000000 184.355000 0.000205458
100 1724631640.000000 184.468500 0.000205518
101 1724631720.000000 184.584500 0.000205786
102 1724631800.000000 184.699500 0.000205846
103 1724631880.000000 184.814000 0.000205816
104 1724631960.000000 184.928000 0.000205756
105 1724632040.000000 185.046000 0.000205637
106 1724632120.000000 185.157500 0.000205577
107 1724632200.000000 185.275000 0.000205518
108 1724632280.000000 185.389000 0.000205518
109 1724632360.000000 185.504000 0.000205607
110 1724632440.000000 185.620000 0.000205846
111 1724632520.000000 185.737000 0.000205935
112 1724632600.000000 185.850500 0.000205965
113 1724632680.000000 185.966000 0.000205786
114 1724632760.000000 186.083500 0.000205786
115 1724632840.000000 186.197500 0.000205548
116 1724632920.000000 186.313000 0.000205607
117 1724633000.000000 186.429000 0.000205518
118 1724633080.000000 186.547500 0.000205637
119 1724633160.000000 186.660000 0.000205786
120 1724633240.000000 186.776500 0.000205816
121 1724633320.000000 186.892000 0.000205965
122 1724633400.000000 187.008500 0.000205905
123 1724633480.000000 187.125000 0.000205756
124 1724633560.000000 187.238000 0.000205637
125 1724633640.000000 187.356500 0.000205458
126 1724633720.000000 187.469500 0.000205577
127 1724633800.000000 187.589000 0.000205697
128 1724633880.000000 187.700000 0.000205816
129 1724633960.000000 187.819000 0.000205816
130 1724634040.000000 187.935500 0.000205846
131 1724634120.000000 188.051000 0.000205816
132 1724634200.000000 188.166000 0.000205816
133 1724634280.000000 188.281500 0.000205816
134 1724634360.000000 188.396500 0.000205697
135 1724634440.000000 188.509000 0.000205607
136 1724634520.000000 188.627500 0.000205577
137 1724634600.000000 188.740000 0.000205667
138 1724634680.000000 188.855500 0.000205697
139 1724634760.000000 188.969500 0.000205756
140 1724634840.000000 189.085000 0.000205846
141 1724634920.000000 189.200000 0.000205726
142 1724635000.000000 189.316500 0.000205726
143 1724635080.000000 189.432500 0.000205697
144 1724635160.000000 189.546000 0.000205726
145 1724635240.000000 189.663000 0.000205667
146 1724635320.000000 189.777500 0.000205637
147 1724635400.000000 189.893000 0.000205697
148 1724635480.000000 190.008500 0.000205875
149 1724635560.000000 190.122500 0.000205846
150 1724635640.000000 190.237000 0.000205965
151 1724635720.000000 190.354000 0.000205995
152 1724635800.000000 190.467000 0.000205875
153 1724635880.000000 190.583000 0.000205905
154 1724635960.000000 190.699000 0.000205875
155 1724636040.000000 190.812500 0.000205816
156 1724636120.000000 190.928500 0.000205816
157 1724636200.000000 191.044000 0.000205846
158 1724636280.000000 191.159500 0.000205935
159 1724636360.000000 191.273000 0.000206054
160 1724636440.000000 191.391000 0.000206203
161 1724636520.000000 191.505000 0.000206173
162 1724636600.000000 191.623000 0.000206084
163 1724636680.000000 191.739000 0.000205875
164 1724636760.000000 191.855000 0.000205697
165 1724636840.000000 191.971500 0.000205637
166 1724636920.000000 192.086000 0.000205637
167 1724637000.000000 192.203500 0.000205726
168 1724637080.000000 192.317500 0.000205965
169 1724637160.000000 192.436500 0.000206144
170 1724637240.000000 192.550000 0.000206263
171 1724637320.000000 192.665000 0.000206233
172 1724637400.000000 192.780500 0.000206024
173 1724637480.000000 192.898000 0.000205875
174 1724637560.000000 193.013500 0.000205726
175 1724637640.000000 193.128000 0.000205756
176 1724637720.000000 193.245500 0.000205875
177 1724637800.000000 193.361000 0.000206114
178 1724637880.000000 193.476500 0.000206233
179 1724637960.000000 193.590500 0.000206293
180 1724638040.000000 193.707000 0.000206203
181 1724638120.000000 193.819500 0.000206114
182 1724638200.000000 193.937500 0.000205965
183 1724638280.000000 194.050000 0.000205875
184 1724638360.000000 194.167000 0.000205816
185 1724638440.000000 194.283500 0.000205995
186 1724638520.000000 194.400000 0.000206263
187 1724638600.000000 194.513500 0.000206471
188 1724638680.000000 194.629000 0.000206501
189 1724638760.000000 194.743000 0.000206412
190 1724638840.000000 194.857500 0.000206173
191 1724638920.000000 194.975000 0.000205995
192 1724639000.000000 195.087000 0.000205846
193 1724639080.000000 195.204500 0.000205875
194 1724639160.000000 195.319500 0.000206024
195 1724639240.000000 195.434000 0.000206263
196 1724639320.000000 195.549500 0.000206412
197 1724639400.000000 195.666500 0.000206471
198 1724639480.000000 195.781000 0.000206561
199 1724639560.000000 195.896500 0.000206382
200 1724639640.000000 196.013500 0.000206263
201 1724639720.000000 196.128500 0.000206084
202 1724639800.000000 196.243500 0.000206024
203 1724639880.000000 196.360000 0.000206084
204 1724639960.000000 196.478000 0.000206263
205 1724640040.000000 196.589500 0.000206471
206 1724640120.000000 196.708500 0.000206561
207 1724640200.000000 196.821500 0.000206501
208 1724640280.000000 196.939500 0.000206412
209 1724640360.000000 197.053500 0.000206263
210 1724640440.000000 197.170000 0.000206114
211 1724640520.000000 197.287500 0.000206024
212 1724640600.000000 197.401500 0.000206024
213 1724640680.000000 197.518000 0.000206054
214 1724640760.000000 197.629500 0.000206322
215 1724640840.000000 197.749000 0.000206382
216 1724640920.000000 197.863000 0.000206471
217 1724641000.000000 197.978500 0.000206442
218 1724641080.000000 198.093000 0.000206263
219 1724641160.000000 198.208000 0.000206114
220 1724641240.000000 198.325000 0.000205935
221 1724641320.000000 198.440500 0.000205935
222 1724641400.000000 198.555000 0.000206024
223 1724641480.000000 198.669500 0.000206233
224 1724641560.000000 198.787000 0.000206412
225 1724641640.000000 198.899500 0.000206501
226 1724641720.000000 199.015500 0.000206471
227 1724641800.000000 199.129000 0.000206293
228 1724641880.000000 199.247500 0.000206084
229 1724641960.000000 199.361000 0.000205995
230 1724642040.000000 199.475500 0.000205965
231 1724642120.000000 199.592000 0.000205995
232 1724642200.000000 199.707500 0.000206263
233 1724642280.000000 199.822500 0.000206352
234 1724642360.000000 199.936500 0.000206471
235 1724642440.000000 200.053500 0.000206412
236 1724642520.000000 200.165500 0.000206263
237 1724642600.000000 200.284000 0.000206084
238 1724642680.000000 200.398500 0.000206024
239 1724642760.000000 200.513000 0.000205875
240 1724642840.000000 200.628000 0.000205965
241 1724642920.000000 200.745000 0.000206084
242 1724643000.000000 200.857500 0.000206352
243 1724643080.000000 200.973500 0.000206442
244 1724643160.000000 201.089500 0.000206442
245 1724643240.000000 201.204000 0.000206352
246 1724643320.000000 201.319000 0.000206173
247 1724643400.000000 201.434500 0.000206084
248 1724643480.000000 201.552500 0.000205995
249 1724643560.000000 201.665000 0.000206054
250 1724643640.000000 201.784000 0.000206114
251 1724643720.000000 201.897500 0.000206203
252 1724643800.000000 202.015000 0.000206263
253 1724643880.000000 202.131500 0.000206412
254 1724643960.000000 202.245500 0.000206233
255 1724644040.000000 202.363000 0.000206144
256 1724644120.000000 202.476500 0.000206024
257 1724644200.000000 202.595000 0.000205846
258 1724644280.000000 202.709000 0.000205816
259 1724644360.000000 202.827000 0.000205846
260 1724644440.000000 202.939000 0.000206024
261 1724644520.000000 203.057000 0.000206024
262 1724644600.000000 203.169500 0.000206144
263 1724644680.000000 203.286000 0.000206144
264 1724644760.000000 203.403000 0.000206024
265 1724644840.000000 203.517500 0.000206024
266 1724644920.000000 203.633000 0.000205905
267 1724645000.000000 203.748500 0.000205786
268 1724645080.000000 203.865000 0.000205697
269 1724645160.000000 203.979500 0.000205697
270 1724645240.000000 204.095000 0.000205846
271 1724645320.000000 204.211000 0.000206024
272 1724645400.000000 204.324500 0.000206054
273 1724645480.000000 204.440500 0.000205995
274 1724645560.000000 204.556500 0.000205965
275 1724645640.000000 204.670500 0.000205875
276 1724645720.000000 204.786000 0.000205786
277 1724645800.000000 204.903000 0.000205697
278 1724645880.000000 205.014500 0.000205518
279 1724645960.000000 205.131500 0.000205667
280 1724646040.000000 205.246500 0.000205816
281 1724646120.000000 205.362000 0.000205905
282 1724646200.000000 205.476000 0.000206054
283 1724646280.000000 205.594000 0.000205995
284 1724646360.000000 205.705500 0.000205935
285 1724646440.000000 205.823000 0.000205637
286 1724646520.000000 205.939000 0.000205518
287 1724646600.000000 206.053500 0.000205488
288 1724646680.000000 206.168500 0.000205548
289 1724646760.000000 206.283500 0.000205667
290 1724646840.000000 206.401500 0.000205816
291 1724646920.000000 206.513500 0.000205875
292 1724647000.000000 206.631500 0.000205965
293 1724647080.000000 206.748000 0.000205786
294 1724647160.000000 206.865000 0.000205637
295 1724647240.000000 206.978000 0.000205399
296 1724647320.000000 207.096000 0.000205339
297 1724647400.000000 207.209500 0.000205369
298 1724647480.000000 207.326000 0.000205607
299 1724647560.000000 207.441500 0.000205697
300 1724647640.000000 207.555500 0.000205875
301 1724647720.000000 207.674000 0.000205905
302 1724647800.000000 207.786500 0.000205697
303 1724647880.000000 207.904500 0.000205577
