#  NO SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- TBD


Testing for polarization, aligning x-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2597008780.000000 167.914000 0.000180216
1 2597008880.000000 168.032000 0.000180424
2 2597008960.000000 168.145000 0.000180365
3 2597009040.000000 168.263500 0.000180305
4 2597009120.000000 168.377500 0.000180096
5 2597009200.000000 168.494000 0.000180007
6 2597009280.000000 168.609000 0.000179828
7 2597009360.000000 168.724000 0.000179977
8 2597009440.000000 168.840000 0.000180007
9 2597009520.000000 168.955000 0.000180037
10 2597009600.000000 169.071500 0.000180096
11 2597009680.000000 169.184000 0.000180096
12 2597009760.000000 169.300500 0.000180186
13 2597009840.000000 169.415500 0.000179977
14 2597009920.000000 169.532000 0.000179947
15 2597010000.000000 169.643500 0.000179947
16 2597010080.000000 169.762000 0.000179918
17 2597010160.000000 169.877000 0.000180126
18 2597010240.000000 169.992000 0.000180126
19 2597010320.000000 170.105500 0.000180186
20 2597010400.000000 170.222500 0.000180126
21 2597010480.000000 170.339500 0.000180037
22 2597010560.000000 170.450500 0.000180067
23 2597010640.000000 170.564500 0.000179977
24 2597010720.000000 170.679500 0.000180037
25 2597010800.000000 170.797500 0.000180067
26 2597010880.000000 170.911500 0.000180037
27 2597010960.000000 171.027500 0.000180096
28 2597011040.000000 171.143500 0.000179977
29 2597011120.000000 171.262000 0.000180037
30 2597011200.000000 171.378500 0.000179977
31 2597011280.000000 171.494500 0.000179858
