#  NO SAMPLE 
FTS 150 GHz source and diode detector

SAMPLE -- TBD


Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 2844928600.000000 167.905500 0.000175775
1 2844928680.000000 168.023000 0.000175954
2 2844928760.000000 168.137000 0.000175894
3 2844928840.000000 168.254000 0.000175775
4 2844928920.000000 168.369000 0.000175656
5 2844929020.000000 168.502000 0.000175537
6 2844929100.000000 168.615000 0.000175507
7 2844929180.000000 168.728500 0.000175507
8 2844929260.000000 168.841500 0.000175656
9 2844929340.000000 168.957000 0.000175745
10 2844929420.000000 169.073000 0.000175835
11 2844929500.000000 169.187500 0.000175745
12 2844929580.000000 169.304500 0.000175745
13 2844929660.000000 169.417500 0.000175656
14 2844929740.000000 169.534500 0.000175596
15 2844929820.000000 169.647500 0.000175686
16 2844929900.000000 169.765500 0.000175686
17 2844929980.000000 169.878000 0.000175805
18 2844930060.000000 169.993500 0.000175835
19 2844930140.000000 170.108000 0.000175775
20 2844930220.000000 170.224000 0.000175745
21 2844930300.000000 170.338000 0.000175566
22 2844930380.000000 170.453000 0.000175686
23 2844930460.000000 170.569000 0.000175656
24 2844930540.000000 170.684500 0.000175686
25 2844930620.000000 170.799000 0.000175656
26 2844930700.000000 170.915500 0.000175626
27 2844930780.000000 171.033500 0.000175805
28 2844930860.000000 171.147000 0.000175745
29 2844930940.000000 171.265500 0.000175686
30 2844931020.000000 171.382500 0.000175596
31 2844931100.000000 171.497000 0.000175477
32 2844931180.000000 171.616000 0.000175596
33 2844931260.000000 171.730000 0.000175656
34 2844931340.000000 171.846500 0.000175775
35 2844931420.000000 171.962000 0.000175835
36 2844931500.000000 172.080000 0.000175805
37 2844931580.000000 172.194000 0.000175924
38 2844931660.000000 172.309500 0.000175894
39 2844931740.000000 172.427500 0.000175894
40 2844931820.000000 172.540000 0.000175745
41 2844931900.000000 172.658000 0.000175715
42 2844931980.000000 172.772500 0.000175686
43 2844932060.000000 172.888500 0.000175537
44 2844932140.000000 173.003000 0.000175566
45 2844932220.000000 173.120000 0.000175507
46 2844932300.000000 173.234500 0.000175477
47 2844932380.000000 173.349500 0.000175417
48 2844932460.000000 173.464000 0.000175268
49 2844932540.000000 173.580000 0.000175417
50 2844932620.000000 173.692500 0.000175417
51 2844932700.000000 173.808500 0.000175477
52 2844932780.000000 173.926000 0.000175537
53 2844932860.000000 174.039500 0.000175447
54 2844932940.000000 174.154000 0.000175447
55 2844933020.000000 174.268500 0.000175447
56 2844933100.000000 174.385000 0.000175388
57 2844933180.000000 174.500500 0.000175388
58 2844933260.000000 174.614500 0.000175388
59 2844933340.000000 174.728000 0.000175507
60 2844933420.000000 174.843000 0.000175447
61 2844933500.000000 174.958000 0.000175537
62 2844933580.000000 175.074500 0.000175477
63 2844933660.000000 175.191000 0.000175388
64 2844933740.000000 175.304000 0.000175298
65 2844933820.000000 175.424000 0.000175239
66 2844933900.000000 175.533500 0.000175388
67 2844933980.000000 175.650500 0.000175358
68 2844934060.000000 175.765500 0.000175328
69 2844934140.000000 175.883000 0.000175328
70 2844934220.000000 175.996500 0.000175328
71 2844934300.000000 176.115000 0.000175388
72 2844934380.000000 176.227500 0.000175298
73 2844934460.000000 176.345000 0.000175417
74 2844934540.000000 176.462000 0.000175417
75 2844934620.000000 176.575500 0.000175388
76 2844934700.000000 176.693500 0.000175328
77 2844934780.000000 176.809000 0.000175358
78 2844934860.000000 176.925000 0.000175417
79 2844934940.000000 177.039500 0.000175447
80 2844935020.000000 177.158000 0.000175447
81 2844935100.000000 177.274000 0.000175417
82 2844935180.000000 177.389000 0.000175328
83 2844935260.000000 177.506000 0.000175388
84 2844935340.000000 177.621500 0.000175268
85 2844935421.000000 177.738000 0.000175239
86 2844935500.000000 177.851000 0.000175179
87 2844935580.000000 177.970500 0.000175179
88 2844935660.000000 178.080500 0.000175239
89 2844935740.000000 178.199000 0.000175268
90 2844935820.000000 178.313000 0.000175388
91 2844935900.000000 178.428500 0.000175417
92 2844935980.000000 178.541500 0.000175268
93 2844936060.000000 178.658000 0.000175268
94 2844936140.000000 178.772000 0.000175179
95 2844936220.000000 178.888000 0.000175149
96 2844936300.000000 179.006000 0.000175328
97 2844936380.000000 179.117000 0.000175268
98 2844936460.000000 179.234000 0.000175388
99 2844936540.000000 179.349000 0.000175328
100 2844936620.000000 179.463000 0.000175417
101 2844936700.000000 179.577000 0.000175358
102 2844936780.000000 179.691500 0.000175179
103 2844936860.000000 179.806500 0.000175179
104 2844936940.000000 179.923500 0.00017506
105 2844937020.000000 180.038000 0.00017509
106 2844937100.000000 180.150500 0.000175179
107 2844937180.000000 180.268000 0.000175328
108 2844937260.000000 180.382500 0.000175417
109 2844937340.000000 180.498000 0.000175298
110 2844937420.000000 180.609500 0.000175298
111 2844937500.000000 180.726500 0.000175239
112 2844937580.000000 180.842000 0.000175179
113 2844937660.000000 180.958500 0.000175119
114 2844937740.000000 181.072000 0.00017509
115 2844937820.000000 181.191000 0.000175298
116 2844937900.000000 181.305000 0.000175447
117 2844937980.000000 181.422000 0.000175566
118 2844938060.000000 181.538500 0.000175656
119 2844938140.000000 181.656000 0.000175477
120 2844938220.000000 181.772500 0.000175447
121 2844938300.000000 181.887000 0.000175209
122 2844938380.000000 182.006000 0.000175209
123 2844938460.000000 182.119500 0.000175119
124 2844938540.000000 182.234500 0.000175119
125 2844938620.000000 182.350000 0.000175239
126 2844938700.000000 182.465500 0.000175149
127 2844938780.000000 182.581000 0.000175239
128 2844938860.000000 182.697000 0.000175239
129 2844938940.000000 182.814500 0.000175179
130 2844939020.000000 182.927500 0.000175119
131 2844939100.000000 183.046000 0.00017503
132 2844939180.000000 183.161000 0.00017506
133 2844939260.000000 183.277000 0.00017503
134 2844939340.000000 183.392000 0.00017506
135 2844939420.000000 183.509500 0.000175179
136 2844939500.000000 183.621000 0.000175119
137 2844939580.000000 183.737500 0.000175239
138 2844939660.000000 183.854000 0.000175179
139 2844939740.000000 183.966000 0.000175149
140 2844939820.000000 184.083500 0.000175119
141 2844939900.000000 184.197000 0.00017506
142 2844939980.000000 184.313500 0.00017497
143 2844940060.000000 184.430000 0.000174911
144 2844940140.000000 184.542500 0.000175119
145 2844940220.000000 184.658000 0.000175239
146 2844940300.000000 184.774500 0.000175328
147 2844940380.000000 184.889000 0.000175417
148 2844940460.000000 185.003500 0.000175328
149 2844940540.000000 185.118500 0.000175268
150 2844940620.000000 185.234500 0.000175268
151 2844940700.000000 185.349500 0.000175149
152 2844940780.000000 185.462000 0.000175209
153 2844940860.000000 185.578500 0.000175119
154 2844940940.000000 185.694500 0.000175298
155 2844941020.000000 185.812000 0.000175239
156 2844941100.000000 185.925500 0.000175477
157 2844941180.000000 186.040500 0.000175566
158 2844941260.000000 186.155500 0.000175298
159 2844941340.000000 186.271000 0.000175358
160 2844941420.000000 186.385500 0.000175268
161 2844941500.000000 186.504000 0.000175298
162 2844941580.000000 186.619000 0.000175298
163 2844941660.000000 186.734500 0.000175328
164 2844941740.000000 186.853000 0.000175477
165 2844941820.000000 186.967500 0.000175477
166 2844941900.000000 187.084500 0.000175656
167 2844941980.000000 187.199500 0.000175626
168 2844942060.000000 187.317000 0.000175477
169 2844942140.000000 187.430500 0.000175417
170 2844942220.000000 187.545500 0.000175298
171 2844942300.000000 187.664000 0.000175417
172 2844942380.000000 187.777000 0.000175417
173 2844942460.000000 187.894500 0.000175566
174 2844942540.000000 188.008000 0.000175656
175 2844942620.000000 188.126500 0.000175596
176 2844942700.000000 188.238000 0.000175686
177 2844942780.000000 188.358500 0.000175656
178 2844942860.000000 188.468000 0.000175537
179 2844942940.000000 188.586000 0.000175477
180 2844943020.000000 188.700500 0.000175298
181 2844943100.000000 188.813500 0.000175388
182 2844943180.000000 188.929000 0.000175507
183 2844943260.000000 189.044500 0.000175715
184 2844943340.000000 189.162000 0.000175894
185 2844943420.000000 189.276000 0.000175805
186 2844943500.000000 189.393000 0.000175775
187 2844943580.000000 189.508000 0.000175566
188 2844943660.000000 189.624500 0.000175596
189 2844943740.000000 189.737500 0.000175417
190 2844943820.000000 189.855000 0.000175417
191 2844943900.000000 189.967500 0.000175656
192 2844943980.000000 190.082500 0.000175775
193 2844944060.000000 190.199000 0.000175924
194 2844944140.000000 190.312000 0.000175984
195 2844944220.000000 190.428000 0.000175954
196 2844944300.000000 190.541000 0.000175984
197 2844944380.000000 190.659500 0.000175924
198 2844944460.000000 190.773000 0.000175924
199 2844944540.000000 190.889000 0.000175835
200 2844944620.000000 191.002000 0.000175894
201 2844944700.000000 191.120000 0.000176013
202 2844944780.000000 191.234000 0.000176013
203 2844944860.000000 191.349000 0.000176162
204 2844944940.000000 191.464500 0.000176162
205 2844945020.000000 191.579500 0.000176103
206 2844945100.000000 191.698000 0.000175805
207 2844945180.000000 191.813000 0.000175656
208 2844945260.000000 191.929000 0.000175686
209 2844945340.000000 192.045000 0.000175656
210 2844945420.000000 192.163000 0.000175894
211 2844945500.000000 192.276000 0.000176043
212 2844945580.000000 192.395500 0.000176162
213 2844945660.000000 192.510500 0.000176192
214 2844945740.000000 192.625000 0.000176103
215 2844945820.000000 192.742000 0.000175954
216 2844945900.000000 192.857000 0.000175864
217 2844945980.000000 192.972500 0.000175715
218 2844946060.000000 193.088000 0.000175835
219 2844946140.000000 193.206000 0.000175894
220 2844946220.000000 193.319500 0.000176103
221 2844946300.000000 193.436500 0.000176252
222 2844946380.000000 193.552000 0.000176311
223 2844946460.000000 193.666000 0.000176222
224 2844946540.000000 193.782500 0.000176043
225 2844946620.000000 193.894500 0.000176013
226 2844946700.000000 194.011000 0.000175954
227 2844946780.000000 194.126000 0.000176103
228 2844946860.000000 194.241500 0.000176162
229 2844946940.000000 194.356500 0.000176282
230 2844947020.000000 194.474500 0.000176431
231 2844947100.000000 194.586500 0.00017652
232 2844947180.000000 194.704500 0.00017646
233 2844947260.000000 194.819000 0.000176311
234 2844947340.000000 194.933000 0.000176162
235 2844947420.000000 195.049500 0.000176103
236 2844947500.000000 195.163500 0.000176133
237 2844947580.000000 195.280000 0.000176311
238 2844947660.000000 195.393500 0.000176311
239 2844947740.000000 195.509500 0.00017655
240 2844947820.000000 195.624500 0.000176729
241 2844947900.000000 195.743000 0.000176788
242 2844947980.000000 195.855000 0.000176878
243 2844948060.000000 195.972000 0.000176818
244 2844948140.000000 196.084500 0.00017658
245 2844948220.000000 196.202500 0.00017652
246 2844948300.000000 196.317500 0.000176401
247 2844948380.000000 196.433500 0.00017649
248 2844948460.000000 196.548000 0.00017655
