#  NO SAMPLE -- ONE ARM
FTS 150 GHz source and 95 GHz diode detector, higher gain round feedhorn w/circ-rect
waveguide converter

SAMPLE - no sample, this is for fun test

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 388.300000
# half-wdth 220.000000
# speed, mm/s 0.750000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-6 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3010801240.000000 167.886000 8.61244e-007
1 3010801320.000000 167.945500 8.52164e-007
2 3010801400.000000 168.006000 8.61244e-007
3 3010801480.000000 168.060000 8.55191e-007
4 3010801560.000000 168.120500 8.7568e-007
5 3010801640.000000 168.177000 8.62176e-007
6 3010801720.000000 168.237000 8.41686e-007
7 3010801800.000000 168.296500 8.91512e-007
8 3010801880.000000 168.348500 8.78939e-007
9 3010801960.000000 168.411000 8.34469e-007
10 3010802040.000000 168.465000 8.58916e-007
11 3010802120.000000 168.526500 8.92909e-007
12 3010802200.000000 168.586500 8.77775e-007
13 3010802280.000000 168.643500 8.91978e-007
14 3010802360.000000 168.696000 8.66599e-007
15 3010802440.000000 168.755000 8.6008e-007
16 3010802520.000000 168.817000 8.68229e-007
17 3010802600.000000 168.875000 8.74748e-007
18 3010802680.000000 168.932500 8.85691e-007
19 3010802760.000000 168.994000 8.37961e-007
20 3010802840.000000 169.046000 8.69859e-007
21 3010802920.000000 169.109000 8.83596e-007
22 3010803000.000000 169.163000 8.58683e-007
23 3010803080.000000 169.224500 8.50068e-007
24 3010803160.000000 169.286000 8.56588e-007
25 3010803240.000000 169.337000 8.89184e-007
26 3010803320.000000 169.399000 8.7405e-007
27 3010803400.000000 169.456000 8.54492e-007
28 3010803480.000000 169.518500 8.61244e-007
29 3010803560.000000 169.577000 8.971e-007
