# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 350.000000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 3014289242.000000 129.711000 0.000141443
1 3014289320.000000 129.865000 0.000141473
2 3014289400.000000 130.009500 0.000141473
3 3014289480.000000 130.165000 0.000141443
4 3014289560.000000 130.317000 0.000141413
5 3014289640.000000 130.473000 0.000141383
6 3014289720.000000 130.625000 0.000141353
7 3014289800.000000 130.778000 0.000141383
8 3014289880.000000 130.930000 0.000141383
9 3014289960.000000 131.082500 0.000141353
10 3014290040.000000 131.237000 0.000141383
11 3014290120.000000 131.390000 0.000141413
12 3014290200.000000 131.548000 0.000141383
13 3014290280.000000 131.702000 0.000141353
14 3014290360.000000 131.855000 0.000141353
15 3014290440.000000 132.010000 0.000141324
16 3014290520.000000 132.165500 0.000141324
17 3014290600.000000 132.319000 0.000141324
18 3014290680.000000 132.475500 0.000141324
19 3014290760.000000 132.630500 0.000141264
20 3014290840.000000 132.782500 0.000141264
21 3014290920.000000 132.940500 0.000141294
22 3014291000.000000 133.093500 0.000141324
23 3014291080.000000 133.250500 0.000141324
24 3014291160.000000 133.405000 0.000141353
