# SAMPLE - One Arm Scan
FTS 150 GHz source w/circula4 feedhorn and 150 GHz diode detector w/ 
rect feedhorn and no circ - rect transition; source has bandpass filter

SAMPLE: 605-606 etalon with a 2" spacing.

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1589755402.000000 178.038000 9.66494e-005
1 1589755500.000000 178.190000 9.66196e-005
2 1589755580.000000 178.339000 9.66494e-005
3 1589755660.000000 178.493500 9.66196e-005
4 1589755740.000000 178.646500 9.66196e-005
5 1589755820.000000 178.799500 9.66494e-005
6 1589755900.000000 178.958500 9.66196e-005
7 1589755980.000000 179.111000 9.66196e-005
8 1589756060.000000 179.267500 9.6709e-005
9 1589756140.000000 179.420000 9.66196e-005
10 1589756220.000000 179.575000 9.656e-005
11 1589756300.000000 179.726500 9.65898e-005
12 1589756380.000000 179.881500 9.65898e-005
13 1589756460.000000 180.038500 9.65004e-005
14 1589756540.000000 180.194000 9.656e-005
15 1589756620.000000 180.346000 9.66196e-005
16 1589756700.000000 180.503500 9.65898e-005
17 1589756780.000000 180.658500 9.65898e-005
18 1589756860.000000 180.815000 9.65004e-005
19 1589756940.000000 180.967000 9.65898e-005
20 1589757020.000000 181.121500 9.65302e-005
21 1589757100.000000 181.279000 9.65302e-005
22 1589757181.000000 181.435500 9.65004e-005
23 1589757260.000000 181.588500 9.64706e-005
24 1589757340.000000 181.747500 9.64706e-005
25 1589757420.000000 181.902500 9.656e-005
26 1589757500.000000 182.059000 9.65004e-005
27 1589757580.000000 182.214000 9.65302e-005
28 1589757660.000000 182.367000 9.656e-005
29 1589757740.000000 182.524500 9.65302e-005
30 1589757820.000000 182.679000 9.65004e-005
31 1589757900.000000 182.835500 9.64706e-005
32 1589757980.000000 182.992000 9.65898e-005
33 1589758060.000000 183.146500 9.65302e-005
34 1589758140.000000 183.302500 9.66196e-005
35 1589758220.000000 183.457000 9.65898e-005
36 1589758300.000000 183.611500 9.656e-005
37 1589758380.000000 183.767000 9.656e-005
38 1589758460.000000 183.917500 9.656e-005
39 1589758540.000000 184.076000 9.656e-005
40 1589758620.000000 184.232500 9.66196e-005
41 1589758700.000000 184.389000 9.6709e-005
42 1589758780.000000 184.540500 9.66196e-005
43 1589758860.000000 184.692000 9.66494e-005
44 1589758940.000000 184.850500 9.67388e-005
45 1589759020.000000 185.006000 9.66494e-005
46 1589759100.000000 185.160500 9.67984e-005
47 1589759180.000000 185.316000 9.67388e-005
48 1589759260.000000 185.470000 9.6709e-005
49 1589759340.000000 185.627500 9.67388e-005
50 1589759420.000000 185.782000 9.67686e-005
51 1589759500.000000 185.934500 9.67686e-005
52 1589759580.000000 186.091000 9.67388e-005
53 1589759660.000000 186.247500 9.67686e-005
54 1589759740.000000 186.401500 9.67984e-005
55 1589759820.000000 186.558000 9.67984e-005
56 1589759900.000000 186.711000 9.67984e-005
57 1589759980.000000 186.870000 9.67686e-005
58 1589760060.000000 187.025000 9.68282e-005
59 1589760140.000000 187.178000 9.67686e-005
60 1589760220.000000 187.334000 9.67984e-005
61 1589760300.000000 187.488000 9.67686e-005
62 1589760380.000000 187.642500 9.6709e-005
63 1589760460.000000 187.798500 9.67686e-005
64 1589760540.000000 187.955000 9.67388e-005
65 1589760620.000000 188.111000 9.67686e-005
66 1589760700.000000 188.266000 9.68878e-005
67 1589760780.000000 188.421500 9.68282e-005
68 1589760860.000000 188.577500 9.6858e-005
69 1589760940.000000 188.730500 9.67686e-005
70 1589761020.000000 188.883500 9.67686e-005
71 1589761100.000000 189.039000 9.67686e-005
72 1589761180.000000 189.196500 9.67686e-005
73 1589761260.000000 189.349000 9.6858e-005
74 1589761340.000000 189.505500 9.67984e-005
75 1589761420.000000 189.660500 9.67686e-005
76 1589761500.000000 189.814500 9.6709e-005
77 1589761580.000000 189.971000 9.67984e-005
78 1589761660.000000 190.124000 9.67984e-005
79 1589761740.000000 190.277500 9.67686e-005
80 1589761820.000000 190.436500 9.68878e-005
81 1589761900.000000 190.588500 9.68282e-005
82 1589761980.000000 190.744000 9.68282e-005
83 1589762060.000000 190.898500 9.6858e-005
84 1589762140.000000 191.053000 9.68282e-005
85 1589762220.000000 191.206500 9.68878e-005
86 1589762300.000000 191.363000 9.6858e-005
87 1589762380.000000 191.520500 9.69176e-005
88 1589762460.000000 191.675000 9.69474e-005
89 1589762540.000000 191.828000 9.6858e-005
90 1589762620.000000 191.984500 9.69772e-005
91 1589762700.000000 192.143500 9.69176e-005
92 1589762780.000000 192.299000 9.69176e-005
93 1589762860.000000 192.453500 9.69474e-005
94 1589762940.000000 192.604500 9.68878e-005
95 1589763020.000000 192.762000 9.7007e-005
96 1589763100.000000 192.919000 9.68878e-005
97 1589763180.000000 193.074000 9.69474e-005
98 1589763260.000000 193.229500 9.69474e-005
99 1589763340.000000 193.383500 9.69176e-005
100 1589763420.000000 193.542500 9.70666e-005
101 1589763500.000000 193.698000 9.70964e-005
102 1589763580.000000 193.849000 9.7156e-005
103 1589763660.000000 194.006000 9.70368e-005
104 1589763740.000000 194.159500 9.70666e-005
105 1589763820.000000 194.315500 9.71262e-005
106 1589763900.000000 194.469000 9.70964e-005
107 1589763980.000000 194.624000 9.7156e-005
108 1589764060.000000 194.781500 9.71262e-005
109 1589764140.000000 194.932500 9.71262e-005
110 1589764220.000000 195.087500 9.72454e-005
111 1589764300.000000 195.245500 9.7156e-005
112 1589764380.000000 195.400000 9.71262e-005
113 1589764460.000000 195.555000 9.71858e-005
114 1589764540.000000 195.713000 9.72156e-005
115 1589764620.000000 195.863500 9.72752e-005
116 1589764700.000000 196.021500 9.7156e-005
117 1589764780.000000 196.177500 9.72752e-005
