# NO SAMPLE - ONE ARM SCANS
FTS 150 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

One Arm Scans

27-01 sample measurements with a 2" spacing on the etalon.

Y  polarization measurements.




# Center Position 388.300000
# half-wdth 215.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
0 1069931400.000000 173.022500 0.000136823
1 1069931480.000000 173.180000 0.000136645
2 1069931560.000000 173.335000 0.000136734
3 1069931640.000000 173.483500 0.000136734
4 1069931720.000000 173.633000 0.000136794
5 1069931800.000000 173.782500 0.000136764
6 1069931880.000000 173.939500 0.000136734
7 1069931960.000000 174.093500 0.000136734
8 1069932040.000000 174.247500 0.000136704
9 1069932120.000000 174.405000 0.000136704
10 1069932200.000000 174.555500 0.000136704
11 1069932280.000000 174.711500 0.000136764
12 1069932360.000000 174.864000 0.000136734
13 1069932440.000000 175.019000 0.000136853
14 1069932520.000000 175.177500 0.000136823
15 1069932600.000000 175.329500 0.000136704
16 1069932680.000000 175.483000 0.000136764
17 1069932760.000000 175.641000 0.000136704
18 1069932840.000000 175.794500 0.000136704
19 1069932920.000000 175.951000 0.000136734
20 1069933000.000000 176.104500 0.000136674
21 1069933080.000000 176.261000 0.000136645
22 1069933160.000000 176.418500 0.000136615
23 1069933240.000000 176.564000 0.000136645
24 1069933320.000000 176.727000 0.000136704
25 1069933400.000000 176.883500 0.000136555
26 1069933480.000000 177.035500 0.000136615
27 1069933560.000000 177.193500 0.000136674
28 1069933640.000000 177.345500 0.000136615
29 1069933720.000000 177.503000 0.000136555
30 1069933800.000000 177.660000 0.000136555
31 1069933880.000000 177.812000 0.000136466
32 1069933960.000000 177.971000 0.000136466
33 1069934040.000000 178.124000 0.000136436
34 1069934120.000000 178.279000 0.000136466
35 1069934200.000000 178.435500 0.000136347
36 1069934280.000000 178.586000 0.000136376
37 1069934360.000000 178.742500 0.000136257
38 1069934440.000000 178.900000 0.000136347
39 1069934520.000000 179.054000 0.000136406
40 1069934600.000000 179.209500 0.000136466
41 1069934680.000000 179.364000 0.000136585
42 1069934760.000000 179.518500 0.000136615
43 1069934840.000000 179.673000 0.000136585
44 1069934920.000000 179.829500 0.000136436
45 1069935000.000000 179.984000 0.000136347
46 1069935080.000000 180.137000 0.000136347
47 1069935160.000000 180.295000 0.000136406
48 1069935240.000000 180.447000 0.000136406
49 1069935320.000000 180.602000 0.000136347
50 1069935400.000000 180.758500 0.000136406
51 1069935480.000000 180.910500 0.000136317
52 1069935560.000000 181.066000 0.000136376
53 1069935640.000000 181.223000 0.000136406
54 1069935720.000000 181.376500 0.000136406
55 1069935800.000000 181.535000 0.000136376
56 1069935880.000000 181.689000 0.000136347
57 1069935960.000000 181.846000 0.000136317
58 1069936040.000000 182.001500 0.000136287
59 1069936120.000000 182.153500 0.000136257
60 1069936200.000000 182.312000 0.000136317
61 1069936280.000000 182.467000 0.000136287
62 1069936360.000000 182.621000 0.000136287
63 1069936440.000000 182.777500 0.000136287
64 1069936520.000000 182.933000 0.000136227
65 1069936600.000000 183.092500 0.000136287
66 1069936680.000000 183.244500 0.000136287
67 1069936760.000000 183.400500 0.000136317
68 1069936840.000000 183.554000 0.000136257
69 1069936920.000000 183.707500 0.000136257
70 1069937000.000000 183.863500 0.000136257
71 1069937080.000000 184.016000 0.000136168
72 1069937160.000000 184.171500 0.000136108
73 1069937241.000000 184.331000 0.000136198
74 1069937320.000000 184.485000 0.000136168
75 1069937400.000000 184.638000 0.000136227
76 1069937480.000000 184.793500 0.000136227
77 1069937560.000000 184.948000 0.000136138
78 1069937640.000000 185.103500 0.000136138
79 1069937720.000000 185.259000 0.000136227
80 1069937800.000000 185.415000 0.000136227
81 1069937880.000000 185.569500 0.000136287
82 1069937960.000000 185.724000 0.000136227
83 1069938040.000000 185.877500 0.000136287
84 1069938120.000000 186.033500 0.000136287
85 1069938200.000000 186.188000 0.000136287
86 1069938280.000000 186.345500 0.000136227
87 1069938360.000000 186.498500 0.000136227
88 1069938440.000000 186.656000 0.000136257
89 1069938520.000000 186.813000 0.000136198
90 1069938600.000000 186.964500 0.000136257
91 1069938680.000000 187.122500 0.000136168
92 1069938760.000000 187.277500 0.000136198
93 1069938840.000000 187.431000 0.000136108
94 1069938920.000000 187.588500 0.000136198
95 1069939000.000000 187.740500 0.000136019
96 1069939080.000000 187.898000 0.000136108
97 1069939160.000000 188.053000 0.000136108
98 1069939240.000000 188.207000 0.000136108
99 1069939320.000000 188.366500 0.000136227
100 1069939400.000000 188.519000 0.000136287
101 1069939480.000000 188.673000 0.000136317
102 1069939560.000000 188.827500 0.000136287
103 1069939640.000000 188.980000 0.000136198
104 1069939720.000000 189.137000 0.000136108
105 1069939800.000000 189.292500 0.000136049
106 1069939880.000000 189.446500 0.000136049
107 1069939960.000000 189.602500 0.000136138
108 1069940040.000000 189.757500 0.000136108
109 1069940120.000000 189.911500 0.000136138
110 1069940200.000000 190.065000 0.000136108
111 1069940280.000000 190.220000 0.000135989
112 1069940360.000000 190.377000 0.000135959
113 1069940440.000000 190.530000 0.000135989
114 1069940520.000000 190.684000 0.000135959
115 1069940600.000000 190.840500 0.000136019
116 1069940680.000000 190.996500 0.000136108
117 1069940760.000000 191.150000 0.000136168
118 1069940840.000000 191.304000 0.000136198
119 1069940920.000000 191.458500 0.000136227
120 1069941000.000000 191.616000 0.000136168
121 1069941080.000000 191.772000 0.000136257
122 1069941160.000000 191.926000 0.000136198
